Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
STRZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	500000	0	50101837	100	73	379	758	77	43	853	875	7495	7005	4533	4600	10033	10066	599	1198	55556	6	0	0	0	1195116	1147612	499954	500247	1000000	1000000	0.07409435628060494	0.07393194997464281	0.09399959791981387	0.09579071090729803	0	0	0	0	-214	45	-2228	344	0	0	-296	2	-185	22	RTreeZ;RStarTreeLogic;size=500000;nNodes=55556;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011653404300000002
STRZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	103620298	103	85	736	736	89	50	1031	1053	8214	8570	5266	5300	11133	11266	1462	1462	111111	6	0	0	0	988559	923582	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	0	0	0	0	-214	47	-2434	2519	0	0	-296	2	-284	22	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011750952100000004
STRZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	2500000	0	265431642	106	115	2250	900	113	73	1425	1469	9740	9718	7500	7066	14966	14466	4052	1620	277779	7	0	0	0	836571	828213	499786	499868	1000000	1000000	0.04360251261577716	0.04452601652819437	0.05115367088332743	0.05166934613688697	-36	646	0	0	0	0	-2533	4289	-384	2	0	0	-397	44	RTreeZ;RStarTreeLogic;size=2500000;nNodes=277779;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0012007696900000002
STRZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	5000000	0	534876821	106	210	4691	938	131	87	1769	1792	11378	10908	8700	9133	18033	17666	7943	1588	555556	7	0	0	0	862462	842383	499369	500142	1000000	1000000	0.03742384500106238	0.03844840737634643	0.04294672875425449	0.043594590554328606	663	8522	0	0	0	0	-3078	7861	0	0	0	0	-815	41	RTreeZ;RStarTreeLogic;size=5000000;nNodes=555556;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0012007696900000002
STRZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	10000000	0	1072538549	107	325	9787	978	138	95	1965	1972	12865	11640	9700	9933	19300	19733	15230	1523	1111111	7	0	0	0	750038	754902	499973	499819	1000000	1000000	0.04082070229767918	0.04178709636412776	0.046181471939853225	0.04637192562067677	1712	16630	0	0	0	0	-3028	594	0	0	0	0	-1082	85	RTreeZ;RStarTreeLogic;size=10000000;nNodes=1111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0012229014500000001
STRZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	25000000	0	2680759112	107	808	25596	1023	108	81	1670	1658	16209	13720	8633	8500	17066	17733	38169	1526	2777779	8	0	0	0	1183946	1196070	500531	500459	1000000	1000000	1.5943740666388646	1.564842744523667	1.5949844479344362	1.587052399983904	4138	44695	0	0	0	0	-4048	782	0	0	0	0	-4434	530	RTreeZ;RStarTreeLogic;size=25000000;nNodes=2777779;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0013813960800000001
STRZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	50000000	0	5359214760	106	1579	60102	1202	120	92	2005	1999	19187	16709	9066	9200	18933	18633	91057	1821	5555556	8	0	0	0	1254951	1195152	500023	500131	1000000	1000000	1.6136445302333822	1.5803560087110187	1.6219772735272266	1.6107210470651048	6982	99307	0	0	0	0	-4718	1099	0	0	0	0	-8932	1008	RTreeZ;RStarTreeLogic;size=50000000;nNodes=5555556;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00148533806
% Measurements
% ============
STRZ-P-0	OSM(1.0,0.0,null)	2	64	500000	0	50276728	100	76	385	770	77	42	859	874	7554	7254	4500	4600	10400	10300	607	1214	55556	6	0	0	0	1199429	1062805	499853	500362	1000000	1000000	0.0747955295432028	0.07326229471741853	0.09323570289722698	0.09653574297335235	0	0	0	0	-214	44	-2669	418	0	0	-296	2	0	0	RTreeZ;RStarTreeLogic;size=500000;nNodes=55556;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011653404300000002
