Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
STRZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	500000	0	50041216	100	73	357	714	75	39	822	846	7113	6506	5066	5100	9233	7966	492	984	55556	6	0	0	0	1026006	1020494	499954	500247	1000000	1000000	0.08983950276274101	0.08979934200501456	0.08882436697082831	0.0909666289741865	0	0	0	0	-214	46	-1867	321	0	0	-296	2	-284	19	RTreeZ;RStarTreeLogic;size=500000;nNodes=55556;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=4.863603000000005E-4
STRZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	103697130	103	85	541	541	56	31	802	828	8557	9095	10300	10300	21266	20266	1222	1222	111111	6	0	0	0	1772065	1831843	499099	499645	1000000	1000000	2.1345972056443236	2.130072151367063	2.1191476482560136	2.1021535905362527	0	0	0	0	-214	46	-1941	4930	0	0	-305	2	-284	26	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.002992834500000001
STRZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	2500000	0	265449434	106	131	1590	636	77	48	1024	1043	9893	9839	18633	18333	38500	34400	2969	1187	277779	7	0	0	0	1714411	1645885	499786	499868	1000000	1000000	2.4519207765538193	2.4496873377125237	2.455334244355147	2.4479866332147298	-37	633	0	0	0	0	-2755	527	-384	2	-420	2	-409	41	RTreeZ;RStarTreeLogic;size=2500000;nNodes=277779;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.003955246100000001
STRZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	5000000	0	536081304	106	214	3149	629	94	55	1195	1219	11613	11601	7800	7866	15800	14933	6121	1224	555556	7	0	0	0	1038534	1019272	499369	500142	1000000	1000000	2.984907420253883	2.9709051836372553	2.9779157285504634	2.970660170208155	422	4351	0	0	0	0	-2807	8095	0	0	0	0	-799	60	RTreeZ;RStarTreeLogic;size=5000000;nNodes=555556;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0052694764000000005
STRZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	10000000	0	1072635176	107	371	6555	655	104	57	1549	1534	12846	12186	10633	10933	21866	21100	11120	1112	1111111	7	0	0	0	667813	706088	499973	499819	1000000	1000000	2.0975156206567247	2.090068777366556	2.097079970185653	2.0933305409285246	1709	10461	0	0	0	0	-4086	620	0	0	0	0	-1067	101	RTreeZ;RStarTreeLogic;size=10000000;nNodes=1111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0057596559000000006
STRZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	18351888	0	1968585461	107	642	12690	691	92	61	1897	1904	14377	13126	10700	10733	19566	19533	20453	1114	2039102	8	0	0	0	566026	604229	499646	499959	1000000	1000000	1.3244650058711593	1.3238174222530419	1.3333395530767636	1.3415006446703384	2812	17762	0	0	0	0	-3726	694	0	0	0	0	-3340	311	RTreeZ;RStarTreeLogic;size=18351888;nNodes=2039102;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.005796353
STRZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	18351888	0	1966178677	107	619	12433	677	128	55	1832	1830	14104	12952	10066	9866	17566	16633	20318	1107	2039102	8	0	0	0	566026	604229	499646	499959	1000000	1000000	1.3244650058711593	1.3238174222530419	1.3333395530767636	1.3415006446703384	3020	22734	0	0	0	0	-3720	710	0	0	0	0	-3339	319	RTreeZ;RStarTreeLogic;size=18351888;nNodes=2039102;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.005796353
% Measurements
% ============
STRZ-P-0	TIGER(1.0,0.0,null)	2	64	500000	0	50040840	100	70	350	700	77	39	813	834	7269	6537	5100	5000	8600	7800	484	968	55556	6	0	0	0	1012978	1008603	499853	500362	1000000	1000000	0.09236635877525252	0.08750381446969889	0.08759927997279185	0.09114171918261572	0	0	0	0	-214	46	-1862	324	0	0	-296	2	-284	22	RTreeZ;RStarTreeLogic;size=500000;nNodes=55556;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=4.863603000000005E-4
