Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
XTR-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	100000	0	12289784	122	27	40	400	1900	1876	1509	1991	0	0	0	0	0	0	0	0	7698	4	0	0	0	1002747	1001167	1000	1000	0	0	0.0	0.0	0.0	0.0	0	0	-859	2	-813	94	0	0	0	0	0	0	0	0	XTreeXXL2;maxOverlap=0.2;minFanout=0.2;nNodes=0;minCapacity=9;maxCapacity=27 WINDOW_RESULTS=1000
XTR-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	500000	0	72640648	145	67	67	134	9502	9473	8622	11531	0	0	0	0	0	0	3	6	23081	4	0	0	0	1001364	1001953	1000	1000	0	0	0.0	0.0	0.0	0.0	0	0	-4011	18	-4769	1466	0	0	0	0	0	0	0	0	XTreeXXL2;maxOverlap=0.2;minFanout=0.2;nNodes=0;minCapacity=9;maxCapacity=27 WINDOW_RESULTS=1000
XTR-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	148130096	148	79	261	261	31505	31798	29677	32372	0	0	0	0	0	0	5	5	42313	5	0	0	0	1000546	1001094	1000	1000	0	0	0.0	0.0	0.0	0.0	70	253	-7735	32	-8006	4205	0	0	0	0	0	0	0	0	XTreeXXL2;maxOverlap=0.2;minFanout=0.2;nNodes=0;minCapacity=9;maxCapacity=27 WINDOW_RESULTS=1000
XTR-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	5000000	0	751559578	150	298	1246	249	127096	127064	125214	133098	0	0	0	0	0	0	19	3	196160	5	0	0	0	1000860	1001138	1000	1000	0	0	0.0	0.0	0.0	0.0	133	1595	-38345	92	-37465	313	0	0	0	0	0	0	0	0	XTreeXXL2;maxOverlap=0.2;minFanout=0.2;nNodes=0;minCapacity=9;maxCapacity=27 WINDOW_RESULTS=1000
XTR-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	10000000	0	1506929666	150	576	2448	244	234363	234832	238076	245632	0	0	0	0	0	0	35	3	388467	5	0	0	0	1001457	1001451	1000	1000	0	0	0.0	0.0	0.0	0.0	217	3165	-74829	308	-74341	552	0	0	0	0	0	0	0	0	XTreeXXL2;maxOverlap=0.2;minFanout=0.2;nNodes=0;minCapacity=9;maxCapacity=27 WINDOW_RESULTS=1000
XTR-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	25000000	0	3770165826	150	1485	6374	254	623389	623222	658676	646361	0	0	0	0	0	0	76	3	965391	6	0	0	0	1001148	1001941	1000	1000	0	0	0.0	0.0	0.0	0.0	502	8437	-183537	1924	-186752	2164	0	0	0	0	0	0	0	0	XTreeXXL2;maxOverlap=0.2;minFanout=0.2;nNodes=0;minCapacity=9;maxCapacity=27 WINDOW_RESULTS=1000
% Measurements
% ============
XTR-P-0	CUBE(1.0,0.0,null)	3	64	100000	0	12289784	122	32	45	450	1910	1876	1470	1991	0	0	0	0	0	0	1	10	7698	4	0	0	0	1000267	998717	1000	1000	0	0	0.0	0.0	0.0	0.0	0	0	-859	4	-821	90	0	0	0	0	0	0	0	0	XTreeXXL2;maxOverlap=0.2;minFanout=0.2;nNodes=0;minCapacity=9;maxCapacity=27 WINDOW_RESULTS=1000
XTR-P-1	CUBE(1.0,0.0,null)	3	64	100000	0	12289784	122	27	33	330	1897	1884	1497	1958	0	0	0	0	0	0	1	10	7698	4	0	0	0	1001527	1000760	1000	1000	0	0	0.0	0.0	0.0	0.0	0	0	-859	2	-817	98	0	0	0	0	0	0	0	0	XTreeXXL2;maxOverlap=0.2;minFanout=0.2;nNodes=0;minCapacity=9;maxCapacity=27 WINDOW_RESULTS=1000
