Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
XTS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	500000	0	43510741	86	111	3047	6094	80	49	1007	999	0	0	37666	38000	42333	38000	0	0	45743	6	0	0	0	983569	991857	499943	499848	0	0	0.05450392695428772	0.05475497900153118	0.05518402081825724	0.05475135042920699	-1338	126	0	0	0	0	0	0	-254	0	0	0	0	0	XTreeS;size=500000;depth=6;nNodes=45675;nNodesData=41850;nNodesDir=3825;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=1000
XTS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	88535682	88	212	6140	6140	76	48	1243	1245	0	0	47666	47000	49000	47666	0	0	90641	6	0	0	0	1007584	1003849	499718	499393	0	0	0.0536742290850662	0.053743099574322516	0.05466713670559208	0.05550500470104767	-2687	236	0	0	0	0	0	0	-255	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=90717;nNodesData=83212;nNodesDir=7505;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=1000
XTS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	2500000	0	226281722	90	448	15723	6289	71	45	1477	1465	0	0	49000	46666	56333	57333	0	0	225511	6	0	0	0	1034244	967904	499855	500089	0	0	0.05434699224103601	0.05380855263835443	0.054827605537365286	0.05430023976313605	-7095	2448	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=2500000;depth=6;nNodes=225408;nNodesData=207181;nNodesDir=18227;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=1000
XTS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	5000000	0	454857605	90	830	32871	6574	80	43	1970	1964	0	0	61000	58666	75000	76333	0	0	451611	6	0	0	0	955881	1001915	499327	500029	0	0	0.05408310148923449	0.0534345438860353	0.053779301196887584	0.05370357944662398	-14583	6880	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=5000000;depth=7;nNodes=451622;nNodesData=415150;nNodesDir=36472;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=1000
XTS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	10000000	0	910969829	91	1694	67898	6789	75	47	2734	2691	0	0	84666	69000	94666	100666	0	0	902539	7	0	0	0	1013938	917725	499972	499673	0	0	0.05267821375166352	0.05355571678229571	0.05355475761151879	0.053760119147799795	-31083	9580	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=10000000;depth=7;nNodes=902609;nNodesData=830283;nNodesDir=72326;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=1000
XTS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	25000000	0	2279982080	91	4220	176458	7058	75	44	3399	3415	0	0	90666	78333	111666	111333	0	0	2255853	7	0	0	0	1045665	995626	500626	499974	0	0	0.05266238306274213	0.05361586103647442	0.05351721966882342	0.053912904099850785	-81135	27076	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=25000000;depth=7;nNodes=2255435;nNodesData=2075015;nNodesDir=180420;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=1000
XTS-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	50000000	0	4567186960	91	8273	365087	7301	63	40	4533	4533	0	0	108333	96000	143666	140666	0	0	4520510	7	0	0	0	1102581	1027309	500405	499906	0	0	0.05259889396434164	0.05270528526557369	0.05351521732155895	0.05265964760946049	-167077	40880	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=50000000;depth=7;nNodes=4520693;nNodesData=4158109;nNodesDir=362584;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=1000
% Measurements
% ============
XTS-P-0	CLUSTER(5.0,0.0,null)	3	64	500000	0	42889440	85	121	3092	6184	77	50	977	980	0	0	35000	41000	43000	37000	0	0	45771	6	0	0	0	960942	960785	499956	500003	0	0	0.05519902213834811	0.05521427526824633	0.05496283475150193	0.0547548221966543	-1338	124	0	0	0	0	0	0	-254	0	0	0	0	0	XTreeS;size=500000;depth=6;nNodes=45771;nNodesData=41915;nNodesDir=3856;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=1000
