Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
XTS-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	500000	0	42048778	83	64	3809	7618	297	265	1676	1719	0	0	19833	19733	36100	35866	0	0	45035	6	0	0	0	1001364	1001953	562612	499848	0	0	0.007024930278475419	0.006987501241422029	0.013000662308944538	0.013004250876331044	-1328	136	0	0	0	0	0	0	0	0	-288	2	0	0	XTreeS;size=500000;depth=6;nNodes=45088;nNodesData=41467;nNodesDir=3621;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	87668957	87	102	7930	7930	386	355	2449	2502	0	0	27066	26966	48966	49166	0	0	89973	6	0	0	0	1000546	1001094	583057	541071	0	0	0.005549550437770283	0.005544073857310564	0.010311137994242721	0.010308335453926603	-2956	310	0	0	0	0	0	0	0	0	-292	2	0	0	XTreeS;size=1000000;depth=6;nNodes=89952;nNodesData=82810;nNodesDir=7142;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	2500000	0	225129192	90	172	21542	8616	570	543	4260	4221	0	0	42166	41533	71433	71633	0	0	224962	6	0	0	0	1000813	1000693	583416	583312	0	0	0.004081967396798781	0.004094740105289471	0.007585988483320264	0.007584277020465722	-7379	3528	0	0	0	0	0	0	0	0	-393	2	0	0	XTreeS;size=2500000;depth=6;nNodes=225094;nNodesData=207125;nNodesDir=17969;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	5000000	0	454112672	90	302	46945	9389	724	698	6217	6230	0	0	58666	59733	96966	96033	0	0	450358	6	0	0	0	1000860	1001138	582688	583343	0	0	0.0032414037829313295	0.003240834971684016	0.0060152401419052495	0.00601327276953596	-15243	8924	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=5000000;depth=6;nNodes=450472;nNodesData=414450;nNodesDir=36022;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	10000000	0	911753725	91	573	103621	10362	936	956	9346	9282	0	0	82966	83566	135733	133666	0	0	900784	7	0	0	0	1001457	1001451	583372	583022	0	0	0.002568019830584805	0.0025669116623981275	0.004773516329049533	0.004772869291378442	-32772	15325	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=10000000;depth=7;nNodes=900874;nNodesData=828866;nNodesDir=72008;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	25000000	0	2279792138	91	1462	274367	10974	1316	1266	13336	13358	0	0	114466	114000	196066	193033	0	0	2253654	7	0	0	0	1001148	1001941	583711	583339	0	0	0.001895465692763302	0.0018891867252590936	0.0035133384381170495	0.003517452924045769	-85527	37716	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=25000000;depth=7;nNodes=2253311;nNodesData=2073131;nNodesDir=180180;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	50000000	0	4562515578	91	2823	592414	11848	1982	1977	18544	18605	0	0	157600	159300	258766	259733	0	0	4508793	7	0	0	0	1001080	1001876	583677	583218	0	0	0.0015011950636863117	0.0014980534297685058	0.0027874002993392654	0.0027856284917406444	-175821	75016	0	0	0	0	0	0	-1002	18	-1209	16	0	0	XTreeS;size=50000000;depth=7;nNodes=4508853;nNodesData=4148036;nNodesDir=360817;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
% Measurements
% ============
XTS-P-0	CUBE(1.0,0.0,null)	3	64	500000	0	42164736	84	85	3765	7530	303	271	1810	1845	0	0	20900	20800	37100	36900	0	0	45060	6	0	0	0	999808	999599	562705	500003	0	0	0.007016144452876436	0.006977453167898288	0.013002771666482981	0.013023669182450811	-1329	136	0	0	0	0	0	0	0	0	-288	2	0	0	XTreeS;size=500000;depth=6;nNodes=45060;nNodesData=41476;nNodesDir=3584;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
