Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
XTS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	500000	0	40485104	80	61	2584	5168	56	45	835	832	0	0	8866	10300	9500	9466	0	0	56524	6	0	0	0	1026006	1020494	499954	500247	0	0	0.08980770077566212	0.08989057924595752	0.08882436697082831	0.0909666289741865	-2196	142	0	0	0	0	0	0	0	0	-302	2	0	0	XTreeS;size=500000;depth=6;nNodes=56524;nNodesData=51097;nNodesDir=5427;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	83892008	83	60	5188	5188	40	33	768	769	0	0	12300	10666	13966	13733	0	0	113533	6	0	0	0	1772065	1831843	499099	499645	0	0	2.1347423327364314	2.1300148256896843	2.1191476482560136	2.1021535905362527	-4687	290	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	2500000	0	213966730	85	114	12886	5154	33	32	1083	1061	0	0	13166	11700	13466	14000	0	0	282857	6	0	0	0	1714411	1645885	499786	499868	0	0	2.4501029349199057	2.4468480902728165	2.455334244355147	2.4479866332147298	-11539	1977	0	0	0	0	0	0	0	0	-359	2	0	0	XTreeS;size=2500000;depth=6;nNodes=282857;nNodesData=255502;nNodesDir=27355;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	5000000	0	429527376	85	206	25120	5024	50	36	1245	1249	0	0	13200	14400	16400	16066	0	0	561606	7	0	0	0	1038534	1019272	499369	500142	0	0	2.9809138927982635	2.9690102217924426	2.9779157285504634	2.970660170208155	-23396	3482	0	0	0	0	0	0	0	0	-666	2	0	0	XTreeS;size=5000000;depth=7;nNodes=561606;nNodesData=507789;nNodesDir=53817;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	10000000	0	861917856	86	321	50351	5035	42	41	1870	1866	0	0	18300	18133	18566	18666	0	0	1121686	7	0	0	0	667813	706088	499973	499819	0	0	2.0933998209049967	2.0873021613617886	2.097079970185653	2.0933305409285246	-47528	7480	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=10000000;depth=7;nNodes=1121686;nNodesData=1014703;nNodesDir=106983;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	18351888	0	1580430192	86	625	91210	4970	76	54	2411	2386	0	0	20200	20066	18566	18566	0	0	2059172	7	0	0	0	566026	604229	499646	499959	0	0	1.3171049061409938	1.3168681135392426	1.3333395530767636	1.3415006446703384	-88455	11188	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=18351888;depth=7;nNodes=2059172;nNodesData=1862641;nNodesDir=196531;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
% Measurements
% ============
XTS-P-0	TIGER(1.0,0.0,null)	2	64	500000	0	40487496	80	70	2451	4902	51	39	811	827	0	0	8300	8400	9400	9100	0	0	56524	6	0	0	0	1012978	1008603	499853	500362	0	0	0.09238559807950766	0.08765422602633702	0.08759927997279185	0.09114171918261572	-2197	136	0	0	0	0	0	0	0	0	-302	2	0	0	XTreeS;size=500000;depth=6;nNodes=56524;nNodesData=51097;nNodesDir=5427;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-1	TIGER(1.0,0.0,null)	2	64	500000	0	40486704	80	51	2639	5278	50	50	882	854	0	0	9700	9900	9200	9800	0	0	56524	6	0	0	0	1023828	1016708	500084	499932	0	0	0.08861462309326769	0.0883209019067859	0.08952403672452477	0.09010776617746004	-2194	146	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=500000;depth=6;nNodes=56524;nNodesData=51097;nNodesDir=5427;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-2	TIGER(1.0,0.0,null)	2	64	500000	0	40481112	80	63	2663	5326	68	46	812	817	0	0	8600	12600	9900	9500	0	0	56524	6	0	0	0	1041212	1036171	499926	500447	0	0	0.08842288115421097	0.09369660980474963	0.08934978421516832	0.09165040156248376	-2198	144	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=500000;depth=6;nNodes=56524;nNodesData=51097;nNodesDir=5427;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-0	TIGER(1.0,0.0,null)	2	64	1000000	0	83891600	83	44	5278	5278	45	34	772	777	0	0	13100	10900	14800	14400	0	0	113533	6	0	0	0	1783776	1729891	498602	499311	0	0	2.172632602699871	2.1562160055362574	2.0965827791974316	2.1029340791693776	-4690	298	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-1	TIGER(1.0,0.0,null)	2	64	1000000	0	83892152	83	46	5199	5199	35	31	768	773	0	0	11800	10500	14200	14200	0	0	113533	6	0	0	0	1742336	1854965	499115	499909	0	0	2.1412390246651625	2.117408474850213	2.143403745015001	2.08716546866168	-4685	292	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-2	TIGER(1.0,0.0,null)	2	64	1000000	0	83892272	83	91	5087	5087	40	35	766	759	0	0	12000	10600	12900	12600	0	0	113533	6	0	0	0	1790084	1910675	499581	499717	0	0	2.0903553708442613	2.1164199966825827	2.117456420555608	2.1163612237777008	-4686	282	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-0	TIGER(1.0,0.0,null)	2	64	2500000	0	213965776	85	134	12730	5092	32	33	1115	1075	0	0	13300	11900	12900	12800	0	0	282857	6	0	0	0	1856263	1540646	499203	500502	0	0	2.475242177464205	2.4784290798350614	2.450683967654774	2.4526489651860333	-11540	1952	0	0	0	0	0	0	0	0	-359	2	0	0	XTreeS;size=2500000;depth=6;nNodes=282857;nNodesData=255502;nNodesDir=27355;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-1	TIGER(1.0,0.0,null)	2	64	2500000	0	213967336	85	97	12821	5128	35	31	1036	1049	0	0	12700	11900	13900	13600	0	0	282857	6	0	0	0	1703381	1704955	500587	499364	0	0	2.459575455707927	2.425535517391467	2.4334489424598518	2.432504784348443	-11539	1996	0	0	0	0	0	0	0	0	-361	2	0	0	XTreeS;size=2500000;depth=6;nNodes=282857;nNodesData=255502;nNodesDir=27355;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
XTS-P-2	TIGER(1.0,0.0,null)	2	64	2500000	0	213967080	85	112	13108	5243	32	32	1099	1059	0	0	13500	11300	13600	15600	0	0	282857	6	0	0	0	1583591	1692056	499570	499739	0	0	2.415491171587584	2.436579673591922	2.481869822950815	2.458806150109713	-11538	1984	0	0	0	0	0	0	0	0	-361	2	0	0	XTreeS;size=2500000;depth=6;nNodes=282857;nNodesData=255502;nNodesDir=27355;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000 KNN_REPEAT=10000
