Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	90686936	90	81	1462	1462	9136	7918	1393	1393	2805	2960	0	0	0	0	1654	1654	0	0	0	0	0	20027	20037	583057	541071	1000000	1000000	0.0	0.0	0.0	0.0	-151	98	0	0	15	2475	-1659	1922	0	0	0	0	-244	95	CritBitKD;OFS=0.0; WINDOW_RESULTS=1 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	90039021	89	60	1439	1439	4025	3982	1394	1335	2735	2836	0	0	0	0	1602	1602	0	0	0	0	0	109888	109890	583057	541071	1000000	1000000	0.0	0.0	0.0	0.0	-151	98	0	0	156	2522	-1405	1857	0	0	0	0	-247	86	CritBitKD;OFS=0.0; WINDOW_RESULTS=10 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	89232944	88	55	1536	1536	1900	1880	1354	1433	2677	2760	0	0	0	0	1601	1601	0	0	0	0	0	1009472	1010685	583057	541071	1000000	1000000	0.0	0.0	0.0	0.0	-152	148	0	0	-146	100	-888	5102	0	0	0	0	-243	96	CritBitKD;OFS=0.0; WINDOW_RESULTS=100 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	91057824	91	104	1524	1524	1115	1109	1326	1400	2781	2813	0	0	0	0	1629	1629	0	0	0	0	0	10009376	10010849	583057	541071	1000000	1000000	0.0	0.0	0.0	0.0	-150	147	-866	4	-139	100	-1080	5235	0	0	0	0	-240	98	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=1.0E-4
CBZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	91035301	91	114	1536	1536	941	940	1460	1441	2825	2854	0	0	0	0	1679	1679	0	0	0	0	0	100038137	100028533	583057	541071	1000000	1000000	0.0	0.0	0.0	0.0	-150	147	-8020	36	124	2080	-1086	5178	0	0	0	0	-240	104	CritBitKD;OFS=0.0; WINDOW_RESULTS=10000 UPD_DIST=1.0E-4
% Measurements
% ============
CBZ-P-0	CUBE(1.0,0.0,null)	3	64	1000000	0	90219032	90	57	1473	1473	9504	7805	1358	1373	2699	2863	0	0	0	0	1593	1593	0	0	0	0	0	20096	20115	583280	540103	1000000	1000000	0.0	0.0	0.0	0.0	-151	100	0	0	22	2442	-1670	1750	0	0	0	0	-244	92	CritBitKD;OFS=0.0; WINDOW_RESULTS=1 UPD_DIST=1.0E-4
CBZ-P-1	CUBE(1.0,0.0,null)	3	64	1000000	0	89699016	89	132	1479	1479	9144	7893	1375	1386	2778	2883	0	0	0	0	1602	1602	0	0	0	0	0	20012	19889	582935	541949	1000000	1000000	0.0	0.0	0.0	0.0	-151	98	0	0	23	2450	-1671	1784	0	0	0	0	-244	92	CritBitKD;OFS=0.0; WINDOW_RESULTS=1 UPD_DIST=1.0E-4
CBZ-P-2	CUBE(1.0,0.0,null)	3	64	1000000	0	92142760	92	55	1434	1434	8760	8056	1447	1422	2939	3135	0	0	0	0	1767	1767	0	0	0	0	0	19975	20107	582958	541161	1000000	1000000	0.0	0.0	0.0	0.0	-151	98	0	0	0	2534	-1636	2232	0	0	0	0	-244	102	CritBitKD;OFS=0.0; WINDOW_RESULTS=1 UPD_DIST=1.0E-4
