Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
CBZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	87015432	87	100	768	768	6467	2762	1003	1041	2337	2538	0	0	0	0	824	824	0	0	0	0	0	9154	9976	499099	499645	1000000	1000000	0.0	0.0	0.0	0.0	-136	137	0	0	-166	100	-1232	2760	0	0	0	0	0	0	CritBitKD;OFS=0.0; WINDOW_RESULTS=1 UPD_DIST=0.0011750952100000004
CBZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	87015448	87	84	771	771	1083	852	1043	1076	2416	2607	0	0	0	0	854	854	0	0	0	0	0	93858	98317	499099	499645	1000000	1000000	0.0	0.0	0.0	0.0	-136	136	0	0	-166	101	-1224	3272	0	0	0	0	0	0	CritBitKD;OFS=0.0; WINDOW_RESULTS=10 UPD_DIST=0.0011750952100000004
CBZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	88867480	88	65	808	808	583	545	1004	1048	2446	2633	0	0	0	0	908	908	0	0	0	0	0	950526	965194	499099	499645	1000000	1000000	0.0	0.0	0.0	0.0	-136	181	0	0	0	0	-1039	6778	0	0	0	0	-242	118	CritBitKD;OFS=0.0; WINDOW_RESULTS=100 UPD_DIST=0.0011750952100000004
CBZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	87820909	87	74	821	821	476	472	1049	1076	2383	2521	0	0	0	0	909	909	0	0	0	0	0	9718913	9831618	499099	499645	1000000	1000000	0.0	0.0	0.0	0.0	-135	176	-579	3	-118	62	-708	3952	0	0	0	0	-237	112	CritBitKD;OFS=0.0; WINDOW_RESULTS=1000 UPD_DIST=0.0011750952100000004
CBZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	87736621	87	97	821	821	445	446	1014	1055	2348	2514	0	0	0	0	888	888	0	0	0	0	0	102061775	102149605	499099	499645	1000000	1000000	0.0	0.0	0.0	0.0	-135	188	-6588	31	-59	31	-361	3086	0	0	0	0	-155	76	CritBitKD;OFS=0.0; WINDOW_RESULTS=10000 UPD_DIST=0.0011750952100000004
% Measurements
% ============
CBZ-P-0	OSM(1.0,0.0,null)	2	64	1000000	0	87015432	87	105	783	783	7693	2899	997	1021	2342	2568	0	0	0	0	833	833	0	0	0	0	0	9358	9311	498602	499311	1000000	1000000	0.0	0.0	0.0	0.0	-136	132	0	0	-165	100	-1267	1934	0	0	0	0	0	0	CritBitKD;OFS=0.0; WINDOW_RESULTS=1 UPD_DIST=0.0011750952100000004
CBZ-P-1	OSM(1.0,0.0,null)	2	64	1000000	0	87015432	87	106	792	792	5830	2991	1012	1038	2336	2532	0	0	0	0	823	823	0	0	0	0	0	8918	9359	499115	499909	1000000	1000000	0.0	0.0	0.0	0.0	-136	140	0	0	-166	100	-1214	3196	0	0	0	0	0	0	CritBitKD;OFS=0.0; WINDOW_RESULTS=1 UPD_DIST=0.0011750952100000004
CBZ-P-2	OSM(1.0,0.0,null)	2	64	1000000	0	87015432	87	89	730	730	5878	2397	1001	1065	2333	2516	0	0	0	0	818	818	0	0	0	0	0	9186	11260	499581	499717	1000000	1000000	0.0	0.0	0.0	0.0	-136	140	0	0	-166	100	-1214	3152	0	0	0	0	0	0	CritBitKD;OFS=0.0; WINDOW_RESULTS=1 UPD_DIST=0.0011750952100000004
