Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
KD_LEVY-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	93137885	93	168	503	503	4441	3877	1347	1378	2910	3435	160300	160166	179533	180833	766	766	0	0	0	0	0	10587	10843	499718	499393	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	-72	172	0	0	-198	49	-127	4302	-4296	18	-4870	22	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_LEVY-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	93137930	93	165	519	519	909	849	1351	1335	2885	3451	159600	158566	177000	176700	799	799	0	0	0	0	0	94132	101741	499718	499393	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	-72	175	0	0	0	0	-163	4256	-4583	24	-5156	24	57	1143	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_LEVY-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	93802698	93	208	666	666	297	270	1379	1391	2891	3376	185800	184966	205866	205966	925	925	0	0	0	0	0	982247	1019482	499718	499393	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	-72	415	0	0	0	0	-73	4994	-4583	24	-4870	30	-167	166	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_LEVY-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	93232666	93	207	661	661	134	133	1374	1369	2875	3410	191966	191133	210333	211933	906	906	0	0	0	0	0	9953316	10038293	499718	499393	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	-72	408	-859	6	0	0	-104	5015	-4583	22	-4870	18	-114	109	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_LEVY-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	93164829	93	197	638	638	89	89	1358	1365	2789	3387	187833	186333	205100	205366	863	863	0	0	0	0	0	100764901	101015445	499718	499393	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	-72	406	-9739	69	0	0	-186	4149	-4583	20	-4869	26	-57	54	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
% Measurements
% ============
KD_LEVY-P-0	CLUSTER(5.0,0.0,null)	3	64	1000000	0	93137992	93	164	499	499	5421	4648	1353	1366	2884	3386	165900	167000	183500	186400	766	766	0	0	0	0	0	8484	9250	499939	498463	1000000	1000000	0.9594420283963786	0.9618523004373939	0.9589529167144114	0.9613549683784062	-72	174	0	0	-198	52	-198	2510	-4296	18	-4870	22	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_LEVY-P-1	CLUSTER(5.0,0.0,null)	3	64	1000000	0	93137688	93	165	494	494	3372	3729	1328	1350	2895	3363	156900	155900	177800	179800	742	742	0	0	0	0	0	13344	10992	499851	500135	1000000	1000000	0.9586385218525606	0.9587112702166832	0.9636140490316356	0.9545889786001084	-72	174	0	0	-198	48	64	5064	-4010	20	-4583	20	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_LEVY-P-2	CLUSTER(5.0,0.0,null)	3	64	1000000	0	93137976	93	176	516	516	4530	3255	1361	1418	2952	3557	158100	157600	177300	176300	790	790	0	0	0	0	0	9933	12287	499364	499583	1000000	1000000	0.9579468114049455	0.960032135815059	0.9619720830787134	0.9660617651502925	-72	170	0	0	-198	48	-247	5334	-4010	12	-4870	22	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_LEVY-P-0	CLUSTER(5.0,0.0,null)	3	64	1000000	0	93137768	93	165	499	499	1093	913	1366	1349	2897	3507	161900	161800	179200	179100	791	791	0	0	0	0	0	76839	96369	499939	498463	1000000	1000000	0.9594420283963786	0.9618523004373939	0.9589529167144114	0.9613549683784062	-72	176	0	0	0	0	-240	5304	-4583	24	-5156	24	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_LEVY-P-1	CLUSTER(5.0,0.0,null)	3	64	1000000	0	93137912	93	165	499	499	796	909	1326	1319	2934	3396	158800	157500	178000	176800	789	789	0	0	0	0	0	107949	93413	499851	500135	1000000	1000000	0.9586385218525606	0.9587112702166832	0.9636140490316356	0.9545889786001084	-72	176	0	0	0	0	-183	2704	-4010	20	-4870	32	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
