Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	93181704	93	104	1108	1108	4676	3227	1244	1278	1953	2418	9900	9833	25833	25766	1928	1928	0	0	0	0	0	20027	20037	583057	541071	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	-72	176	0	0	-198	48	-49	4848	0	0	-573	4	-116	102	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	93181784	93	107	1110	1110	1410	1137	1211	1221	1897	2363	10000	9966	26000	25800	1851	1851	0	0	0	0	0	109888	109890	583057	541071	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	-72	176	0	0	0	0	-32	4235	0	0	-572	4	-58	52	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	93224128	93	81	1167	1167	382	356	1244	1258	1919	2445	10366	10333	27233	26933	1914	1914	0	0	0	0	0	1009472	1010685	583057	541071	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	-72	239	0	0	0	0	-98	3711	-308	2	-572	4	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=100 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	93105680	93	102	1107	1107	135	133	1245	1222	1893	2378	9766	9833	25766	25700	1834	1834	0	0	0	0	0	10009376	10010849	583057	541071	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	-75	170	-860	4	0	0	-113	3108	-302	2	-573	4	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	93141056	93	106	1098	1098	77	77	1217	1254	1944	2451	9966	9933	26500	25966	1927	1927	0	0	0	0	0	100038137	100028533	583057	541071	1000000	1000000	0.9586757872179615	0.9601985688230453	0.9615130162749201	0.9606685707096023	-72	176	-9740	62	-66	17	-22	4472	0	0	-573	4	-57	51	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10000 KNN_REPEAT=10000
% Measurements
% ============
KD_LEVY-P-0	CUBE(1.0,0.0,null)	3	64	1000000	0	93181696	93	102	1107	1107	4528	3131	1232	1263	1951	2489	9700	9700	25100	25400	1818	1818	0	0	0	0	0	20096	20115	583280	540103	1000000	1000000	0.9594420283963786	0.9618523004373939	0.9589529167144114	0.9613549683784062	-72	176	0	0	-198	48	226	5578	0	0	-573	4	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000
KD_LEVY-P-1	CUBE(1.0,0.0,null)	3	64	1000000	0	93181768	93	102	1115	1115	4847	3368	1246	1283	1976	2360	10100	10200	26800	26600	2018	2018	0	0	0	0	0	20012	19889	582935	541949	1000000	1000000	0.9586385218525606	0.9587112702166832	0.9636140490316356	0.9545889786001084	-72	176	0	0	-198	48	-299	5168	-308	2	-572	4	-169	158	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000
KD_LEVY-P-2	CUBE(1.0,0.0,null)	3	64	1000000	0	93181648	93	108	1104	1104	4655	3182	1256	1289	1932	2406	9900	9600	25600	25300	1950	1950	0	0	0	0	0	19975	20107	582958	541161	1000000	1000000	0.9579468114049455	0.960032135815059	0.9619720830787134	0.9660617651502925	-72	176	0	0	-198	50	-74	3798	-308	2	-573	0	-179	150	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000
KD_LEVY-P-0	CUBE(1.0,0.0,null)	3	64	1000000	0	93181480	93	106	1097	1097	1378	1098	1203	1210	1824	2321	9700	9700	24900	24900	1739	1739	0	0	0	0	0	110246	110169	583280	540103	1000000	1000000	0.9594420283963786	0.9618523004373939	0.9589529167144114	0.9613549683784062	-72	176	0	0	0	0	16	5028	0	0	-572	4	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000
KD_LEVY-P-1	CUBE(1.0,0.0,null)	3	64	1000000	0	93181888	93	114	1112	1112	1386	1186	1230	1242	1968	2498	10300	10400	27100	26600	1886	1886	0	0	0	0	0	109600	109609	582935	541949	1000000	1000000	0.9586385218525606	0.9587112702166832	0.9636140490316356	0.9545889786001084	-72	176	0	0	0	0	-216	4000	-308	2	-573	4	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000
KD_LEVY-P-2	CUBE(1.0,0.0,null)	3	64	1000000	0	93181984	93	102	1123	1123	1466	1128	1201	1213	1900	2272	10000	9800	26000	25900	1928	1928	0	0	0	0	0	109818	109894	582958	541161	1000000	1000000	0.9579468114049455	0.960032135815059	0.9619720830787134	0.9660617651502925	-72	176	0	0	0	0	103	3678	-308	0	-573	2	-174	156	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000
KD_LEVY-P-0	CUBE(1.0,0.0,null)	3	64	1000000	0	93218296	93	98	1108	1108	353	330	1234	1235	1918	2374	9800	9900	25200	25300	1868	1868	0	0	0	0	0	1009367	1009712	583280	540103	1000000	1000000	0.9594420283963786	0.9618523004373939	0.9589529167144114	0.9613549683784062	-72	176	0	0	0	0	75	3660	-308	2	-572	4	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=100 KNN_REPEAT=10000
KD_LEVY-P-1	CUBE(1.0,0.0,null)	3	64	1000000	0	93234232	93	55	1286	1286	433	398	1271	1301	1943	2415	11300	11000	30100	29200	1888	1888	0	0	0	0	0	1009473	1012858	582935	541949	1000000	1000000	0.9586385218525606	0.9587112702166832	0.9636140490316356	0.9545889786001084	-72	368	0	0	0	0	19	5208	-307	2	-573	2	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=100 KNN_REPEAT=10000
KD_LEVY-P-2	CUBE(1.0,0.0,null)	3	64	1000000	0	93219856	93	92	1107	1107	360	340	1227	1239	1896	2548	10000	10100	26400	26300	1987	1987	0	0	0	0	0	1009578	1009486	582958	541161	1000000	1000000	0.9579468114049455	0.960032135815059	0.9619720830787134	0.9660617651502925	-72	174	0	0	0	0	-390	2266	-308	2	-859	4	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=100 KNN_REPEAT=10000
KD_LEVY-P-0	CUBE(1.0,0.0,null)	3	64	1000000	0	93106096	93	105	1097	1097	130	128	1320	1242	1920	2365	9500	9600	25100	25300	1885	1885	0	0	0	0	0	10003756	10004754	583280	540103	1000000	1000000	0.9594420283963786	0.9618523004373939	0.9589529167144114	0.9613549683784062	-75	170	-860	4	0	0	-44	1834	-302	2	-573	4	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-1	CUBE(1.0,0.0,null)	3	64	1000000	0	93105248	93	105	1138	1138	139	138	1223	1218	1964	2396	9900	10000	26600	26000	1789	1789	0	0	0	0	0	10012024	10019783	582935	541949	1000000	1000000	0.9586385218525606	0.9587112702166832	0.9636140490316356	0.9545889786001084	-75	170	-860	4	0	0	-230	5482	-302	2	-573	0	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-2	CUBE(1.0,0.0,null)	3	64	1000000	0	93105696	93	98	1087	1087	136	134	1193	1208	1795	2374	9900	9900	25600	25800	1830	1830	0	0	0	0	0	10012349	10008010	582958	541161	1000000	1000000	0.9579468114049455	0.960032135815059	0.9619720830787134	0.9660617651502925	-75	172	-860	6	0	0	-65	2010	-302	0	-860	2	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-0	CUBE(1.0,0.0,null)	3	64	1000000	0	93153232	93	96	1091	1091	76	77	1197	1267	1919	2460	9600	9700	25000	25000	1926	1926	0	0	0	0	0	99966182	99945445	583280	540103	1000000	1000000	0.9594420283963786	0.9618523004373939	0.9589529167144114	0.9613549683784062	-72	176	-9740	66	-199	52	212	5556	0	0	-573	4	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10000 KNN_REPEAT=10000
KD_LEVY-P-1	CUBE(1.0,0.0,null)	3	64	1000000	0	93134992	93	107	1113	1113	77	77	1253	1262	1994	2531	10300	10200	27100	26700	1929	1929	0	0	0	0	0	100088072	100090681	582935	541949	1000000	1000000	0.9586385218525606	0.9587112702166832	0.9636140490316356	0.9545889786001084	-72	176	-9740	60	0	0	-216	3972	-301	2	-573	4	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10000 KNN_REPEAT=10000
KD_LEVY-P-2	CUBE(1.0,0.0,null)	3	64	1000000	0	93134944	93	115	1091	1091	78	77	1202	1233	1920	2364	10000	9900	27400	26200	1927	1927	0	0	0	0	0	100060157	100049474	582958	541161	1000000	1000000	0.9579468114049455	0.960032135815059	0.9619720830787134	0.9660617651502925	-72	176	-9740	62	0	0	-62	3888	-301	2	-573	4	-173	154	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10000 KNN_REPEAT=10000
