Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
KD_LEVY-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	85132466	85	98	1055	1055	7359	3974	1610	1616	3434	4053	56600	55533	83833	84266	1450	1450	0	0	0	0	0	9154	9976	499099	499645	1000000	1000000	48.364227909863935	48.38219504251134	48.37260704958182	48.384733828985	0	0	0	0	0	0	-198	3340	-1432	4	-2291	14	50	1565	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	85130077	85	92	1057	1057	1198	879	1612	1645	3415	3941	56266	55700	84566	85266	1443	1443	0	0	0	0	0	93858	98317	499099	499645	1000000	1000000	48.364227909863935	48.38219504251134	48.37260704958182	48.384733828985	0	0	0	0	-214	49	-196	1265	-1432	4	-2291	14	110	4282	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	85216578	85	78	1058	1058	280	250	1631	1613	3438	3942	55933	56400	85466	84600	1477	1477	0	0	0	0	0	950526	965194	499099	499645	1000000	1000000	48.364227909863935	48.38219504251134	48.37260704958182	48.384733828985	0	0	0	0	0	0	-57	5216	-1432	8	-2004	14	-54	64	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=100 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	85106704	85	90	1045	1045	126	123	1617	1598	3416	3999	57033	56733	85700	85300	1485	1485	0	0	0	0	0	9718913	9831618	499099	499645	1000000	1000000	48.364227909863935	48.38219504251134	48.37260704958182	48.384733828985	0	0	-859	6	0	0	-279	2210	-1432	8	-2004	8	57	5248	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	85135717	85	55	1022	1022	86	87	1666	1689	3511	4135	58633	57933	87833	87700	1494	1494	0	0	0	0	0	102061775	102149605	499099	499645	1000000	1000000	48.364227909863935	48.38219504251134	48.37260704958182	48.384733828985	0	0	-9836	99	-71	17	-193	2226	-1432	6	-2291	6	112	4526	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10000 KNN_REPEAT=10000
% Measurements
% ============
KD_LEVY-P-0	OSM(1.0,0.0,null)	2	64	1000000	0	85132600	85	105	1054	1054	7052	4188	1619	1619	3370	4084	58900	55500	84700	85100	1474	1474	0	0	0	0	0	9358	9311	498602	499311	1000000	1000000	48.37533286054335	48.37499015751444	48.382807676174124	48.388533009941916	0	0	0	0	0	0	-171	3504	-1432	4	-2291	14	151	4696	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000
KD_LEVY-P-1	OSM(1.0,0.0,null)	2	64	1000000	0	85133016	85	104	1054	1054	7625	4273	1598	1608	3570	4055	57800	56600	83800	86400	1427	1427	0	0	0	0	0	8918	9359	499115	499909	1000000	1000000	48.356909567076244	48.390133601525804	48.36326398424034	48.383355028874725	0	0	0	0	0	0	-236	3244	-1432	6	-2291	14	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000
KD_LEVY-P-2	OSM(1.0,0.0,null)	2	64	1000000	0	85131784	85	86	1058	1058	7402	3463	1615	1621	3364	4020	53100	54500	83000	81300	1449	1449	0	0	0	0	0	9186	11260	499581	499717	1000000	1000000	48.36044130197221	48.38146136849379	48.371749488331005	48.38231344813836	0	0	0	0	0	0	-187	3272	-1432	6	-2291	14	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000
KD_LEVY-P-0	OSM(1.0,0.0,null)	2	64	1000000	0	85129888	85	100	1056	1056	1079	849	1610	1632	3417	3893	55600	53800	81500	83600	1449	1449	0	0	0	0	0	97290	94125	498602	499311	1000000	1000000	48.37533286054335	48.37499015751444	48.382807676174124	48.388533009941916	0	0	0	0	-214	48	-109	3250	-1432	4	-2291	14	137	4070	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000
KD_LEVY-P-1	OSM(1.0,0.0,null)	2	64	1000000	0	85130136	85	90	1056	1056	1266	980	1608	1646	3346	4002	58700	58200	85900	86400	1448	1448	0	0	0	0	0	93147	96884	499115	499909	1000000	1000000	48.356909567076244	48.390133601525804	48.36326398424034	48.383355028874725	0	0	0	0	-214	50	-163	190	-1719	4	-2291	8	194	8776	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000
KD_LEVY-P-2	OSM(1.0,0.0,null)	2	64	1000000	0	85130208	85	87	1061	1061	1250	808	1619	1657	3482	3928	54500	55100	86300	85800	1433	1433	0	0	0	0	0	91137	103942	499581	499717	1000000	1000000	48.36044130197221	48.38146136849379	48.371749488331005	48.38231344813836	0	0	0	0	-214	50	-314	356	-1432	6	-2291	6	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000
KD_LEVY-P-0	OSM(1.0,0.0,null)	2	64	1000000	0	85210680	85	46	1057	1057	284	252	1645	1608	3454	3839	58300	57200	87000	87400	1546	1546	0	0	0	0	0	956083	946397	498602	499311	1000000	1000000	48.37533286054335	48.37499015751444	48.382807676174124	48.388533009941916	0	0	0	0	0	0	-60	3284	-1432	8	-2004	14	-164	192	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=100 KNN_REPEAT=10000
KD_LEVY-P-1	OSM(1.0,0.0,null)	2	64	1000000	0	85210344	85	96	1059	1059	272	253	1625	1604	3380	3974	56400	57000	83400	84200	1470	1470	0	0	0	0	0	964405	975906	499115	499909	1000000	1000000	48.356909567076244	48.390133601525804	48.36326398424034	48.383355028874725	0	0	0	0	0	0	-50	3402	-1432	4	-2291	12	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=100 KNN_REPEAT=10000
KD_LEVY-P-2	OSM(1.0,0.0,null)	2	64	1000000	0	85228712	85	92	1059	1059	284	245	1623	1629	3480	4015	53100	55000	86000	82200	1417	1417	0	0	0	0	0	931092	973280	499581	499717	1000000	1000000	48.36044130197221	48.38146136849379	48.371749488331005	48.38231344813836	0	0	0	0	0	0	-61	8962	-1719	12	-2291	14	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=100 KNN_REPEAT=10000
KD_LEVY-P-0	OSM(1.0,0.0,null)	2	64	1000000	0	85106704	85	91	1039	1039	125	126	1632	1594	3421	3977	57100	55300	85000	85200	1572	1572	0	0	0	0	0	9726847	9790584	498602	499311	1000000	1000000	48.37533286054335	48.37499015751444	48.382807676174124	48.388533009941916	0	0	-860	6	0	0	-316	2728	-1432	8	-2004	8	-92	7176	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-1	OSM(1.0,0.0,null)	2	64	1000000	0	85106704	85	96	1047	1047	123	120	1623	1601	3372	4029	59600	57900	86900	87700	1458	1458	0	0	0	0	0	9864148	9946597	499115	499909	1000000	1000000	48.356909567076244	48.390133601525804	48.36326398424034	48.383355028874725	0	0	-860	6	0	0	-213	3538	-1432	6	-2291	14	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-2	OSM(1.0,0.0,null)	2	64	1000000	0	85106704	85	85	1050	1050	130	123	1596	1601	3457	3993	54400	57000	85200	83000	1426	1426	0	0	0	0	0	9565745	9757675	499581	499717	1000000	1000000	48.36044130197221	48.38146136849379	48.371749488331005	48.38231344813836	0	0	-858	6	0	0	-309	366	-1719	6	-2291	10	265	8568	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_LEVY-P-0	OSM(1.0,0.0,null)	2	64	1000000	0	85135872	85	84	1044	1044	84	85	1659	1701	3462	4270	59300	57000	86200	87000	1518	1518	0	0	0	0	0	100989940	102226695	498602	499311	1000000	1000000	48.37533286054335	48.37499015751444	48.382807676174124	48.388533009941916	0	0	-10027	86	-214	52	-266	280	-1432	6	-2291	6	206	9692	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10000 KNN_REPEAT=10000
KD_LEVY-P-1	OSM(1.0,0.0,null)	2	64	1000000	0	85135640	85	44	1014	1014	89	91	1662	1684	3534	4067	60700	59500	88100	88300	1486	1486	0	0	0	0	0	103263937	102149233	499115	499909	1000000	1000000	48.356909567076244	48.390133601525804	48.36326398424034	48.383355028874725	0	0	-9742	114	0	0	-229	3172	-1432	6	-2291	12	0	0	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10000 KNN_REPEAT=10000
KD_LEVY-P-2	OSM(1.0,0.0,null)	2	64	1000000	0	85135640	85	39	1010	1010	87	87	1679	1682	3539	4068	55900	57300	89200	87800	1479	1479	0	0	0	0	0	101931450	102072889	499581	499717	1000000	1000000	48.36044130197221	48.38146136849379	48.371749488331005	48.38231344813836	0	0	-9739	98	0	0	-83	3226	-1432	8	-2291	12	132	3886	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10000 KNN_REPEAT=10000
