Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
KD_SAVA-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	100328568	100	208	257	257	10497	7685	823	831	2636	3052	170333	169833	192233	195266	576	576	0	0	0	0	0	10587	10843	499718	499393	1000000	1000000	0.05419837995319996	0.054319932380711124	0.054780792327908424	0.05500246729045388	0	0	-264	1	0	0	-795	2821	0	0	0	0	-259	71	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_SAVA-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	101228296	101	212	263	263	2125	1661	890	869	2595	3038	172800	173433	193500	193933	607	607	0	0	0	0	0	94132	101741	499718	499393	1000000	1000000	0.05419837995319996	0.054319932380711124	0.054780792327908424	0.05500246729045388	0	0	-303	1	150	1564	-598	2658	0	0	0	0	-362	2230	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_SAVA-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	101169488	101	209	259	259	502	464	879	865	2627	3072	171166	171633	191766	190866	618	618	0	0	0	0	0	982247	1019482	499718	499393	1000000	1000000	0.05419837995319996	0.054319932380711124	0.054780792327908424	0.05500246729045388	0	0	-1146	7	0	0	-1159	1040	9	10336	0	0	-616	1054	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_SAVA-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	101110322	101	212	251	251	210	200	910	893	2700	3180	177133	176733	197766	200533	571	571	0	0	0	0	0	9953316	10038293	499718	499393	1000000	1000000	0.05419837995319996	0.054319932380711124	0.054780792327908424	0.05500246729045388	0	0	-5633	27	71	884	-992	2067	0	0	-301	0	-260	60	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_SAVA-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	101163821	101	201	257	257	116	116	875	900	2755	3191	178566	178266	202466	201300	610	610	0	0	0	0	0	100764901	101015445	499718	499393	1000000	1000000	0.05419837995319996	0.054319932380711124	0.054780792327908424	0.05500246729045388	0	0	-42021	190	0	0	-1095	4372	0	0	0	0	-442	128	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
% Measurements
% ============
KD_SAVA-P-0	CLUSTER(5.0,0.0,null)	3	64	1000000	0	100327152	100	202	264	264	12729	9297	826	834	2583	3125	177600	177200	201000	200600	605	605	0	0	0	0	0	8484	9250	499939	498463	1000000	1000000	0.05466107196741907	0.05458481027037169	0.05512982026722505	0.05508914148757553	0	0	-264	2	0	0	-726	4632	0	0	0	0	-257	86	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_SAVA-P-1	CLUSTER(5.0,0.0,null)	3	64	1000000	0	100328000	100	219	243	243	8393	7005	813	824	2656	2914	167100	166100	188700	197400	562	562	0	0	0	0	0	13344	10992	499851	500135	1000000	1000000	0.054026462819069455	0.05406714187510115	0.05460974098412291	0.05475177087984605	0	0	-263	0	0	0	-603	1788	0	0	0	0	-261	64	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_SAVA-P-2	CLUSTER(5.0,0.0,null)	3	64	1000000	0	100330552	100	205	264	264	10369	6755	830	836	2671	3119	166300	166200	187000	187800	562	562	0	0	0	0	0	9933	12287	499364	499583	1000000	1000000	0.05390760507311137	0.05430784499666055	0.05460281573237733	0.05516648950394006	0	0	-263	2	0	0	-1056	2044	0	0	0	0	-259	64	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_SAVA-P-0	CLUSTER(5.0,0.0,null)	3	64	1000000	0	101227304	101	213	273	273	2706	1784	895	869	2576	2952	179900	178900	201000	198600	561	561	0	0	0	0	0	76839	96369	499939	498463	1000000	1000000	0.05466107196741907	0.05458481027037169	0.05512982026722505	0.05508914148757553	0	0	-302	2	229	2322	-559	1728	0	0	0	0	-259	74	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_SAVA-P-1	CLUSTER(5.0,0.0,null)	3	64	1000000	0	101229840	101	222	259	259	1797	1755	890	874	2566	3033	170000	169800	192100	194800	615	615	0	0	0	0	0	107949	93413	499851	500135	1000000	1000000	0.054026462819069455	0.05406714187510115	0.05460974098412291	0.05475177087984605	0	0	-303	0	223	2370	-765	1944	0	0	-164	10562	-439	1840	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_SAVA-P-2	CLUSTER(5.0,0.0,null)	3	64	1000000	0	101227744	101	203	257	257	1874	1446	886	865	2643	3130	168500	171600	187400	188400	647	647	0	0	0	0	0	97608	115443	499364	499583	1000000	1000000	0.05390760507311137	0.05430784499666055	0.05460281573237733	0.05516648950394006	0	0	-302	2	0	0	-471	4302	-321	10380	0	0	-388	4778	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
KD_SAVA-P-0	CLUSTER(5.0,0.0,null)	3	64	1000000	0	101174512	101	213	257	257	523	487	892	879	2619	3117	176800	177800	196000	196400	598	598	0	0	0	0	0	956165	1001799	499939	498463	1000000	1000000	0.05466107196741907	0.05458481027037169	0.05512982026722505	0.05508914148757553	0	0	-1146	8	0	0	-1128	524	9	10336	0	0	-556	154	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=1.0E-4
