Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
KD_SAVA-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	93196240	93	59	451	451	8449	6584	1176	1171	3563	4904	53900	28633	38700	39066	1505	1505	0	0	0	0	0	9154	9976	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	0	0	-265	2	0	0	-765	2774	-306	0	0	0	-348	98	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000
KD_SAVA-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	93821888	93	89	492	492	1698	1400	1107	1168	3322	4810	32266	25300	38033	36800	1492	1492	0	0	0	0	0	93858	98317	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	0	0	-301	2	-41	44	-553	2729	0	0	-100	3978	-265	54	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000
KD_SAVA-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	94227765	94	83	490	490	452	409	1115	1138	3404	4735	53600	27866	37433	36500	1504	1504	0	0	0	0	0	950526	965194	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	0	0	-1146	8	-42	79	-653	2629	0	0	0	0	-380	1097	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=100 KNN_REPEAT=10000
KD_SAVA-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	93108658	93	89	484	484	171	169	1151	1171	3426	4837	54466	27666	38566	38033	1521	1521	0	0	0	0	0	9718913	9831618	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	0	0	-4917	24	-40	83	-598	4409	0	0	0	0	-436	142	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_SAVA-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	93157058	93	90	484	484	96	96	1187	1172	3383	4842	76733	29966	38200	37833	1523	1523	0	0	0	0	0	102061775	102149605	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	0	0	-32375	147	57	1019	-662	4696	-297	2	-288	2	-440	142	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10000 KNN_REPEAT=10000
% Measurements
% ============
KD_SAVA-P-0	OSM(1.0,0.0,null)	2	64	1000000	0	93221064	93	43	452	452	6732	7195	1198	1187	3651	5009	22300	21600	37900	38600	1510	1510	0	0	0	0	0	9358	9311	498602	499311	1000000	1000000	0.04916029490071369	0.04936437541332183	0.059596650872003845	0.061404670622767374	0	0	-266	2	0	0	-939	2930	-306	0	0	0	-528	156	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000
KD_SAVA-P-1	OSM(1.0,0.0,null)	2	64	1000000	0	93173168	93	37	442	442	7512	7052	1233	1229	3750	4995	54300	39700	42000	42000	1504	1504	0	0	0	0	0	8918	9359	499115	499909	1000000	1000000	0.04864321189335936	0.04903721717711428	0.059308655119097296	0.06079901559492146	0	0	-259	2	0	0	-858	2960	-288	2	0	0	-266	50	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000
KD_SAVA-P-2	OSM(1.0,0.0,null)	2	64	1000000	0	93194488	93	97	461	461	11103	5506	1097	1098	3288	4709	85100	24600	36200	36600	1501	1501	0	0	0	0	0	9186	11260	499581	499717	1000000	1000000	0.048081656793504596	0.04985873333855349	0.06092629245375454	0.061411135797187766	0	0	-268	2	0	0	-498	2432	0	0	-289	2	-251	88	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000
