Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
KD_SAVA-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	93206928	93	86	1244	1244	14675	12838	2085	2153	7144	11455	1365066	1324600	1339900	1318366	6035	6035	0	0	0	0	0	16758	16185	499099	499645	1000000	1000000	2.1345972056443236	2.130072151367063	2.1191476482560136	2.1021535905362527	0	0	-859	4	0	0	-1098	7018	-194	10428	-286	2	-1430	160	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000
KD_SAVA-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	91782834	91	88	1164	1164	2822	2741	2106	2108	7373	11516	1363033	1338866	1350200	1344233	6372	6372	0	0	0	0	0	165130	162812	499099	499645	1000000	1000000	2.1345972056443236	2.130072151367063	2.1191476482560136	2.1021535905362527	0	0	-1719	11	0	0	-839	3292	-286	2	-573	2	-1499	181	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000
KD_SAVA-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	93149826	93	89	1163	1163	735	717	2077	2087	7280	11729	1328900	1321466	1333966	1326266	6166	6166	0	0	0	0	0	1658878	1656675	499099	499645	1000000	1000000	2.1345972056443236	2.130072151367063	2.1191476482560136	2.1021535905362527	0	0	-4296	22	0	0	-728	4692	-301	0	-286	2	-1427	148	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=100 KNN_REPEAT=10000
KD_SAVA-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	93093800	93	88	1164	1164	239	236	2080	2087	7215	11711	1313233	1302100	1320066	1310533	6392	6392	0	0	0	0	0	17855539	17942743	499099	499645	1000000	1000000	2.1345972056443236	2.130072151367063	2.1191476482560136	2.1021535905362527	0	0	-15948	67	0	0	-887	4889	-297	0	-286	2	-1580	204	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1000 KNN_REPEAT=10000
KD_SAVA-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	93147141	93	84	1248	1248	99	98	2068	2084	7193	11432	1333500	1311366	1320633	1311000	6244	6244	0	0	0	0	0	224708083	227096353	499099	499645	1000000	1000000	2.1345972056443236	2.130072151367063	2.1191476482560136	2.1021535905362527	0	0	-91781	381	-40	81	-827	5538	-286	2	-572	4	-1598	192	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10000 KNN_REPEAT=10000
% Measurements
% ============
KD_SAVA-P-0	TIGER(1.0,0.0,null)	2	64	1000000	0	93184576	93	85	1428	1428	14978	12768	2075	2124	7146	11470	1377300	1346400	1345500	1319700	6095	6095	0	0	0	0	0	15889	15977	498602	499311	1000000	1000000	2.1721273139292623	2.155762996524328	2.0965827791974316	2.1029340791693776	0	0	-859	4	0	0	-1078	5080	-194	10428	-286	2	-1430	162	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000
KD_SAVA-P-1	TIGER(1.0,0.0,null)	2	64	1000000	0	93218424	93	83	1151	1151	15307	13447	2082	2163	7101	11421	1376400	1317700	1348100	1309800	6199	6199	0	0	0	0	0	16920	15914	499115	499909	1000000	1000000	2.141509136529285	2.117898484983325	2.143403745015001	2.08716546866168	0	0	-859	4	0	0	-1081	4878	-188	10620	-286	2	-1430	160	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000
KD_SAVA-P-2	TIGER(1.0,0.0,null)	2	64	1000000	0	93217784	93	90	1153	1153	13741	12301	2099	2174	7185	11476	1341500	1309700	1326100	1325600	5813	5813	0	0	0	0	0	17465	16665	499581	499717	1000000	1000000	2.090155166474423	2.1165549725935366	2.117456420555608	2.1163612237777008	0	0	-859	4	0	0	-1136	11096	-188	10534	-286	2	-1430	160	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=1 KNN_REPEAT=10000
KD_SAVA-P-0	TIGER(1.0,0.0,null)	2	64	1000000	0	92884408	92	92	1166	1166	2977	2820	2078	2111	7255	11297	1416600	1356900	1338600	1347100	6218	6218	0	0	0	0	0	156527	161663	498602	499311	1000000	1000000	2.1721273139292623	2.155762996524328	2.0965827791974316	2.1029340791693776	0	0	-1719	12	0	0	-650	4716	-286	2	-573	2	-1680	196	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000
KD_SAVA-P-1	TIGER(1.0,0.0,null)	2	64	1000000	0	91233240	91	90	1167	1167	2781	2678	2150	2140	7546	11787	1364300	1349000	1387200	1351700	6610	6610	0	0	0	0	0	167539	165746	499115	499909	1000000	1000000	2.141509136529285	2.117898484983325	2.143403745015001	2.08716546866168	0	0	-1719	12	0	0	-945	4774	-302	2	-287	2	-1407	172	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000
KD_SAVA-P-2	TIGER(1.0,0.0,null)	2	64	1000000	0	91230856	91	82	1160	1160	2708	2726	2090	2074	7319	11464	1308200	1310700	1324800	1333900	6289	6289	0	0	0	0	0	171325	161029	499581	499717	1000000	1000000	2.090155166474423	2.1165549725935366	2.117456420555608	2.1163612237777008	0	0	-1719	10	0	0	-924	388	-297	2	-286	2	-1409	176	Please provide configuration information for  every test candidate class in the toString() method. WINDOW_RESULTS=10 KNN_REPEAT=10000
