Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	65	64679848	64	101	611	611	2163	2112	453	448	645	634	11466	11366	46666	45500	535	535	449897	47	126552	0	0	20027	20037	583057	541071	1000000	1000000	0.005549550437770283	0.005544053241235799	0.010311137994242721	0.010308335453926603	0	0	0	0	0	0	-1127	37	0	0	0	0	-298	10	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1 KNN_REPEAT=10000
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	65	65009962	64	102	606	606	946	952	453	446	641	627	11233	11133	45200	43600	540	540	449897	47	126552	0	0	109888	109890	583057	541071	1000000	1000000	0.005549550437770283	0.005544053241235799	0.010311137994242721	0.010308335453926603	0	0	0	0	0	0	-1126	36	0	0	0	0	-298	10	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=10 KNN_REPEAT=10000
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	65	65023936	65	100	609	609	368	366	454	462	636	636	11233	11266	45100	44200	542	542	449897	47	126552	0	0	1009472	1010685	583057	541071	1000000	1000000	0.005549550437770283	0.005544053241235799	0.010311137994242721	0.010308335453926603	0	0	0	0	0	0	-1127	38	0	0	0	0	-298	11	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=100 KNN_REPEAT=10000
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	65	65499064	65	83	605	605	202	202	452	452	639	638	11133	11033	44700	43900	547	547	449897	47	126552	0	0	10009376	10010849	583057	541071	1000000	1000000	0.005549550437770283	0.005544053241235799	0.010311137994242721	0.010308335453926603	0	0	0	0	0	0	-1127	36	0	0	0	0	-298	10	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	65	65035256	65	100	595	595	152	152	447	450	646	630	11200	11200	45466	44500	534	534	449897	47	126552	0	0	100038137	100028533	583057	541071	1000000	1000000	0.005549550437770283	0.005544053241235799	0.010311137994242721	0.010308335453926603	0	0	0	0	0	0	-1132	35	0	0	0	0	-295	12	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=10000 KNN_REPEAT=10000
% Measurements
% ============
PHC-P-0	CUBE(1.0,0.0,null)	3	64	1000000	65	65039208	65	93	607	607	2139	2087	450	446	657	637	11400	11400	46200	47000	537	537	450056	47	126481	0	0	20096	20115	583280	540103	1000000	1000000	0.005540494385698991	0.005522094710687428	0.01032014395051017	0.010320052554053182	0	0	0	0	0	0	-1126	38	0	0	0	0	-298	12	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1 KNN_REPEAT=10000
PHC-P-1	CUBE(1.0,0.0,null)	3	64	1000000	65	64476032	64	103	615	615	2098	2111	459	452	640	638	11000	11000	45800	43400	530	530	449687	47	126486	0	0	20012	19889	582935	541949	1000000	1000000	0.005551490700883239	0.00554313718533145	0.010302345415432715	0.010323751122532447	0	0	0	0	0	0	-1127	36	0	0	0	0	-298	12	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1 KNN_REPEAT=10000
PHC-P-2	CUBE(1.0,0.0,null)	3	64	1000000	65	64524304	64	109	612	612	2252	2138	452	446	639	629	12000	11700	48000	46100	540	540	449950	47	126690	0	0	19975	20107	582958	541161	1000000	1000000	0.005556666226728621	0.005566927827688519	0.01031092461678528	0.010281202685194179	0	0	0	0	0	0	-1127	38	0	0	0	0	-298	8	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1 KNN_REPEAT=10000
PHC-P-0	CUBE(1.0,0.0,null)	3	64	1000000	65	65018256	65	100	614	614	934	953	451	445	647	636	11300	10800	45200	42300	545	545	450056	47	126481	0	0	110246	110169	583280	540103	1000000	1000000	0.005540494385698991	0.005522094710687428	0.01032014395051017	0.010320052554053182	0	0	0	0	0	0	-1126	36	0	0	0	0	-298	12	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=10 KNN_REPEAT=10000
PHC-P-1	CUBE(1.0,0.0,null)	3	64	1000000	65	64981680	64	106	598	598	948	967	455	448	651	626	11100	11200	44500	43800	533	533	449687	47	126486	0	0	109600	109609	582935	541949	1000000	1000000	0.005551490700883239	0.00554313718533145	0.010302345415432715	0.010323751122532447	0	0	0	0	0	0	-1127	36	0	0	0	0	-298	12	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=10 KNN_REPEAT=10000
PHC-P-2	CUBE(1.0,0.0,null)	3	64	1000000	65	65029952	65	101	608	608	956	937	453	447	626	619	11300	11400	45900	44700	543	543	449950	47	126690	0	0	109818	109894	582958	541161	1000000	1000000	0.005556666226728621	0.005566927827688519	0.01031092461678528	0.010281202685194179	0	0	0	0	0	0	-1125	36	0	0	0	0	-298	8	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=10 KNN_REPEAT=10000
PHC-P-0	CUBE(1.0,0.0,null)	3	64	1000000	65	65039208	65	96	612	612	367	361	456	489	641	651	11100	11100	43800	43000	552	552	450056	47	126481	0	0	1009367	1009712	583280	540103	1000000	1000000	0.005540494385698991	0.005522094710687428	0.01032014395051017	0.010320052554053182	0	0	0	0	0	0	-1126	38	0	0	0	0	-298	14	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=100 KNN_REPEAT=10000
PHC-P-1	CUBE(1.0,0.0,null)	3	64	1000000	65	65002640	65	99	615	615	373	370	455	454	635	635	11500	11600	45600	45300	534	534	449687	47	126486	0	0	1009473	1012858	582935	541949	1000000	1000000	0.005551490700883239	0.00554313718533145	0.010302345415432715	0.010323751122532447	0	0	0	0	0	0	-1127	38	0	0	0	0	-298	12	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=100 KNN_REPEAT=10000
PHC-P-2	CUBE(1.0,0.0,null)	3	64	1000000	65	65029960	65	107	602	602	366	367	451	443	632	623	11100	11100	45900	44300	542	542	449950	47	126690	0	0	1009578	1009486	582958	541161	1000000	1000000	0.005556666226728621	0.005566927827688519	0.01031092461678528	0.010281202685194179	0	0	0	0	0	0	-1127	38	0	0	0	0	-298	8	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=100 KNN_REPEAT=10000
