Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC_IPP-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	53	53061194	52	206	463	463	723	653	338	346	991	1000	48000	48666	117333	121000	346	346	467896	25	127868	0	0	10587	10843	499718	499393	1000000	1000000	0.053679741472988214	0.053743099574340945	0.0546671367056459	0.055505004701086276	-189	141	0	0	0	0	-1412	120	0	0	0	0	-289	20	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	53	52919704	52	205	473	473	177	170	331	333	976	1009	48000	47666	111666	112333	344	344	467896	25	127868	0	0	94132	101741	499718	499393	1000000	1000000	0.053679741472988214	0.053743099574340945	0.0546671367056459	0.055505004701086276	-189	139	0	0	0	0	-1424	121	0	0	0	0	-289	17	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=10 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	53	52919701	52	207	477	477	101	100	335	336	967	1002	48000	47666	114666	113666	346	346	467896	25	127868	0	0	982247	1019482	499718	499393	1000000	1000000	0.053679741472988214	0.053743099574340945	0.0546671367056459	0.055505004701086276	-189	147	0	0	0	0	-1412	122	0	0	0	0	-290	17	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=100 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	53	53537008	52	219	471	471	86	86	330	354	1013	1020	48000	48333	114000	113333	333	333	467896	25	127868	0	0	9953316	10038293	499718	499393	1000000	1000000	0.053679741472988214	0.053743099574340945	0.0546671367056459	0.055505004701086276	-189	138	0	0	0	0	-1679	157	0	0	0	0	-290	16	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	53	52762658	52	216	463	463	82	81	333	344	952	1016	47666	47333	119000	113000	347	347	467896	25	127868	0	0	100764901	101015445	499718	499393	1000000	1000000	0.053679741472988214	0.053743099574340945	0.0546671367056459	0.055505004701086276	-189	138	0	0	0	0	-1413	120	0	0	0	0	-193	12	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=10000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
% Measurements
% ============
PHC_IPP-P-0	CLUSTER(5.0,0.0,null)	3	64	1000000	53	52407936	52	228	478	478	942	756	351	340	969	1007	49000	49000	113000	117000	362	362	467714	25	127888	0	0	8484	9250	499939	498463	1000000	1000000	0.053534673631053374	0.05395919423978139	0.054935742648982586	0.055961493042556175	-190	140	0	0	0	0	-1421	112	0	0	0	0	-289	24	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-P-1	CLUSTER(5.0,0.0,null)	3	64	1000000	53	52936648	52	216	476	476	524	636	337	341	985	1035	48000	48000	113000	127000	340	340	468014	25	127949	0	0	13344	10992	499851	500135	1000000	1000000	0.05441701540572151	0.05371421351592478	0.053749717149568096	0.054863404198025156	-189	140	0	0	0	0	-1423	118	0	0	0	0	-291	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-P-2	CLUSTER(5.0,0.0,null)	3	64	1000000	53	53839000	53	176	435	435	704	569	328	359	1021	959	47000	49000	126000	119000	337	337	467962	25	127769	0	0	9933	12287	499364	499583	1000000	1000000	0.05308753538218978	0.05355589096731666	0.05531595031838702	0.0556901168626775	-188	144	0	0	0	0	-1392	130	0	0	0	0	-289	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-P-0	CLUSTER(5.0,0.0,null)	3	64	1000000	53	52902832	52	208	466	466	182	166	330	335	964	1014	48000	50000	114000	117000	352	352	467714	25	127888	0	0	76839	96369	499939	498463	1000000	1000000	0.053534673631053374	0.05395919423978139	0.054935742648982586	0.055961493042556175	-189	138	0	0	0	0	-1422	136	0	0	0	0	-290	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=10 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-P-1	CLUSTER(5.0,0.0,null)	3	64	1000000	53	52936656	52	204	465	465	157	171	328	333	973	1018	48000	45000	107000	105000	346	346	468014	25	127949	0	0	107949	93413	499851	500135	1000000	1000000	0.05441701540572151	0.05371421351592478	0.053749717149568096	0.054863404198025156	-189	138	0	0	0	0	-1428	114	0	0	0	0	-287	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=10 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-P-2	CLUSTER(5.0,0.0,null)	3	64	1000000	53	52919624	52	205	489	489	194	173	336	332	993	995	48000	48000	114000	115000	334	334	467962	25	127769	0	0	97608	115443	499364	499583	1000000	1000000	0.05308753538218978	0.05355589096731666	0.05531595031838702	0.0556901168626775	-189	142	0	0	0	0	-1420	114	0	0	0	0	-290	16	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=10 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-P-0	CLUSTER(5.0,0.0,null)	3	64	1000000	53	52896256	52	207	507	507	101	99	329	348	970	1004	48000	51000	116000	119000	363	363	467714	25	127888	0	0	956165	1001799	499939	498463	1000000	1000000	0.053534673631053374	0.05395919423978139	0.054935742648982586	0.055961493042556175	-189	152	0	0	0	0	-1390	142	0	0	0	0	-289	16	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=100 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-P-1	CLUSTER(5.0,0.0,null)	3	64	1000000	53	52930080	52	207	467	467	102	102	343	331	962	1016	48000	46000	112000	107000	343	343	468014	25	127949	0	0	1021073	1027842	499851	500135	1000000	1000000	0.05441701540572151	0.05371421351592478	0.053749717149568096	0.054863404198025156	-189	144	0	0	0	0	-1423	112	0	0	0	0	-290	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=100 KNN_REPEAT=1000 UPD_DIST=1.0E-4
PHC_IPP-P-2	CLUSTER(5.0,0.0,null)	3	64	1000000	53	52932768	52	207	457	457	101	101	333	330	970	988	48000	46000	116000	115000	332	332	467962	25	127769	0	0	969504	1028806	499364	499583	1000000	1000000	0.05308753538218978	0.05355589096731666	0.05531595031838702	0.0556901168626775	-189	146	0	0	0	0	-1422	112	0	0	0	0	-290	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=100 KNN_REPEAT=1000 UPD_DIST=1.0E-4
