Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC_IPP-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	65	65175850	65	82	431	431	1020	980	479	491	1220	1234	15066	14966	39833	40100	410	410	725666	26	208284	0	0	9154	9976	499099	499645	1000000	1000000	0.0486283878625546	0.049420108643044296	0.059943866148302015	0.061204940671637086	0	0	0	0	0	0	-1397	146	0	0	0	0	-301	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1 KNN_REPEAT=10000
PHC_IPP-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	65	65175832	65	69	430	430	244	220	472	473	1190	1222	14866	14733	39033	39033	405	405	725666	26	208284	0	0	93858	98317	499099	499645	1000000	1000000	0.0486283878625546	0.049420108643044296	0.059943866148302015	0.061204940671637086	0	0	0	0	0	0	-1399	146	0	0	0	0	-301	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=10 KNN_REPEAT=10000
PHC_IPP-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	65	65175850	65	73	417	417	119	114	465	465	1202	1233	14500	14600	39533	38900	406	406	725666	26	208284	0	0	950526	965194	499099	499645	1000000	1000000	0.0486283878625546	0.049420108643044296	0.059943866148302015	0.061204940671637086	0	0	0	0	0	0	-1398	146	0	0	0	0	-301	19	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=100 KNN_REPEAT=10000
PHC_IPP-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	65	65175850	65	80	416	416	85	86	471	469	1189	1226	15200	14866	39466	40000	409	409	725666	26	208284	0	0	9718913	9831618	499099	499645	1000000	1000000	0.0486283878625546	0.049420108643044296	0.059943866148302015	0.061204940671637086	0	0	0	0	0	0	-1398	145	0	0	0	0	-301	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC_IPP-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	65	65180272	65	83	432	432	83	83	471	464	1208	1249	14400	14700	38366	38666	409	409	725666	26	208284	0	0	102061775	102149605	499099	499645	1000000	1000000	0.0486283878625546	0.049420108643044296	0.059943866148302015	0.061204940671637086	0	0	0	0	0	0	-1399	148	0	0	0	0	-302	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=10000 KNN_REPEAT=10000
% Measurements
% ============
PHC_IPP-P-0	OSM(1.0,0.0,null)	2	64	1000000	65	65175848	65	87	430	430	961	1181	464	459	1209	1231	15000	14600	39500	40000	416	416	725666	26	208284	0	0	9358	9311	498602	499311	1000000	1000000	0.049160294900757295	0.049364375413356865	0.05959665087202385	0.061404670622768734	0	0	0	0	0	0	-1389	140	0	0	0	0	-304	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1 KNN_REPEAT=10000
PHC_IPP-P-1	OSM(1.0,0.0,null)	2	64	1000000	65	65175856	65	80	431	431	1121	961	487	514	1187	1222	14400	14300	37700	38500	408	408	725666	26	208284	0	0	8918	9359	499115	499909	1000000	1000000	0.04864321189337979	0.04903721717716833	0.05930865511910699	0.06079901559493752	0	0	0	0	0	0	-1401	148	0	0	0	0	-300	20	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1 KNN_REPEAT=10000
PHC_IPP-P-2	OSM(1.0,0.0,null)	2	64	1000000	65	65175848	65	80	433	433	979	799	488	500	1264	1251	15800	16000	42300	41800	408	408	725666	26	208284	0	0	9186	11260	499581	499717	1000000	1000000	0.0480816567935267	0.049858733338607686	0.06092629245377521	0.06141113579720501	0	0	0	0	0	0	-1400	150	0	0	0	0	-300	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1 KNN_REPEAT=10000
