Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC_IPP-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	74	74776405	74	79	489	489	576	597	413	417	1383	1512	182300	183766	295133	296733	409	409	845654	25	139433	0	0	16758	16185	499099	499645	1000000	1000000	2.134597205644052	2.130072151366788	2.119147648255874	2.1021535905361004	-190	105	0	0	0	0	-1367	1516	-1147	8	-1432	8	-184	708	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1 KNN_REPEAT=10000
PHC_IPP-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	74	74776122	74	85	493	493	177	161	438	437	1362	1503	180333	180466	291533	294000	396	396	845654	25	139433	0	0	165130	162812	499099	499645	1000000	1000000	2.134597205644052	2.130072151366788	2.119147648255874	2.1021535905361004	-190	104	0	0	0	0	-1363	2192	-1146	8	-1432	8	-191	13	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=10 KNN_REPEAT=10000
PHC_IPP-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	74	74776077	74	75	474	474	101	101	422	411	1374	1496	181966	183400	295966	295800	409	409	845654	25	139433	0	0	1658878	1656675	499099	499645	1000000	1000000	2.134597205644052	2.130072151366788	2.119147648255874	2.1021535905361004	-190	104	0	0	0	0	-1374	812	-1146	8	-1432	6	-189	1370	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=100 KNN_REPEAT=10000
PHC_IPP-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	74	74809776	74	77	500	500	85	85	419	414	1376	1473	182033	182700	294033	295400	412	412	845654	25	139433	0	0	17855539	17942743	499099	499645	1000000	1000000	2.134597205644052	2.130072151366788	2.119147648255874	2.1021535905361004	-190	104	0	0	0	0	-1372	834	-1146	2	-1432	10	-183	1366	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC_IPP-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	74	74808712	74	75	492	492	85	85	419	416	1370	1506	180833	181433	292733	294933	400	400	845654	25	139433	0	0	224708083	227096353	499099	499645	1000000	1000000	2.134597205644052	2.130072151366788	2.119147648255874	2.1021535905361004	-190	103	0	0	0	0	-1369	1520	-1147	6	-1432	8	-194	687	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=10000 KNN_REPEAT=10000
% Measurements
% ============
PHC_IPP-P-0	TIGER(1.0,0.0,null)	2	64	1000000	74	74777056	74	85	503	503	566	563	409	426	1372	1519	186100	188700	296000	297700	399	399	845654	25	139433	0	0	15889	15977	498602	499311	1000000	1000000	2.172127313928969	2.1557629965240217	2.0965827791972975	2.1029340791692133	-190	106	0	0	0	0	-1638	2204	-1147	8	-1432	8	-287	20	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1 KNN_REPEAT=10000
PHC_IPP-P-1	TIGER(1.0,0.0,null)	2	64	1000000	74	74776000	74	76	478	478	591	628	422	416	1414	1550	180100	180400	294900	296500	406	406	845654	25	139433	0	0	16920	15914	499115	499909	1000000	1000000	2.1415091365289944	2.1178984849830704	2.14340374501485	2.0871654686615377	-190	106	0	0	0	0	-1371	2194	-1147	4	-1432	8	-287	20	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1 KNN_REPEAT=10000
PHC_IPP-P-2	TIGER(1.0,0.0,null)	2	64	1000000	74	74776160	74	76	487	487	572	600	409	410	1363	1469	180700	182200	294500	296000	423	423	845654	25	139433	0	0	17465	16665	499581	499717	1000000	1000000	2.090155166474192	2.1165549725932724	2.1174564205554747	2.1163612237775498	-190	104	0	0	0	0	-1091	152	-1146	6	-1432	8	21	2084	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1 KNN_REPEAT=10000
