Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	99932048	99	102	455	455	3877	2877	557	556	712	747	5566	5700	15200	15233	694	694	297105	8	0	0	0	20027	20037	583057	541071	1000000	1000000	0.005549550437770283	0.005544053241235799	0.010311137994242721	0.010308335453926603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000012195637187, 0.5000015752099962, 0.5000021929436951]/0.9999967737353793 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	99800061	99	55	438	438	1398	1170	594	604	780	812	5766	5800	15766	16000	728	728	297105	8	0	0	0	109888	109890	583057	541071	1000000	1000000	0.005549550437770283	0.005544053241235799	0.010311137994242721	0.010308335453926603	0	0	0	0	0	0	-395	166	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000012195637187, 0.5000015752099962, 0.5000021929436951]/0.9999967737353793 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	99786120	99	55	427	427	430	411	575	570	727	815	5700	5766	15566	15600	757	757	297105	8	0	0	0	1009472	1010685	583057	541071	1000000	1000000	0.005549550437770283	0.005544053241235799	0.010311137994242721	0.010308335453926603	0	0	0	0	0	0	-242	86	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000012195637187, 0.5000015752099962, 0.5000021929436951]/0.9999967737353793 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	98480232	98	56	434	434	210	208	577	576	766	804	5700	5866	15566	15566	721	721	297105	8	0	0	0	10009376	10010849	583057	541071	1000000	1000000	0.005549550437770283	0.005544053241235799	0.010311137994242721	0.010308335453926603	0	0	-296	2	0	0	-467	167	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000012195637187, 0.5000015752099962, 0.5000021929436951]/0.9999967737353793 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	99423152	99	79	431	431	145	146	573	579	715	763	5533	5733	15766	15200	716	716	297105	8	0	0	0	100038137	100028533	583057	541071	1000000	1000000	0.005549550437770283	0.005544053241235799	0.010311137994242721	0.010308335453926603	0	0	-2290	12	0	0	-82	27	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000012195637187, 0.5000015752099962, 0.5000021929436951]/0.9999967737353793 WINDOW_RESULTS=10000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
% Measurements
% ============
QKDZ-P-0	CUBE(1.0,0.0,null)	3	64	1000000	0	99928944	99	102	452	452	3931	2883	558	558	722	749	5600	5700	15000	15100	699	699	297072	8	0	0	0	20096	20115	583280	540103	1000000	1000000	0.005540494385698991	0.005522094710687428	0.01032014395051017	0.010320052554053182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000008839398181, 0.5000013353908426, 0.49999469952707937]/0.9999972296904882 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-1	CUBE(1.0,0.0,null)	3	64	1000000	0	99930328	99	110	464	464	3847	2916	556	552	700	736	5600	5800	15100	15300	692	692	297088	8	0	0	0	20012	19889	582935	541949	1000000	1000000	0.005551490700883239	0.00554313718533145	0.010302345415432715	0.010323751122532447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000018887162908, 0.5000013275339956, 0.49999892722617734]/0.9999977003770615 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-2	CUBE(1.0,0.0,null)	3	64	1000000	0	99936872	99	94	451	451	3854	2834	558	558	716	756	5500	5600	15500	15300	691	691	297156	8	0	0	0	19975	20107	582958	541161	1000000	1000000	0.005556666226728621	0.005566927827688519	0.01031092461678528	0.010281202685194179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000012195637187, 0.5000015752099962, 0.5000021929436951]/0.9999967737353793 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-0	CUBE(1.0,0.0,null)	3	64	1000000	0	99808296	99	56	461	461	1387	1189	634	653	754	811	6000	6000	16000	16300	738	738	297072	8	0	0	0	110246	110169	583280	540103	1000000	1000000	0.005540494385698991	0.005522094710687428	0.01032014395051017	0.010320052554053182	0	0	0	0	0	0	-241	88	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000008839398181, 0.5000013353908426, 0.49999469952707937]/0.9999972296904882 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-1	CUBE(1.0,0.0,null)	3	64	1000000	0	99792672	99	55	430	430	1414	1167	569	588	795	823	5700	5600	15600	15900	730	730	297088	8	0	0	0	109600	109609	582935	541949	1000000	1000000	0.005551490700883239	0.00554313718533145	0.010302345415432715	0.010323751122532447	0	0	0	0	0	0	-473	206	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000018887162908, 0.5000013275339956, 0.49999892722617734]/0.9999977003770615 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-2	CUBE(1.0,0.0,null)	3	64	1000000	0	99799216	99	55	424	424	1393	1155	581	573	791	803	5600	5800	15700	15800	718	718	297156	8	0	0	0	109818	109894	582958	541161	1000000	1000000	0.005556666226728621	0.005566927827688519	0.01031092461678528	0.010281202685194179	0	0	0	0	0	0	-472	206	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000012195637187, 0.5000015752099962, 0.5000021929436951]/0.9999967737353793 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-0	CUBE(1.0,0.0,null)	3	64	1000000	0	99786640	99	56	426	426	440	411	576	565	722	825	5700	5900	15600	15900	790	790	297072	8	0	0	0	1009367	1009712	583280	540103	1000000	1000000	0.005540494385698991	0.005522094710687428	0.01032014395051017	0.010320052554053182	0	0	0	0	0	0	-242	86	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000008839398181, 0.5000013353908426, 0.49999469952707937]/0.9999972296904882 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-1	CUBE(1.0,0.0,null)	3	64	1000000	0	99777152	99	54	419	419	426	411	572	570	722	807	5700	5700	15500	15500	737	737	297088	8	0	0	0	1009473	1012858	582935	541949	1000000	1000000	0.005551490700883239	0.00554313718533145	0.010302345415432715	0.010323751122532447	0	0	0	0	0	0	-242	88	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000018887162908, 0.5000013275339956, 0.49999892722617734]/0.9999977003770615 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-P-2	CUBE(1.0,0.0,null)	3	64	1000000	0	99794568	99	56	436	436	426	413	579	575	739	813	5700	5700	15600	15400	746	746	297156	8	0	0	0	1009578	1009486	582958	541161	1000000	1000000	0.005556666226728621	0.005566927827688519	0.01031092461678528	0.010281202685194179	0	0	0	0	0	0	-242	86	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000012195637187, 0.5000015752099962, 0.5000021929436951]/0.9999967737353793 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=1.0E-4
