Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QKDZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	89724088	89	83	243	243	3758	1152	573	506	1100	1149	4766	4733	10266	10466	288	288	308907	18	0	0	0	9154	9976	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	0	0	0	0	0	0	-305	157	0	0	-285	2	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.103124350000002, 46.96709095]/11.750172700000002 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.0011750952100000004
QKDZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	89723424	89	58	248	248	443	179	496	491	1047	1119	4566	4700	10600	10433	282	282	308907	18	0	0	0	93858	98317	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	0	0	0	0	0	0	0	0	0	0	-285	2	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.103124350000002, 46.96709095]/11.750172700000002 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=0.0011750952100000004
QKDZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	89710336	89	81	241	241	82	71	490	489	1028	1116	4633	4800	10300	10033	290	290	308907	18	0	0	0	950526	965194	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.103124350000002, 46.96709095]/11.750172700000002 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=0.0011750952100000004
QKDZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	88655368	88	89	245	245	49	47	493	495	1053	1145	4600	4800	10166	10100	312	312	308907	18	0	0	0	9718913	9831618	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	0	0	-277	1	0	0	-158	62	-292	2	0	0	-84	30	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.103124350000002, 46.96709095]/11.750172700000002 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011750952100000004
QKDZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	89358069	89	85	232	232	38	38	513	519	1062	1181	4566	4800	9900	10233	302	302	308907	18	0	0	0	102061775	102149605	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	0	0	-2005	12	0	0	-240	86	-285	0	0	0	-80	40	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.103124350000002, 46.96709095]/11.750172700000002 WINDOW_RESULTS=10000 KNN_REPEAT=10000 UPD_DIST=0.0011750952100000004
% Measurements
% ============
QKDZ-P-0	OSM(1.0,0.0,null)	2	64	1000000	0	89724104	89	93	229	229	3205	1181	498	493	1105	1163	4600	4600	10200	10000	290	290	308907	18	0	0	0	9358	9311	498602	499311	1000000	1000000	0.04916029490071369	0.04936437541332183	0.059596650872003845	0.061404670622767374	0	0	0	0	0	0	-458	236	0	0	-285	2	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.103124350000002, 46.96709095]/11.750172700000002 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.0011750952100000004
QKDZ-P-1	OSM(1.0,0.0,null)	2	64	1000000	0	89724104	89	78	245	245	4261	1389	572	499	1100	1160	4600	4400	9900	10300	278	278	308907	18	0	0	0	8918	9359	499115	499909	1000000	1000000	0.04864321189335936	0.04903721717711428	0.059308655119097296	0.06079901559492146	0	0	0	0	0	0	-459	236	0	0	-285	2	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.103124350000002, 46.96709095]/11.750172700000002 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.0011750952100000004
QKDZ-P-2	OSM(1.0,0.0,null)	2	64	1000000	0	89724056	89	78	257	257	3810	888	651	527	1097	1126	5100	5200	10700	11100	297	297	308907	18	0	0	0	9186	11260	499581	499717	1000000	1000000	0.048081656793504596	0.04985873333855349	0.06092629245375454	0.061411135797187766	0	0	0	0	0	0	0	0	0	0	-285	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.103124350000002, 46.96709095]/11.750172700000002 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.0011750952100000004
