Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QKDZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	88288416	88	87	232	232	1835	597	398	396	1243	1368	53600	55833	116266	111366	268	268	307770	22	0	0	0	16758	16185	499099	499645	1000000	1000000	2.1345972056443236	2.130072151367063	2.1191476482560136	2.1021535905362527	0	0	0	0	0	0	-224	141	-859	4	-859	4	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[-99.8524185, 33.574213]/29.928345000000007 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.002992834500000001
QKDZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	88287722	88	74	220	220	291	103	399	394	1261	1373	52166	58700	108466	109333	247	247	307770	22	0	0	0	165130	162812	499099	499645	1000000	1000000	2.1345972056443236	2.130072151367063	2.1191476482560136	2.1021535905362527	0	0	0	0	0	0	-145	98	-859	4	-859	6	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[-99.8524185, 33.574213]/29.928345000000007 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=0.002992834500000001
QKDZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	88283944	88	76	229	229	60	47	404	398	1237	1358	54133	54566	110000	109100	259	259	307770	22	0	0	0	1658878	1656675	499099	499645	1000000	1000000	2.1345972056443236	2.130072151367063	2.1191476482560136	2.1021535905362527	0	0	0	0	0	0	-369	210	-573	4	-1146	6	-165	66	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[-99.8524185, 33.574213]/29.928345000000007 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=0.002992834500000001
QKDZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	88233280	88	86	247	247	36	35	398	397	1225	1375	54033	54766	109000	109100	228	228	307770	22	0	0	0	17855539	17942743	499099	499645	1000000	1000000	2.1345972056443236	2.130072151367063	2.1191476482560136	2.1021535905362527	0	0	-285	1	0	0	-465	233	-573	2	-1146	4	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[-99.8524185, 33.574213]/29.928345000000007 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.002992834500000001
QKDZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	90311784	89	87	242	242	32	32	408	401	1266	1350	52533	54233	106933	106866	230	230	307770	22	0	0	0	224708083	227096353	499099	499645	1000000	1000000	2.1345972056443236	2.130072151367063	2.1191476482560136	2.1021535905362527	0	0	-4009	22	0	0	-467	180	-859	6	-1146	6	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[-99.8524185, 33.574213]/29.928345000000007 WINDOW_RESULTS=10000 KNN_REPEAT=10000 UPD_DIST=0.002992834500000001
% Measurements
% ============
QKDZ-P-0	TIGER(1.0,0.0,null)	2	64	1000000	0	88288432	88	95	229	229	2139	625	391	392	1267	1280	54000	56300	107300	110700	242	242	307770	22	0	0	0	15889	15977	498602	499311	1000000	1000000	2.1721273139292623	2.155762996524328	2.0965827791974316	2.1029340791693776	0	0	0	0	0	0	-212	192	-859	4	-859	4	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[-99.8524185, 33.574213]/29.928345000000007 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.002992834500000001
QKDZ-P-1	TIGER(1.0,0.0,null)	2	64	1000000	0	88288432	88	89	242	242	1477	628	396	400	1235	1432	54100	54000	127400	113400	294	294	307770	22	0	0	0	16920	15914	499115	499909	1000000	1000000	2.141509136529285	2.117898484983325	2.143403745015001	2.08716546866168	0	0	0	0	0	0	-230	112	-859	6	-1145	6	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[-99.8524185, 33.574213]/29.928345000000007 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.002992834500000001
QKDZ-P-2	TIGER(1.0,0.0,null)	2	64	1000000	0	88288384	88	77	226	226	1889	540	408	396	1227	1392	52700	57200	114100	110000	270	270	307770	22	0	0	0	17465	16665	499581	499717	1000000	1000000	2.090155166474423	2.1165549725935366	2.117456420555608	2.1163612237777008	0	0	0	0	0	0	-229	120	-859	4	-859	6	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[-99.8524185, 33.574213]/29.928345000000007 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.002992834500000001
