Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QTZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107307989	107	200	212	212	2120	783	391	397	1016	1115	25800	25800	61133	60933	256	256	360784	13	0	0	0	10587	10843	499718	499393	1000000	1000000	0.05419837995319996	0.054319932380711124	0.054780792327908424	0.05500246729045388	0	0	0	0	0	0	-311	126	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999305039645927, 0.5000812838111881, 0.49947350916289235]/1.004276997583565;HCI-1/2=true/true WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107311450	107	211	218	218	337	137	391	387	1044	1140	25800	25900	61233	61233	262	262	360784	13	0	0	0	94132	101741	499718	499393	1000000	1000000	0.05419837995319996	0.054319932380711124	0.054780792327908424	0.05500246729045388	0	0	0	0	0	0	-312	129	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999305039645927, 0.5000812838111881, 0.49947350916289235]/1.004276997583565;HCI-1/2=true/true WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107311434	107	209	229	229	91	70	388	385	1021	1115	25933	25866	61366	61366	267	267	360784	13	0	0	0	982247	1019482	499718	499393	1000000	1000000	0.05419837995319996	0.054319932380711124	0.054780792327908424	0.05500246729045388	0	0	0	0	0	0	-311	124	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999305039645927, 0.5000812838111881, 0.49947350916289235]/1.004276997583565;HCI-1/2=true/true WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107307973	107	191	220	220	53	52	392	394	1018	1118	26000	26100	62133	61400	259	259	360784	13	0	0	0	9953316	10038293	499718	499393	1000000	1000000	0.05419837995319996	0.054319932380711124	0.054780792327908424	0.05500246729045388	0	0	0	0	0	0	-312	127	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999305039645927, 0.5000812838111881, 0.49947350916289235]/1.004276997583565;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107304528	107	210	219	219	43	43	392	388	1042	1104	26000	25766	61466	61100	262	262	360784	13	0	0	0	100764901	101015445	499718	499393	1000000	1000000	0.05419837995319996	0.054319932380711124	0.054780792327908424	0.05500246729045388	0	0	0	0	0	0	-390	174	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999305039645927, 0.5000812838111881, 0.49947350916289235]/1.004276997583565;HCI-1/2=true/true WINDOW_RESULTS=10000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
% Measurements
% ============
QTZ-P-0	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107291776	107	192	211	211	2121	648	389	392	994	1141	26100	25800	60100	59300	257	257	360669	13	0	0	0	8484	9250	499939	498463	1000000	1000000	0.05466107196741907	0.05458481027037169	0.05512982026722505	0.05508914148757553	0	0	0	0	0	0	-218	124	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49972960497375596, 0.49956548762561936, 0.49954819077601614]/1.0057639744950941;HCI-1/2=true/true WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-1	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107320232	107	197	216	216	1723	727	396	392	1070	1089	26400	26600	63600	63500	255	255	360951	13	0	0	0	13344	10992	499851	500135	1000000	1000000	0.054026462819069455	0.05406714187510115	0.05460974098412291	0.05475177087984605	0	0	0	0	0	0	-218	146	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4977575464944092, 0.4981877394814563, 0.5006515915204797]/1.0038033090588423;HCI-1/2=true/true WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-2	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107311960	107	212	211	211	2516	976	389	408	984	1116	24900	25000	59700	60000	258	258	360733	13	0	0	0	9933	12287	499364	499583	1000000	1000000	0.05390760507311137	0.05430784499666055	0.05460281573237733	0.05516648950394006	0	0	0	0	0	0	-497	110	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999305039645927, 0.5000812838111881, 0.49947350916289235]/1.004276997583565;HCI-1/2=true/true WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-0	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107291776	107	203	232	232	364	145	396	389	1075	1223	26000	26000	60500	60300	257	257	360669	13	0	0	0	76839	96369	499939	498463	1000000	1000000	0.05466107196741907	0.05458481027037169	0.05512982026722505	0.05508914148757553	0	0	0	0	0	0	-219	124	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49972960497375596, 0.49956548762561936, 0.49954819077601614]/1.0057639744950941;HCI-1/2=true/true WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-1	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107330616	107	223	220	220	268	139	392	389	1071	1086	26600	26600	63300	63700	278	278	360951	13	0	0	0	107949	93413	499851	500135	1000000	1000000	0.054026462819069455	0.05406714187510115	0.05460974098412291	0.05475177087984605	0	0	0	0	0	0	-218	150	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4977575464944092, 0.4981877394814563, 0.5006515915204797]/1.0038033090588423;HCI-1/2=true/true WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-2	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107311960	107	209	203	203	379	129	386	384	987	1113	24800	25100	59900	59700	252	252	360733	13	0	0	0	97608	115443	499364	499583	1000000	1000000	0.05390760507311137	0.05430784499666055	0.05460281573237733	0.05516648950394006	0	0	0	0	0	0	-497	114	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999305039645927, 0.5000812838111881, 0.49947350916289235]/1.004276997583565;HCI-1/2=true/true WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-0	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107302160	107	215	227	227	82	71	393	381	982	1123	26100	25800	61000	60200	276	276	360669	13	0	0	0	956165	1001799	499939	498463	1000000	1000000	0.05466107196741907	0.05458481027037169	0.05512982026722505	0.05508914148757553	0	0	0	0	0	0	-219	108	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49972960497375596, 0.49956548762561936, 0.49954819077601614]/1.0057639744950941;HCI-1/2=true/true WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-1	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107320232	107	198	223	223	87	70	386	381	1068	1081	26600	26800	63500	64000	260	260	360951	13	0	0	0	1021073	1027842	499851	500135	1000000	1000000	0.054026462819069455	0.05406714187510115	0.05460974098412291	0.05475177087984605	0	0	0	0	0	0	-218	150	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4977575464944092, 0.4981877394814563, 0.5006515915204797]/1.0038033090588423;HCI-1/2=true/true WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-2	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107311912	107	215	239	239	106	69	385	393	1015	1141	25100	25000	59600	59900	265	265	360733	13	0	0	0	969504	1028806	499364	499583	1000000	1000000	0.05390760507311137	0.05430784499666055	0.05460281573237733	0.05516648950394006	0	0	0	0	0	0	-497	114	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999305039645927, 0.5000812838111881, 0.49947350916289235]/1.004276997583565;HCI-1/2=true/true WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-0	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107291728	107	198	217	217	53	52	388	387	992	1141	26300	26400	61300	60200	266	266	360669	13	0	0	0	9911747	9993218	499939	498463	1000000	1000000	0.05466107196741907	0.05458481027037169	0.05512982026722505	0.05508914148757553	0	0	0	0	0	0	-219	122	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49972960497375596, 0.49956548762561936, 0.49954819077601614]/1.0057639744950941;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-1	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107320232	107	175	220	220	53	51	398	397	1065	1074	26400	26600	63600	63500	254	254	360951	13	0	0	0	10016547	10013647	499851	500135	1000000	1000000	0.054026462819069455	0.05406714187510115	0.05460974098412291	0.05475177087984605	0	0	0	0	0	0	-218	148	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4977575464944092, 0.4981877394814563, 0.5006515915204797]/1.0038033090588423;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-2	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107311960	107	202	224	224	54	54	392	398	998	1141	25300	25300	61500	60500	257	257	360733	13	0	0	0	9931656	10108014	499364	499583	1000000	1000000	0.05390760507311137	0.05430784499666055	0.05460281573237733	0.05516648950394006	0	0	0	0	0	0	-497	112	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999305039645927, 0.5000812838111881, 0.49947350916289235]/1.004276997583565;HCI-1/2=true/true WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-0	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107291776	107	205	220	220	45	45	393	389	990	1118	25700	25600	60800	59700	268	268	360669	13	0	0	0	100981217	100925294	499939	498463	1000000	1000000	0.05466107196741907	0.05458481027037169	0.05512982026722505	0.05508914148757553	0	0	0	0	0	0	-229	100	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49972960497375596, 0.49956548762561936, 0.49954819077601614]/1.0057639744950941;HCI-1/2=true/true WINDOW_RESULTS=10000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-P-1	CLUSTER(5.0,0.0,null)	3	64	1000000	0	107320232	107	213	223	223	43	43	391	389	1061	1072	27000	26600	63400	63100	268	268	360951	13	0	0	0	99768526	100325891	499851	500135	1000000	1000000	0.054026462819069455	0.05406714187510115	0.05460974098412291	0.05475177087984605	0	0	0	0	0	0	-221	148	0	0	0	0	0	0	QuadTreeKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4977575464944092, 0.4981877394814563, 0.5006515915204797]/1.0038033090588423;HCI-1/2=true/true WINDOW_RESULTS=10000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
