Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	125446949	125	70	10342	10342	63504	65114	816	840	0	0	17566	17333	14400	14100	0	0	134948	0	0	0	0	16758	16185	499099	499645	0	0	2.1337538493052293	2.128327563804571	2.1191476482560136	2.1021535905362527	-6997	387	-300	2	-250	44	0	0	-296	2	0	0	0	0	R*Tree-Seeger2;dataNodes=122696dirNodes=12252 WINDOW_RESULTS=1 KNN_REPEAT=10000
RSS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	125447469	125	83	10291	10291	6094	6224	829	854	0	0	17300	16533	14500	14133	0	0	134948	0	0	0	0	165130	162812	499099	499645	0	0	2.1337538493052293	2.128327563804571	2.1191476482560136	2.1021535905362527	-6997	385	-589	2	-216	45	0	0	0	0	-290	2	0	0	R*Tree-Seeger2;dataNodes=122696dirNodes=12252 WINDOW_RESULTS=10 KNN_REPEAT=10000
RSS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	124500898	124	83	10242	10242	662	651	841	820	0	0	17600	16866	14700	14566	0	0	134948	0	0	0	0	1658878	1656675	499099	499645	0	0	2.1337538493052293	2.128327563804571	2.1191476482560136	2.1021535905362527	-7087	395	-575	2	-83	15	0	0	-302	0	-290	2	0	0	R*Tree-Seeger2;dataNodes=122696dirNodes=12252 WINDOW_RESULTS=100 KNN_REPEAT=10000
RSS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	125428581	125	84	10258	10258	109	107	828	825	0	0	17366	17033	14033	14066	0	0	134948	0	0	0	0	17855539	17942743	499099	499645	0	0	2.1337538493052293	2.128327563804571	2.1191476482560136	2.1021535905362527	-6998	386	-3054	22	-82	15	0	0	-299	2	0	0	0	0	R*Tree-Seeger2;dataNodes=122696dirNodes=12252 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	125481802	125	84	10245	10245	51	50	818	834	0	0	17366	16733	14866	14000	0	0	134948	0	0	0	0	224708083	227096353	499099	499645	0	0	2.1337538493052293	2.128327563804571	2.1191476482560136	2.1021535905362527	-6906	387	-33331	400	-166	30	0	0	0	0	-289	2	0	0	R*Tree-Seeger2;dataNodes=122696dirNodes=12252 WINDOW_RESULTS=10000 KNN_REPEAT=10000
% Measurements
% ============
RSS-P-0	TIGER(1.0,0.0,null)	2	64	1000000	0	125445648	125	89	10338	10338	67468	66220	823	846	0	0	18900	17600	13900	14100	0	0	134948	0	0	0	0	15889	15977	498602	499311	0	0	2.1708313152857626	2.154705498302525	2.0965827791974316	2.1029340791693776	-7183	388	-299	2	-250	44	0	0	-296	2	0	0	0	0	R*Tree-Seeger2;dataNodes=122696dirNodes=12252 WINDOW_RESULTS=1 KNN_REPEAT=10000
RSS-P-1	TIGER(1.0,0.0,null)	2	64	1000000	0	125447592	125	45	10359	10359	66016	71697	820	839	0	0	16200	18200	14700	14000	0	0	134948	0	0	0	0	16920	15914	499115	499909	0	0	2.1408127630121823	2.116450062036266	2.143403745015001	2.08716546866168	-6905	384	-300	2	-250	44	0	0	-299	2	0	0	0	0	R*Tree-Seeger2;dataNodes=122696dirNodes=12252 WINDOW_RESULTS=1 KNN_REPEAT=10000
RSS-P-2	TIGER(1.0,0.0,null)	2	64	1000000	0	125447608	125	76	10331	10331	57028	57425	805	836	0	0	17600	16200	14600	14200	0	0	134948	0	0	0	0	17465	16665	499581	499717	0	0	2.089617469617742	2.113827131074923	2.117456420555608	2.1163612237777008	-6903	390	-299	2	-250	44	0	0	-296	2	0	0	0	0	R*Tree-Seeger2;dataNodes=122696dirNodes=12252 WINDOW_RESULTS=1 KNN_REPEAT=10000
RSS-P-0	TIGER(1.0,0.0,null)	2	64	1000000	0	125447456	125	86	10303	10303	6273	5938	827	854	0	0	18200	16300	14500	14100	0	0	134948	0	0	0	0	156527	161663	498602	499311	0	0	2.1708313152857626	2.154705498302525	2.0965827791974316	2.1029340791693776	-6905	380	-589	4	-216	46	0	0	0	0	-290	2	0	0	R*Tree-Seeger2;dataNodes=122696dirNodes=12252 WINDOW_RESULTS=10 KNN_REPEAT=10000
RSS-P-1	TIGER(1.0,0.0,null)	2	64	1000000	0	125447360	125	83	10261	10261	5783	6377	820	846	0	0	16200	17300	14600	14100	0	0	134948	0	0	0	0	167539	165746	499115	499909	0	0	2.1408127630121823	2.116450062036266	2.143403745015001	2.08716546866168	-7180	390	-589	2	-216	46	0	0	0	0	-290	0	0	0	R*Tree-Seeger2;dataNodes=122696dirNodes=12252 WINDOW_RESULTS=10 KNN_REPEAT=10000
