Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	81082157	81	90	4062	4062	7499	2459	2332	2355	9872	10927	301700	304266	304800	281400	1858	1858	158727	7	0	0	0	9154	9976	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	-1539	236	0	0	-214	46	-2478	3020	-860	4	-859	4	-190	22	RTreeZ;RStarTreeLogic;size=1000000;nNodes=158727;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000
RSZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	81082941	81	93	4028	4028	799	332	2320	2348	9842	10864	296733	301533	301933	279233	1823	1823	158727	7	0	0	0	93858	98317	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	-1539	236	0	0	-214	45	-2481	2980	-860	2	-859	6	-190	23	RTreeZ;RStarTreeLogic;size=1000000;nNodes=158727;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10 KNN_REPEAT=10000
RSZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	80445424	80	93	4065	4065	134	93	2337	2352	9873	10939	303700	307500	307000	285633	1843	1843	158727	7	0	0	0	950526	965194	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	-1539	237	0	0	-214	44	-2479	3024	-860	4	-859	6	-190	22	RTreeZ;RStarTreeLogic;size=1000000;nNodes=158727;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=100 KNN_REPEAT=10000
RSZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	81116229	81	91	4061	4061	57	54	2306	2337	9859	10890	302833	304566	305600	282666	1846	1846	158727	7	0	0	0	9718913	9831618	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	-1539	233	0	0	-214	45	-2483	2965	-860	6	-859	6	-190	22	RTreeZ;RStarTreeLogic;size=1000000;nNodes=158727;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	81124530	81	90	4061	4061	39	38	2339	2366	9872	10828	300666	303000	304300	281600	1816	1816	158727	7	0	0	0	102061775	102149605	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	-1539	238	0	0	-214	45	-2481	2922	-860	4	-859	4	-190	22	RTreeZ;RStarTreeLogic;size=1000000;nNodes=158727;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10000 KNN_REPEAT=10000
% Measurements
% ============
RSZ-P-0	OSM(1.0,0.0,null)	2	64	1000000	0	81081368	81	87	3993	3993	7587	2470	2357	2368	9769	10975	298100	312500	329600	285800	1911	1911	158727	7	0	0	0	9358	9311	498602	499311	1000000	1000000	0.04916029490071369	0.04936437541332183	0.059596650872003845	0.061404670622767374	-1539	230	0	0	-214	46	-2310	2996	-860	4	-859	4	-280	44	RTreeZ;RStarTreeLogic;size=1000000;nNodes=158727;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000
RSZ-P-1	OSM(1.0,0.0,null)	2	64	1000000	0	81082552	81	89	4084	4084	7400	2778	2310	2348	9925	10811	307200	316400	306100	265700	1797	1797	158727	7	0	0	0	8918	9359	499115	499909	1000000	1000000	0.04864321189335936	0.04903721717711428	0.059308655119097296	0.06079901559492146	-1539	238	0	0	-214	46	-2560	3018	-860	6	-859	0	-289	24	RTreeZ;RStarTreeLogic;size=1000000;nNodes=158727;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000
RSZ-P-2	OSM(1.0,0.0,null)	2	64	1000000	0	81082552	81	95	4109	4109	7511	2131	2330	2349	9923	10995	299800	283900	278700	292700	1867	1867	158727	7	0	0	0	9186	11260	499581	499717	1000000	1000000	0.048081656793504596	0.04985873333855349	0.06092629245375454	0.061411135797187766	-1539	240	0	0	-214	46	-2566	3046	-860	2	-859	6	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=158727;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000
