Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	82165474	82	91	3830	3830	3141	844	774	812	7088	7475	1040066	1030333	327133	348900	1062	1062	164781	7	0	0	0	16758	16185	499099	499645	1000000	1000000	2.1345972056443236	2.130072151367063	2.1191476482560136	2.1021535905362527	-1824	220	0	0	-214	45	-2017	5760	-3724	18	-1432	10	-188	20	RTreeZ;RStarTreeLogic;size=1000000;nNodes=164781;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000
RSZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	82165445	82	89	3869	3869	352	126	772	808	7030	7425	1061933	1054100	333533	354633	1091	1091	164781	7	0	0	0	165130	162812	499099	499645	1000000	1000000	2.1345972056443236	2.130072151367063	2.1191476482560136	2.1021535905362527	-1825	219	0	0	-214	46	-2111	4634	-3724	16	-1432	8	-188	22	RTreeZ;RStarTreeLogic;size=1000000;nNodes=164781;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10 KNN_REPEAT=10000
RSZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	82164106	82	89	3837	3837	74	50	773	801	7056	7495	1043833	1036600	328666	350333	1061	1061	164781	7	0	0	0	1658878	1656675	499099	499645	1000000	1000000	2.1345972056443236	2.130072151367063	2.1191476482560136	2.1021535905362527	-1824	222	0	0	-214	45	-2117	4640	-3724	12	-1432	6	-189	20	RTreeZ;RStarTreeLogic;size=1000000;nNodes=164781;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=100 KNN_REPEAT=10000
RSZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	82165450	82	86	3864	3864	41	39	778	808	7012	7393	1049600	1042566	328100	349733	1053	1053	164781	7	0	0	0	17855539	17942743	499099	499645	1000000	1000000	2.1345972056443236	2.130072151367063	2.1191476482560136	2.1021535905362527	-1823	220	0	0	-214	46	-2028	4538	-3724	22	-1432	10	-188	20	RTreeZ;RStarTreeLogic;size=1000000;nNodes=164781;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSZ-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	82173096	82	91	3837	3837	34	33	780	804	7005	7439	1038366	1036800	325666	345900	1066	1066	164781	7	0	0	0	224708083	227096353	499099	499645	1000000	1000000	2.1345972056443236	2.130072151367063	2.1191476482560136	2.1021535905362527	-1824	217	0	0	-214	44	-2023	4639	-3724	20	-1432	8	-188	20	RTreeZ;RStarTreeLogic;size=1000000;nNodes=164781;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10000 KNN_REPEAT=10000
% Measurements
% ============
RSZ-P-0	TIGER(1.0,0.0,null)	2	64	1000000	0	82165904	82	96	3898	3898	3146	751	771	805	7212	7453	951700	1037200	332300	312500	1080	1080	164781	7	0	0	0	15889	15977	498602	499311	1000000	1000000	2.1721273139292623	2.155762996524328	2.0965827791974316	2.1029340791693776	-1826	220	0	0	-214	46	-1756	5706	-3724	18	-1432	10	-283	30	RTreeZ;RStarTreeLogic;size=1000000;nNodes=164781;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000
RSZ-P-1	TIGER(1.0,0.0,null)	2	64	1000000	0	82165768	82	92	3794	3794	3014	942	776	806	7066	7535	1123500	967000	349300	334100	1049	1049	164781	7	0	0	0	16920	15914	499115	499909	1000000	1000000	2.141509136529285	2.117898484983325	2.143403745015001	2.08716546866168	-1823	218	0	0	-214	44	-2023	5798	-3724	14	-1146	8	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=164781;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000
RSZ-P-2	TIGER(1.0,0.0,null)	2	64	1000000	0	82164752	82	86	3800	3800	3263	840	776	827	6986	7438	1045000	1086800	299800	400100	1058	1058	164781	7	0	0	0	17465	16665	499581	499717	1000000	1000000	2.090155166474423	2.1165549725935366	2.117456420555608	2.1163612237777008	-1823	222	0	0	-214	46	-2272	5778	-4010	18	-1719	8	-283	30	RTreeZ;RStarTreeLogic;size=1000000;nNodes=164781;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000
