Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
STRZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	104738189	104	89	681	681	6085	1657	994	1018	7930	8217	647733	616000	531000	570633	1452	1452	111111	6	0	0	0	9154	9976	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	0	0	0	0	-214	46	-1970	3492	-1145	4	-859	6	-180	28	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000
STRZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	104101402	103	88	676	676	679	230	991	1014	7936	8280	654300	624400	537133	578533	1457	1457	111111	6	0	0	0	93858	98317	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	0	0	0	0	-214	44	-1964	3529	-1146	4	-859	6	-181	28	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10 KNN_REPEAT=10000
STRZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	104090362	103	71	685	685	113	73	1004	1033	7996	8342	656733	623500	535433	575833	1452	1452	111111	6	0	0	0	950526	965194	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	0	0	0	0	-214	46	-1963	3535	-1146	6	-859	2	-181	30	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=100 KNN_REPEAT=10000
STRZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	104727152	104	58	667	667	52	50	1012	1032	8050	8372	663900	630066	539266	576766	1448	1448	111111	6	0	0	0	9718913	9831618	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	0	0	0	0	-214	46	-1963	3595	-1145	4	-859	6	-181	30	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000
STRZ-P-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	104774213	104	91	686	686	40	39	1004	1032	7905	8159	649333	619266	529333	569200	1438	1438	111111	6	0	0	0	102061775	102149605	499099	499645	1000000	1000000	0.04862838786252588	0.049420108642996535	0.05994386614828523	0.06120494067162554	0	0	0	0	-214	45	-1972	3429	-1146	6	-859	6	-181	29	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10000 KNN_REPEAT=10000
% Measurements
% ============
STRZ-P-0	OSM(1.0,0.0,null)	2	64	1000000	0	104727272	104	78	680	680	5663	1825	988	1010	7990	8457	690200	584500	517200	572400	1457	1457	111111	6	0	0	0	9358	9311	498602	499311	1000000	1000000	0.04916029490071369	0.04936437541332183	0.059596650872003845	0.061404670622767374	0	0	0	0	-214	46	-2577	2518	-1145	4	-859	6	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000
STRZ-P-1	OSM(1.0,0.0,null)	2	64	1000000	0	104727040	104	79	641	641	6279	1816	994	1019	7885	8136	631400	636400	544700	595500	1461	1461	111111	6	0	0	0	8918	9359	499115	499909	1000000	1000000	0.04864321189335936	0.04903721717711428	0.059308655119097296	0.06079901559492146	0	0	0	0	-214	46	-998	5458	-1146	4	-1146	4	-279	34	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000
STRZ-P-2	OSM(1.0,0.0,null)	2	64	1000000	0	104760256	104	112	724	724	6313	1332	1001	1027	7916	8059	621600	627100	531100	544000	1439	1439	111111	6	0	0	0	9186	11260	499581	499717	1000000	1000000	0.048081656793504596	0.04985873333855349	0.06092629245375454	0.061411135797187766	0	0	0	0	-214	46	-2336	2500	-1146	6	-859	6	-262	52	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000
STRZ-P-0	OSM(1.0,0.0,null)	2	64	1000000	0	104760296	104	92	667	667	781	223	1000	1022	8079	8690	704400	600700	527700	582800	1509	1509	111111	6	0	0	0	97290	94125	498602	499311	1000000	1000000	0.04916029490071369	0.04936437541332183	0.059596650872003845	0.061404670622767374	0	0	0	0	-214	46	-2571	2544	-1146	4	-859	6	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10 KNN_REPEAT=10000
STRZ-P-1	OSM(1.0,0.0,null)	2	64	1000000	0	104727040	104	87	680	680	611	237	988	1013	7847	8099	611600	615900	526300	579600	1427	1427	111111	6	0	0	0	93147	96884	499115	499909	1000000	1000000	0.04864321189335936	0.04903721717711428	0.059308655119097296	0.06079901559492146	0	0	0	0	-214	44	-985	5548	-1146	4	-1146	0	-281	32	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10 KNN_REPEAT=10000
STRZ-P-2	OSM(1.0,0.0,null)	2	64	1000000	0	102816872	102	87	682	682	647	230	987	1007	7884	8052	646900	656600	557400	573200	1437	1437	111111	6	0	0	0	91137	103942	499581	499717	1000000	1000000	0.048081656793504596	0.04985873333855349	0.06092629245375454	0.061411135797187766	0	0	0	0	-214	44	-2336	2496	-1146	4	-859	6	-262	52	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10 KNN_REPEAT=10000
