Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
XTS-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	88242984	88	95	8115	8115	12964	10878	0	0	0	0	0	0	0	0	0	0	89973	6	0	0	0	20027	20037	0	0	0	0	0.0	0.0	0.0	0.0	-2956	318	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=89952;nNodesData=82810;nNodesDir=7142;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1
XTS-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	88243800	88	108	8070	8070	4048	3827	0	0	0	0	0	0	0	0	0	0	89973	6	0	0	0	109888	109890	0	0	0	0	0.0	0.0	0.0	0.0	-2956	320	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=89952;nNodesData=82810;nNodesDir=7142;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=10
XTS-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	88243802	88	114	8028	8028	1082	1116	0	0	0	0	0	0	0	0	0	0	89973	6	0	0	0	1009472	1010685	0	0	0	0	0.0	0.0	0.0	0.0	-2956	313	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=89952;nNodesData=82810;nNodesDir=7142;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=100
XTS-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	87571277	87	105	8006	8006	374	371	0	0	0	0	0	0	0	0	0	0	89973	6	0	0	0	10009376	10010849	0	0	0	0	0.0	0.0	0.0	0.0	-2956	320	-310	1	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=89952;nNodesData=82810;nNodesDir=7142;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000
XTS-P-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	88668088	88	110	7971	7971	182	184	0	0	0	0	0	0	0	0	0	0	89973	6	0	0	0	100038137	100028533	0	0	0	0	0.0	0.0	0.0	0.0	-2955	304	-3436	18	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=89952;nNodesData=82810;nNodesDir=7142;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=10000
% Measurements
% ============
XTS-P-0	CUBE(1.0,0.0,null)	3	64	1000000	0	88252040	88	56	8193	8193	13186	11633	0	0	0	0	0	0	0	0	0	0	90017	6	0	0	0	20096	20115	0	0	0	0	0.0	0.0	0.0	0.0	-2956	320	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=90017;nNodesData=82839;nNodesDir=7178;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1
XTS-P-1	CUBE(1.0,0.0,null)	3	64	1000000	0	88238072	88	137	8135	8135	12642	10608	0	0	0	0	0	0	0	0	0	0	89952	6	0	0	0	20012	19889	0	0	0	0	0.0	0.0	0.0	0.0	-2956	320	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=89952;nNodesData=82758;nNodesDir=7194;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1
XTS-P-2	CUBE(1.0,0.0,null)	3	64	1000000	0	88238840	88	94	8018	8018	13066	10394	0	0	0	0	0	0	0	0	0	0	89952	6	0	0	0	19975	20107	0	0	0	0	0.0	0.0	0.0	0.0	-2956	316	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=89952;nNodesData=82810;nNodesDir=7142;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1
