Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
XTS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	84379578	83	86	4952	4952	2567	1255	0	0	0	0	0	0	0	0	0	0	113533	6	0	0	0	16758	16185	0	0	0	0	0.0	0.0	0.0	0.0	-4685	271	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1
XTS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	83724242	83	64	5135	5135	393	161	0	0	0	0	0	0	0	0	0	0	113533	6	0	0	0	165130	162812	0	0	0	0	0.0	0.0	0.0	0.0	-4682	276	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=10
XTS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	83730893	83	86	5075	5075	62	47	0	0	0	0	0	0	0	0	0	0	113533	6	0	0	0	1658878	1656675	0	0	0	0	0.0	0.0	0.0	0.0	-4684	275	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=100
XTS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	83900269	83	73	4982	4982	30	29	0	0	0	0	0	0	0	0	0	0	113533	6	0	0	0	17855539	17942743	0	0	0	0	0.0	0.0	0.0	0.0	-4684	275	-589	3	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000
XTS-P-AVG-3/3	TIGER(1.0,0.0,null)	2	64	1000000	0	83930832	83	69	4984	4984	24	24	0	0	0	0	0	0	0	0	0	0	113533	6	0	0	0	224708083	227096353	0	0	0	0	0.0	0.0	0.0	0.0	-4682	255	-6779	34	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=10000
% Measurements
% ============
XTS-P-0	TIGER(1.0,0.0,null)	2	64	1000000	0	85678296	85	111	4952	4952	2580	1314	0	0	0	0	0	0	0	0	0	0	113533	6	0	0	0	15889	15977	0	0	0	0	0.0	0.0	0.0	0.0	-4684	276	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1
XTS-P-1	TIGER(1.0,0.0,null)	2	64	1000000	0	83733536	83	71	5002	5002	2659	1193	0	0	0	0	0	0	0	0	0	0	113533	6	0	0	0	16920	15914	0	0	0	0	0.0	0.0	0.0	0.0	-4686	270	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1
XTS-P-2	TIGER(1.0,0.0,null)	2	64	1000000	0	83726904	83	77	4904	4904	2462	1260	0	0	0	0	0	0	0	0	0	0	113533	6	0	0	0	17465	16665	0	0	0	0	0.0	0.0	0.0	0.0	-4684	268	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1
XTS-P-0	TIGER(1.0,0.0,null)	2	64	1000000	0	83719416	83	65	4942	4942	364	160	0	0	0	0	0	0	0	0	0	0	113533	6	0	0	0	156527	161663	0	0	0	0	0.0	0.0	0.0	0.0	-4681	274	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=10
XTS-P-1	TIGER(1.0,0.0,null)	2	64	1000000	0	83734968	83	53	5502	5502	477	162	0	0	0	0	0	0	0	0	0	0	113533	6	0	0	0	167539	165746	0	0	0	0	0.0	0.0	0.0	0.0	-4681	276	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=10
XTS-P-2	TIGER(1.0,0.0,null)	2	64	1000000	0	83718344	83	76	4963	4963	338	161	0	0	0	0	0	0	0	0	0	0	113533	6	0	0	0	171325	161029	0	0	0	0	0.0	0.0	0.0	0.0	-4684	278	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=10
XTS-P-0	TIGER(1.0,0.0,null)	2	64	1000000	0	83726888	83	87	4983	4983	60	48	0	0	0	0	0	0	0	0	0	0	113533	6	0	0	0	1612923	1629356	0	0	0	0	0.0	0.0	0.0	0.0	-4684	278	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=100
XTS-P-1	TIGER(1.0,0.0,null)	2	64	1000000	0	83732280	83	87	5012	5012	63	47	0	0	0	0	0	0	0	0	0	0	113533	6	0	0	0	1630990	1694912	0	0	0	0	0.0	0.0	0.0	0.0	-4684	270	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=100
XTS-P-2	TIGER(1.0,0.0,null)	2	64	1000000	0	83733512	83	84	5232	5232	64	46	0	0	0	0	0	0	0	0	0	0	113533	6	0	0	0	1732722	1645757	0	0	0	0	0.0	0.0	0.0	0.0	-4684	278	0	0	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=100
XTS-P-0	TIGER(1.0,0.0,null)	2	64	1000000	0	83903824	83	65	5027	5027	31	29	0	0	0	0	0	0	0	0	0	0	113533	6	0	0	0	17536287	17731032	0	0	0	0	0.0	0.0	0.0	0.0	-4684	280	-587	4	0	0	0	0	0	0	0	0	0	0	XTreeS;size=1000000;depth=6;nNodes=113533;nNodesData=102468;nNodesDir=11065;MIN_FANOUT=0.35;MAX_DATA=20;MAX_DIR=20;MAX_OVERLAP=0.2 WINDOW_RESULTS=1000
