Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	500000	48	48269933	96	93	413	826	306	252	579	580	1355	1362	14250000	13883333	16750000	16966666	286	572	354159	35	0	0	0	50015	49997	499988	500023	1000000	1000000	0.41229806116059803	0.38779909178721755	0.3852607819677088	0.4218578310100159	-219	71	0	0	0	0	-1250	122	-863	4	-1432	4	-101	4	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	1000000	89	90663664	90	130	790	790	242	226	668	691	1550	1556	23816666	22466666	29850000	31066666	584	584	626293	35	0	0	0	100015	99959	499367	499934	1000000	1000000	0.412297990895033	0.3877990190544281	0.38526057366051475	0.4218576193071164	-684	186	0	0	0	0	-1271	128	-1146	8	-2578	8	-101	5	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	2500000	205	213811293	85	308	1946	778	178	170	808	778	1791	1842	43950000	41700000	63816666	63750000	1472	588	1398627	34	0	0	0	249939	249935	499776	500375	1000000	1000000	0.41229788129257855	0.3877989198850016	0.38526039535570106	0.42185744144965737	-1668	1688	0	0	0	0	-1320	160	-2337	10	-5142	12	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	5000000	395	411037600	82	651	3851	770	148	155	932	925	2083	2203	71033333	66300000	109333333	102783333	3215	643	2650525	34	0	0	0	500114	500103	500222	500324	1000000	1000000	0.41229783855362445	0.38779887970709354	0.38526028088510494	0.42185735215553827	-3323	2717	0	0	0	0	-1427	113	-2677	6	-8924	22	-606	42	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	10000000	764	794580320	79	1225	7117	711	124	123	964	996	2186	2283	99283333	94050000	163116666	152200000	6194	619	5062708	34	0	0	0	1000035	1000089	500378	499385	1000000	1000000	0.4122978076007156	0.3877988286744696	0.3852601977984688	0.42185726855197414	-6747	4526	0	0	0	0	-1061	92	-4468	16	-12285	36	-755	70	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	25000000	1834	1911499096	76	2934	19459	778	107	107	1155	1138	2686	2726	161333333	154783333	273916666	252066666	16363	654	11966847	33	0	0	0	2500282	2500138	500128	499332	1000000	1000000	0.4122977649633219	0.38779879783212473	0.3852601211295583	0.42185719320333925	-16300	10095	0	0	0	0	-1408	230	-7818	56	-20103	156	-1483	274	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	50000000	3583	3746092837	74	5916	38051	761	97	96	1281	1280	3011	3122	235183333	224600000	391066666	360450000	33451	669	23255683	33	0	0	0	5000107	5000401	500228	499874	1000000	1000000	0.4122977417978957	0.3877987715169522	0.3852600765558761	0.42185715579191774	-36535	12239	0	0	0	0	-1734	475	-10051	148	-29038	424	-3402	605	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
PHC-R-0	CLUSTER(3.5,0.0,null)	3	64	500000	48	48274376	96	96	423	846	299	239	584	581	1350	1334	13500000	13750000	15600000	24450000	293	586	354195	35	0	0	0	50035	50004	500105	499769	1000000	1000000	0.4348670371579799	0.41331348277104113	0.41931982229527537	0.40979463645034586	-219	74	0	0	0	0	-1330	132	-863	4	-1432	4	-305	14	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-1	CLUSTER(3.5,0.0,null)	3	64	500000	48	48265888	96	84	408	816	280	260	580	581	1347	1355	15200000	12250000	23350000	12100000	289	578	354129	35	0	0	0	49999	49979	499495	499402	1000000	1000000	0.44091006858554715	0.3961862589013496	0.4163934695568849	0.3919644574389792	-219	70	0	0	0	0	-1034	118	-865	4	-859	4	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-2	CLUSTER(3.5,0.0,null)	3	64	500000	48	48269536	96	101	409	818	339	259	574	580	1368	1399	14050000	15650000	11300000	14350000	277	554	354155	35	0	0	0	50013	50009	500366	500898	1000000	1000000	0.361117077738267	0.35389753368926175	0.32006905405096625	0.4638143991407227	-219	70	0	0	0	0	-1384	116	-865	4	-859	4	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-0	CLUSTER(3.5,0.0,null)	3	64	1000000	89	90675992	90	108	802	802	269	240	669	688	1508	1551	23000000	21750000	29300000	45900000	580	580	626404	35	0	0	0	100016	99935	499015	499629	1000000	1000000	0.4348668627995697	0.4133134573408275	0.41931961946695306	0.40979433791859476	-684	186	0	0	0	0	-1368	136	-1146	8	-2578	8	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-1	CLUSTER(3.5,0.0,null)	3	64	1000000	89	90644144	90	155	794	794	239	230	673	706	1645	1580	24800000	19050000	40550000	21200000	595	595	626076	35	0	0	0	100044	99980	499253	500338	1000000	1000000	0.4409100609261136	0.39618617049837884	0.4163932041628341	0.3919642885149184	-685	180	0	0	0	0	-1078	120	-1146	2	-1432	6	-304	16	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-2	CLUSTER(3.5,0.0,null)	3	64	1000000	89	90670856	90	128	774	774	220	210	663	679	1499	1537	23650000	26600000	19700000	26100000	579	579	626401	35	0	0	0	99987	99964	499833	499837	1000000	1000000	0.3611170489594155	0.3538974293240779	0.32006889735175703	0.4638142314878362	-682	194	0	0	0	0	-1366	128	-1432	6	-1432	6	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-0	CLUSTER(3.5,0.0,null)	3	64	2500000	205	212739792	85	308	1927	770	180	160	769	782	1817	1839	41800000	39950000	58350000	92900000	1470	588	1398663	34	0	0	0	249857	249766	499502	500164	1000000	1000000	0.4348667637204987	0.4133133333767652	0.4193194628818608	0.40979418858592	-1700	1478	0	0	0	0	-1745	218	-2337	10	-5142	12	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-1	CLUSTER(3.5,0.0,null)	3	64	2500000	205	212781480	85	311	1970	788	195	191	882	786	1772	1851	47150000	34550000	90750000	42950000	1476	590	1399074	34	0	0	0	250033	250027	500959	500036	1000000	1000000	0.4409099175998933	0.39618608058154303	0.41639299207422187	0.39196404668671825	-1699	1510	0	0	0	0	-889	110	-1870	4	-2337	8	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-2	CLUSTER(3.5,0.0,null)	3	64	2500000	205	215912608	86	307	1943	777	160	159	775	766	1784	1837	42900000	50600000	42350000	55400000	1471	588	1398145	34	0	0	0	249928	250012	498869	500926	1000000	1000000	0.36111696255734355	0.35389734569669656	0.3200687311110206	0.46381408907633387	-1604	2076	0	0	0	0	-1327	152	-2804	10	-2804	10	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-0	CLUSTER(3.5,0.0,null)	3	64	5000000	395	411083096	82	588	3915	783	145	161	933	894	2044	2122	64150000	62450000	97150000	147650000	3043	608	2650128	34	0	0	0	500161	500050	499772	499895	1000000	1000000	0.4348667365564324	0.41331328137110585	0.4193193354338483	0.40979410425302215	-3335	2736	0	0	0	0	-1706	138	-2677	6	-8924	22	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-1	CLUSTER(3.5,0.0,null)	3	64	5000000	395	411023664	82	759	3919	783	154	155	987	999	2220	2493	78400000	55800000	168300000	74650000	3556	711	2650824	34	0	0	0	499971	500110	500439	500021	1000000	1000000	0.44090987819825245	0.3961860277676094	0.4163929086404323	0.3919639711836228	-3319	2768	0	0	0	0	-871	86	-3570	8	-3570	8	-908	64	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-2	CLUSTER(3.5,0.0,null)	3	64	5000000	395	411006040	82	607	3719	743	147	151	877	883	1987	1996	70550000	80650000	62550000	86050000	3048	609	2650625	34	0	0	0	500211	500149	500457	501056	1000000	1000000	0.36111690090618864	0.35389732998256546	0.3200685985810344	0.46381398102997	-3314	2648	0	0	0	0	-1705	116	-4462	14	-4462	10	-911	62	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC-R-0	CLUSTER(3.5,0.0,null)	3	64	10000000	764	794740464	79	1212	7421	742	126	123	965	971	2196	2195	89300000	86250000	146350000	225250000	6127	612	5062591	34	0	0	0	999915	1000183	500030	499384	1000000	1000000	0.43486669556947577	0.41331322008458526	0.4193192721463525	0.4097940199042246	-6819	3986	0	0	0	0	-1080	24	-4468	16	-12285	36	-1139	104	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
