Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	500000	42	40892730	81	98	460	920	237	225	646	647	1799	1784	16700	16766	55900	55700	474	948	224610	47	0	0	0	999578	1000218	499988	500023	1000000	1000000	0.00699472581382984	0.006996960997714244	0.012972408073038776	0.012994675169554068	0	0	0	0	0	0	-988	109	-299	2	-1146	8	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	84	85478034	84	156	1034	1034	219	212	687	709	1962	2053	17733	18966	67000	66233	1041	1041	449116	47	0	0	0	1000073	999788	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	-155	170	0	0	0	0	-1749	266	-287	2136	-1719	10	-94	10	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	2500000	209	215808024	86	306	2899	1159	235	229	841	847	2239	2298	21400	20233	59700	59833	3092	1236	1118558	47	0	0	0	999949	1000532	499776	500375	1000000	1000000	0.004070339765490923	0.004081204611870847	0.007572318321673637	0.007569410683087345	-154	2188	0	0	0	0	-1409	214	-500	2	-949	4	-478	56	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	5000000	417	433282157	86	592	6528	1305	258	248	982	948	2454	2681	26866	25166	69966	69533	6990	1398	2239963	46	0	0	0	1000144	1000272	500222	500324	1000000	1000000	0.003243118258468871	0.0032431420058313828	0.0060099945476612855	0.00599508369312395	-178	7058	0	0	0	0	-1363	184	-882	2	-1858	6	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	10000000	831	864085341	86	1192	14132	1413	275	261	1093	1093	2718	2798	25200	28133	80800	80266	16119	1611	4474543	46	0	0	0	1000389	1000431	500378	499385	1000000	1000000	0.002564689929022526	0.0025562770420825332	0.004763363396383197	0.004755629320992254	-387	14515	0	0	0	0	-621	112	-1033	6	-2252	10	-1005	209	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	25000000	2066	2156010224	86	2849	41137	1645	332	322	1308	1313	3028	3349	29166	29766	75233	74733	47251	1890	11150417	46	0	0	0	1001046	999679	500128	499332	1000000	1000000	0.0018906103315426673	0.0018854680495026359	0.003506497247818889	0.00350769493544417	-1900	41620	0	0	0	0	-1641	370	-977	12	-1142	8	-2120	600	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	50000000	4122	4309991200	86	5621	90845	1816	381	376	1467	1469	3423	3639	33533	35700	94700	95766	106043	2120	22311466	45	0	0	0	1001644	999506	500228	499874	1000000	1000000	0.00150031602970215	0.001493141731127053	0.0027806542983358287	0.002784678951462675	-7695	50054	0	0	0	0	-1553	632	-994	28	-2265	54	-3191	1488	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
% Measurements
% ============
PHC-R-0	CUBE(1.0,0.0,null)	3	64	500000	42	40898720	81	97	460	920	231	223	654	648	1779	1771	16700	16700	53200	53600	465	930	224646	47	0	0	0	998701	998819	500105	499769	1000000	1000000	0.007004123854704093	0.006976999490473047	0.013003468539137423	0.012991373658729937	0	0	0	0	0	0	-1050	126	-299	2	-1146	8	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-1	CUBE(1.0,0.0,null)	3	64	500000	42	40870952	81	99	470	940	241	223	646	643	1852	1802	16700	16900	58400	57800	488	976	224456	47	0	0	0	1000219	1000217	499495	499402	1000000	1000000	0.007020799139660389	0.007038656645749868	0.012954234332666095	0.013016632191374115	0	0	0	0	0	0	-853	72	-300	2	-1146	8	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-2	CUBE(1.0,0.0,null)	3	64	500000	42	40908520	81	99	452	904	240	231	639	651	1767	1780	16700	16700	56100	55700	469	938	224730	47	0	0	0	999816	1001619	500366	500898	1000000	1000000	0.006959254447125035	0.006975226856919815	0.01295952134731281	0.012976019658558149	0	0	0	0	0	0	-1062	130	-300	2	-1432	10	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-0	CUBE(1.0,0.0,null)	3	64	1000000	84	86742552	86	153	1032	1032	221	215	681	713	1954	1981	18300	18800	64100	64900	1053	1053	448904	47	0	0	0	998947	1000004	499015	499629	1000000	1000000	0.0055322687225152975	0.005549452337904086	0.010306759771389869	0.010280836349791177	-155	174	0	0	0	0	-1568	242	-287	2136	-1719	10	-283	32	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-1	CUBE(1.0,0.0,null)	3	64	1000000	84	84865312	84	167	1011	1011	221	206	680	715	1970	2112	17700	19000	67200	67600	1031	1031	449166	47	0	0	0	999842	998620	499253	500338	1000000	1000000	0.005545107295248198	0.005552241363654294	0.010275292286884492	0.010320092935684522	-155	160	0	0	0	0	-1839	282	-287	2162	-1719	12	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-2	CUBE(1.0,0.0,null)	3	64	1000000	84	84826240	84	148	1060	1060	217	215	701	700	1964	2066	17200	19100	69700	66200	1040	1040	449280	47	0	0	0	1001431	1000740	499833	499837	1000000	1000000	0.005491980591782553	0.00554153679674488	0.010257877868407619	0.010282823246514902	-155	176	0	0	0	0	-1840	274	-286	2086	-1432	10	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-0	CUBE(1.0,0.0,null)	3	64	2500000	209	215858496	86	306	2831	1132	234	226	848	848	2206	2306	21700	20100	59500	59500	3091	1236	1119028	47	0	0	0	998752	1000638	499502	500164	1000000	1000000	0.004082039020469633	0.004101536244572936	0.007573693393969944	0.0075540787521829345	-167	2086	0	0	0	0	-1691	268	-500	2	-949	4	-466	58	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-1	CUBE(1.0,0.0,null)	3	64	2500000	209	215775536	86	303	2983	1193	237	229	830	845	2272	2291	21600	20200	59600	59800	3099	1239	1118198	47	0	0	0	1000518	1000398	500959	500036	1000000	1000000	0.0040658750979310244	0.004075084408808917	0.0075756383197225175	0.007573247682003364	-156	2220	0	0	0	0	-1264	194	-500	2	-1424	6	-496	44	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-2	CUBE(1.0,0.0,null)	3	64	2500000	209	215790040	86	309	2885	1154	234	232	846	849	2241	2299	20900	20400	60000	60200	3088	1235	1118448	47	0	0	0	1000579	1000562	498869	500926	1000000	1000000	0.004063105178072113	0.004066993182230688	0.007567623251328451	0.007580905615075735	-139	2260	0	0	0	0	-1273	182	-500	2	-949	4	-472	66	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-0	CUBE(1.0,0.0,null)	3	64	5000000	417	433317200	86	594	6588	1317	260	249	1050	955	2456	2627	27200	24900	70300	69100	6913	1382	2240319	46	0	0	0	998498	1000093	499772	499895	1000000	1000000	0.0032472162280788525	0.0032525234878270767	0.006001834681235893	0.005978420326673344	-185	7080	0	0	0	0	-1640	230	-882	2	-1858	6	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-1	CUBE(1.0,0.0,null)	3	64	5000000	417	433302104	86	595	6394	1278	257	245	952	953	2449	2715	26700	25800	70700	71500	7140	1428	2240141	46	0	0	0	1002308	1000132	500439	500021	1000000	1000000	0.0032369808940073837	0.003247383183072359	0.006012735878209836	0.006002823578653269	-192	6878	0	0	0	0	-802	92	-882	4	-1858	4	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-2	CUBE(1.0,0.0,null)	3	64	5000000	417	433227168	86	587	6603	1320	259	250	945	936	2457	2703	26700	24800	68900	68000	6919	1383	2239431	46	0	0	0	999627	1000592	500457	501056	1000000	1000000	0.0032451576533203763	0.0032295193465947114	0.006015413083538127	0.006004007174045236	-157	7216	0	0	0	0	-1647	230	-882	4	-1858	6	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-0	CUBE(1.0,0.0,null)	3	64	10000000	831	864156240	86	1198	14491	1449	281	264	1097	1115	2754	2840	25900	28000	82400	83900	15977	1597	4475315	46	0	0	0	999862	1000368	500030	499384	1000000	1000000	0.0025606925173801026	0.002554175034690666	0.004755910163183822	0.004752886212620265	-373	14942	0	0	0	0	-935	164	-1033	6	-2252	10	-989	216	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-1	CUBE(1.0,0.0,null)	3	64	10000000	831	863981768	86	1193	14016	1401	272	255	1093	1085	2681	2785	24900	28500	78800	78100	15989	1598	4473532	46	0	0	0	1001207	1000319	500481	499096	1000000	1000000	0.002565186314151262	0.00256631130799225	0.004765116564362694	0.004756747202693149	-428	14218	0	0	0	0	0	0	-1033	4	-2252	8	-1019	206	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-2	CUBE(1.0,0.0,null)	3	64	10000000	831	864118016	86	1185	13889	1388	272	265	1089	1081	2719	2770	24800	27900	81200	78800	16392	1639	4474784	46	0	0	0	1000098	1000607	500623	499677	1000000	1000000	0.002568190955536214	0.0025483447835646838	0.004769063461603074	0.004757254547663349	-361	14386	0	0	0	0	-927	172	-1033	4	-2252	10	-1006	206	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC-R-0	CUBE(1.0,0.0,null)	3	64	25000000	2066	2156417832	86	2846	41859	1674	327	323	1313	1315	3037	3322	30400	29700	76100	76400	47397	1895	11152543	46	0	0	0	1001658	1000143	500271	499185	1000000	1000000	0.001890694371470323	0.0018825686599735754	0.00350592303914937	0.0035074764583505197	-1930	41942	0	0	0	0	-1994	378	-977	12	-1142	8	-2106	626	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
