Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	500000	36	34881653	69	86	316	632	99	96	559	564	1664	1657	76666	76800	130033	127500	318	636	283459	38	1345	0	0	1106542	1036231	500115	499655	1000000	1000000	0.11359735240312119	0.1134851361348589	0.12075793756477347	0.12088661314311665	0	0	0	0	0	0	-1279	144	-2004	12	-3436	22	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00111922611
PHC-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	72	72606536	72	99	663	663	100	102	626	624	1793	1768	66100	66333	112600	111200	585	585	562560	38	3088	0	0	1033691	988354	499857	499609	1000000	1000000	0.07341768386497816	0.07391077726470081	0.0794869509428112	0.08019513745943987	-171	120	0	0	0	0	-1211	1748	-1719	10	-2863	22	-98	8	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
PHC-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	2500000	179	184902346	73	191	1662	664	115	116	759	792	1957	1989	61200	59066	105633	102800	1510	604	1390524	38	9764	0	0	761736	779125	499924	500280	1000000	1000000	0.06166647591499658	0.062337761589439634	0.06564240275737993	0.06659764968364706	-449	566	0	0	0	0	-1407	248	-1509	10	-2642	10	-262	31	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00117646066
PHC-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	5000000	357	371282146	74	315	3436	687	135	132	880	881	2123	2122	56766	50466	87166	88033	3077	615	2764078	38	20093	0	0	811427	866683	499805	500010	1000000	1000000	0.04452375859079976	0.044269624255632294	0.0472029759153882	0.047704382800218936	-216	4788	0	0	0	0	-900	125	-739	2	-2198	8	-739	92	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00117646066
PHC-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	10000000	709	732286466	73	599	6633	663	137	137	1026	1021	2276	2376	53333	51066	86900	88166	6100	610	5473204	38	44940	0	0	673253	698465	499380	499768	1000000	1000000	0.034933752592204353	0.034573746183392796	0.03686157636467521	0.037531052575998876	-963	6252	0	0	0	0	-1399	194	-1190	4	-2234	8	-1123	155	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011834605100000002
PHC-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	25000000	1765	1839677288	73	1547	17138	685	160	154	1364	1330	2804	2866	48233	48533	89366	92166	15579	623	13656507	37	131565	0	0	796005	858303	500166	500233	1000000	1000000	0.022699279761680527	0.023109811008344926	0.02430348204075014	0.025056612766739508	-3112	15866	0	0	0	0	-2096	481	-1221	8	-2240	14	-1107	312	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011936076900000002
PHC-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	50000000	3513	3673040050	73	3077	36049	720	145	143	1213	1223	3130	3310	741933	778566	1695533	1550100	32338	646	27184792	37	295462	0	0	1156710	1222112	500172	500227	1000000	1000000	0.8322241121255735	0.8470232299219481	0.8326555292845788	0.848258680725774	-8405	16888	0	0	0	0	-2082	664	-17868	234	-32387	418	-2608	1084	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0014217282
% Measurements
% ============
PHC-R-0	OSM(1.0,0.0,null)	2	64	500000	36	34881704	69	90	304	608	101	99	547	552	1658	1621	75500	75700	123700	128400	291	582	283459	38	1345	0	0	1111699	952071	500207	499737	1000000	1000000	0.11322752220039374	0.11358943861631358	0.12105589322970085	0.12051581857600824	0	0	0	0	0	0	-1075	132	-2004	12	-3436	22	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00111922611
