Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC_IPP-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	500000	28	27458840	54	90	328	656	272	152	462	472	1110	1136	25400000	27600000	45016666	54050000	270	540	284393	11	0	0	0	50016	49998	499988	500023	1000000	1000000	0.41229806127632584	0.387799091751629	0.3852607820221998	0.42185783100237595	-248	22	0	0	-146	112	-1663	2351	-1719	10	-3724	6	-97	3	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	1000000	54	54614357	54	156	646	646	149	126	572	614	1287	1321	39783333	43233333	71716666	83866666	538	538	536000	11	0	0	0	100016	99959	499367	499934	1000000	1000000	0.41229799093474034	0.3877990190413682	0.3852605737256852	0.4218576193176193	-745	112	0	0	98	949	-1678	134	-2578	4	-5730	18	-96	5	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	2500000	130	139155616	55	315	1644	657	125	112	603	587	1603	1626	67083333	73616666	125466666	144466666	1407	562	1274646	10	0	0	0	249941	249937	499776	500375	1000000	1000000	0.4122978813202571	0.38779891981047054	0.3852603954049676	0.4218574414866955	-1864	1114	0	0	0	0	-1865	264	-3983	14	-9415	36	-363	29	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	5000000	244	253076965	50	591	3303	660	104	101	650	678	1693	1736	96850000	105633333	182016666	205700000	2778	555	2387495	10	0	0	0	500121	500107	500222	500324	1000000	1000000	0.41229783855523666	0.38779887977235045	0.38526028094343817	0.4218573521632905	-3719	1602	0	0	0	0	-1515	166	-5452	12	-14313	34	-946	71	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	10000000	463	480977218	48	1209	6843	684	99	97	755	761	1942	1965	141050000	152466666	264183333	297816666	5696	569	4560833	10	0	0	0	1000047	1000104	500378	499385	1000000	1000000	0.41229780766781715	0.38779882872221294	0.385260197871873	0.42185726855078004	-7434	3528	0	0	0	0	-2159	225	-7818	20	-18986	42	-1902	146	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	25000000	1152	1189424690	46	2954	16874	674	99	94	910	916	2330	2399	224333333	244150000	429483333	480450000	15099	603	11550636	9	0	0	0	2500310	2500166	500128	499332	1000000	1000000	0.41229776500651544	0.3877987978377096	0.38526012119493425	0.42185719321261644	-19410	6283	0	0	0	0	-1779	344	-12285	84	-31272	192	-4542	488	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	50000000	2229	2327016688	46	5825	36196	723	90	89	996	1013	2591	2604	312233333	339583333	604900000	673583333	31111	622	22286508	9	0	0	0	5000155	5000465	500228	499874	1000000	1000000	0.4122977418545735	0.38779877150137265	0.38526007663646816	0.4218571558329683	-39235	10826	0	0	0	0	-1775	344	-16752	188	-42440	480	-10123	1256	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
PHC_IPP-R-0	CLUSTER(3.5,0.0,null)	3	64	500000	28	27464552	54	99	351	702	359	159	455	471	1152	1150	21400000	26550000	44250000	61350000	285	570	284518	11	0	0	0	50035	50006	500105	499769	1000000	1000000	0.43486703718745157	0.4133134826352195	0.4193198223965113	0.4097946365412044	-248	24	0	0	-146	110	-1350	6804	-1719	10	-3724	6	-291	10	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
PHC_IPP-R-1	CLUSTER(3.5,0.0,null)	3	64	500000	28	27442888	54	75	319	638	259	140	459	477	1090	1122	27700000	25450000	59950000	45000000	261	522	284115	11	0	0	0	50002	49980	499495	499402	1000000	1000000	0.4409100686516525	0.39618625893129555	0.41639346957928314	0.39196445742092106	-248	22	0	0	-146	116	-1679	110	-1719	12	-2578	12	0	0	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=20
