Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	500000	30	28977656	57	98	381	762	212	218	615	638	1527	1485	9333	9533	96366	93766	411	822	230014	23	0	0	0	999578	1000218	499988	500023	1000000	1000000	0.006994725815719333	0.006996960998367132	0.012972408073559283	0.012994675170489708	0	0	0	0	-146	112	-2085	200	-302	2	-2290	18	-192	12	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	59	61191352	61	149	820	820	201	205	678	730	1667	1680	8266	8966	53033	53100	924	924	444622	23	0	0	0	1000073	999788	499367	499934	1000000	1000000	0.0055231188684213665	0.0055477434978470535	0.010279976642439554	0.010294584177505249	-206	87	0	0	83	1013	-1792	237	-301	2	-1432	6	-290	28	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	2500000	149	153862613	61	302	2364	945	213	208	741	741	1891	1978	10366	9700	67000	68066	2631	1052	1128869	23	0	0	0	999949	1000532	499776	500375	1000000	1000000	0.0040703397663367745	0.004081204615275732	0.007572318321576447	0.007569410682353864	-634	1160	0	0	0	0	-1819	255	0	0	-1560	8	-525	56	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	5000000	299	310312925	62	578	5499	1099	236	229	874	875	2190	2343	12900	10733	108733	106100	6320	1264	2281811	22	0	0	0	1000144	1000272	500222	500324	1000000	1000000	0.0032431182588997134	0.003243142005305497	0.006009994547051321	0.005995083692210776	-717	5154	0	0	0	0	-2581	344	0	0	-2279	8	-743	90	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	10000000	579	600933869	60	1173	11832	1183	243	237	999	983	2294	2466	11400	13533	44566	42533	13876	1387	4381558	22	0	0	0	1000389	1000431	500378	499385	1000000	1000000	0.0025646899277744703	0.00255627704681523	0.004763363396648852	0.0047556293216367285	-1513	10900	0	0	0	0	-2075	270	0	0	-1179	4	-2193	326	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	25000000	1480	1541162536	61	2828	34331	1373	290	282	1194	1188	2676	2876	13966	14600	101966	101133	41702	1668	11401205	21	0	0	0	1001046	999679	500128	499332	1000000	1000000	0.0018906103271843285	0.0018854680548897804	0.00350649724896458	0.0035076949362732915	-5592	23074	0	0	0	0	-2071	386	0	0	-2265	16	-4285	1118	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
PHC_IPP-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	50000000	2897	3026106368	60	5642	78247	1564	345	335	1412	1427	3086	3211	14833	15033	108966	110166	95332	1906	22469188	21	0	0	0	1001644	999506	500228	499874	1000000	1000000	0.0015003160264761286	0.00149314173167167	0.0027806542985882184	0.002784678952425974	-14035	27785	0	0	0	0	-3010	880	0	0	-2265	30	-9450	3852	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
% Measurements
% ============
PHC_IPP-R-0	CUBE(1.0,0.0,null)	3	64	500000	30	28966080	57	99	385	770	215	214	636	632	1496	1479	9600	10400	96900	95700	403	806	229885	23	0	0	0	998701	998819	500105	499769	1000000	1000000	0.007004123855495649	0.006976999483702303	0.013003468539872356	0.012991373659727284	0	0	0	0	-146	116	-2172	210	-302	2	-2290	18	-290	18	PhTree11 AHC/LHC=2.0 AHC-on=true HCI-on=true NtLimit=150 NtMaxDim=6 DEBUG=false WINDOW_RESULTS=1000 KNN_REPEAT=10000
