Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QKDZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	500000	0	89133770	177	89	342	684	519	106	0	0	1899	2187	5166666	4550000	6150000	9200000	241	482	217976	20	0	0	0	50015	49997	0	0	999224	997797	0.5660410404077342	0.5379194806089103	0.5105314936020031	0.5607164967963646	0	0	0	0	0	0	-290	2007	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;min/max=[-0.4998643275263245, 0.4999950000388341, 0.49999500006807973]/[1.499774046978919, 1.9997337896716376, 1.9997337897584702] WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	1000000	0	160434560	159	150	833	833	412	143	0	0	2291	2522	13933333	10566666	16550000	24850000	478	478	321722	20	0	0	0	100015	99959	0	0	999610	998788	0.5226837577245032	0.5109875136926975	0.5176009622028221	0.5644148194167251	3	636	0	0	0	0	-17	13052	0	0	-78	10524	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;min/max=[-0.49986435159439324, 0.4999950000388341, 0.49999500006807973]/[1.499774119183125, 1.999733861875844, 1.9997338628274288] WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	2500000	0	442408216	176	282	1597	638	202	98	0	0	2513	2801	34400000	29400000	34600000	51516666	1133	453	993143	21	0	0	0	249939	249935	0	0	999816	999471	0.5507249964381559	0.5393344144998204	0.5193398738330578	0.5695759961861571	399	2336	0	0	0	0	-583	220	0	0	0	0	-202	89	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;min/max=[-0.4998643712191659, 0.4999950000160757, 0.4999950000259574]/[1.499774178057443, 1.9997339213693865, 1.999733921701747] WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	5000000	0	863530978	172	609	2743	548	131	76	0	0	2463	2676	58316666	50750000	58266666	87116666	2058	411	1851087	21	0	0	0	500114	500103	0	0	999917	999726	0.5642300598583548	0.5392820680937286	0.5209524176106678	0.5515070248635069	759	4074	0	0	0	0	-550	196	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;min/max=[-0.4998649220111222, 0.4999950000160757, 0.49999500001419306]/[1.4997748013860883, 1.9997348019598378, 1.9997348022921981] WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	10000000	0	1585620410	158	1197	5063	506	94	66	0	0	2610	2686	105700000	91766666	106450000	152233333	3939	393	2934867	21	0	0	0	1000035	1000089	0	0	999955	999857	0.49294582186819164	0.47683029585331194	0.49424250585574825	0.5277085644940614	1138	6238	0	0	0	0	0	0	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;min/max=[-0.4998649764104341, 0.4999950000079301, 0.4999950000036084]/[1.499774964584024, 1.9997349652215397, 1.9997349654901337] WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	25000000	0	4655706160	186	2892	14152	566	85	72	0	0	2975	2940	194633333	162550000	273416666	403383333	11027	441	10943554	22	0	0	0	2500282	2500138	0	0	999981	999942	0.4870487866558361	0.48496730977987323	0.48644357334056737	0.5231610196012221	4241	21150	0	0	0	0	-639	141	0	0	0	0	-776	794	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;min/max=[-0.49986497031475235, 0.49999500000479447, 0.4999950000036084]/[1.4997749462969787, 1.999734947393599, 1.9997349472121606] WINDOW_RESULTS=1000 KNN_REPEAT=20
QKDZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	50000000	0	7807736437	156	5819	26714	534	71	61	0	0	3222	3330	457100000	388616666	431333333	631900000	21953	439	13794306	22	0	0	0	5000107	5000401	0	0	999988	999973	0.48539982176584684	0.4690597662645855	0.4923969049285108	0.517276609706445	8887	45801	0	0	0	0	-596	391	0	0	-994	44	-516	649	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;min/max=[-0.49986499051668387, 0.49999500000392644, 0.4999950000008156]/[1.49977498506983, 1.999734991624686, 1.99973499159865] WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
QKDZ-R-0	CLUSTER(3.5,0.0,null)	3	64	500000	0	88489424	176	74	342	684	539	119	0	0	1857	2209	5400000	8350000	4950000	17250000	237	474	217941	20	0	0	0	50035	50004	0	0	999181	997820	0.5681628893400698	0.5273786438774474	0.5473835106180095	0.5515410477098592	0	0	0	0	0	0	-200	1954	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;min/max=[-0.49986318725245904, 0.49999500003484443, 0.4999950000674131]/[1.4997724216899724, 1.9997317160909347, 1.9997317143888051] WINDOW_RESULTS=1000 KNN_REPEAT=20
