Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	500000	0	85051834	170	84	286	572	271	245	574	538	817	931	4566	4766	13033	13100	422	844	240959	7	0	0	0	999578	1000218	499988	500023	1000000	1000000	0.00699472581382984	0.006996960997714244	0.012972408073038776	0.012994675169554068	0	0	0	0	0	0	-189	972	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999942909914589, 0.499999257339032, 0.4999992016400541]/0.9999920358485349 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	145499730	145	161	880	880	196	179	655	671	1009	1088	5000	5633	12300	12433	926	926	297140	8	0	0	0	1000073	999788	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	13	659	0	0	0	0	-337	2872	0	0	0	0	143	3496	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999637460309876, 0.4999997382169821, 0.4999992016400541]/0.9999921710570508 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	2500000	0	391794693	156	314	2262	904	249	222	817	854	1108	1131	6900	7233	16533	16733	2515	1006	910359	8	0	0	0	999949	1000532	499776	500375	1000000	1000000	0.004070339765490923	0.004081204611870847	0.007572318321673637	0.007569410683087345	479	3562	0	0	435	4072	0	0	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999997036620625, 0.4999986215178058, 0.4999990639778572]/0.9999944044554036 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	5000000	0	837963077	167	607	5450	1090	293	269	931	923	1350	1489	8933	8900	19433	19066	5907	1181	2177007	9	0	0	0	1000144	1000272	500222	500324	1000000	1000000	0.003243118258468871	0.0032431420058313828	0.0060099945476612855	0.00599508369312395	1071	8381	0	0	0	0	-877	246	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999985590104828, 0.49999809229169095, 0.4999983956381049]/0.9999970981084555 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	10000000	0	1405572256	140	1195	11403	1140	265	242	1062	1062	1436	1464	11133	11166	20300	19966	13213	1321	2507968	9	0	0	0	1000389	1000431	500378	499385	1000000	1000000	0.002564689929022526	0.0025562770420825332	0.004763363396383197	0.004755629320992254	1051	9813	0	0	0	0	0	0	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999985590104828, 0.49999809229169095, 0.4999991817233917]/0.999998260980178 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	25000000	0	4271828069	170	2846	34112	1364	360	340	1401	1323	1792	2039	18900	18766	29900	29200	39763	1590	11387347	10	0	0	0	1001046	999679	500128	499332	1000000	1000000	0.0018906103315426673	0.0018854680495026359	0.003506497247818889	0.00350769493544417	4520	47517	0	0	0	0	-852	495	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999910904648276, 0.49999905988413273, 0.49999925135494255]/0.9999984002432797 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	50000000	0	7909322402	158	5661	76363	1527	443	418	1566	1599	2094	2085	32600	31966	41633	41766	94389	1887	18325395	10	0	0	0	1001644	999506	500228	499874	1000000	1000000	0.00150031602970215	0.001493141731127053	0.0027806542983358287	0.002784678951462675	6186	77676	0	0	0	0	0	0	0	0	0	0	-729	909	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999993601352215, 0.4999993793999728, 0.4999996742739986]/0.9999992460813918 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
% Measurements
% ============
QKDZ-R-0	CUBE(1.0,0.0,null)	3	64	500000	0	85080608	170	108	292	584	257	241	540	533	833	962	4600	4700	12900	13300	446	892	241132	8	0	0	0	998701	998819	500105	499769	1000000	1000000	0.007004123854704093	0.006976999490473047	0.013003468539137423	0.012991373658729937	0	0	0	0	0	0	-175	1430	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999958839309787, 0.49999514177186394, 0.499993671134353]/0.9999872297181913 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-1	CUBE(1.0,0.0,null)	3	64	500000	0	85035736	170	92	288	576	269	243	529	523	802	925	4500	4800	13000	12700	395	790	240819	8	0	0	0	1000219	1000217	499495	499402	1000000	1000000	0.007020799139660389	0.007038656645749868	0.012954234332666095	0.013016632191374115	0	0	0	0	0	0	-176	1398	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000007465860206, 0.4999954761165999, 0.5000024470860391]/0.9999891445360516 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-2	CUBE(1.0,0.0,null)	3	64	500000	0	85039160	170	54	278	556	287	251	655	560	816	908	4600	4800	13200	13300	426	852	240928	7	0	0	0	999816	1001619	500366	500898	1000000	1000000	0.006959254447125035	0.006975226856919815	0.01295952134731281	0.012976019658558149	0	0	0	0	0	0	-215	90	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999942909914589, 0.499999257339032, 0.4999992016400541]/0.9999920358485349 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
