Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QKDZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	500000	0	61720448	123	88	146	292	70	49	402	405	1085	1194	4500	4566	11400	11333	148	296	132244	19	0	0	0	1106542	1036231	500115	499655	1000000	1000000	0.11359735240312119	0.1134851361348589	0.12075793756477347	0.12088661314311665	0	0	0	0	0	0	-162	50	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.1211001, 46.978477049999995]/11.1922018 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00111922611
QKDZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	124367672	124	125	259	259	74	55	485	505	1283	1354	6100	6066	12466	12100	286	286	256643	19	0	0	0	1033691	988354	499857	499609	1000000	1000000	0.07341768386497816	0.07391077726470081	0.0794869509428112	0.08019513745943987	0	0	0	0	0	0	-402	4238	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QKDZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	2500000	0	310965920	124	226	955	382	105	68	583	579	1437	1447	8000	7966	17333	15733	741	296	617051	19	0	0	0	761736	779125	499924	500280	1000000	1000000	0.06166647591499658	0.062337761589439634	0.06564240275737993	0.06659764968364706	-6	648	0	0	0	0	-27	3728	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.00616805, 46.91235125]/11.763642099999998 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00117646066
QKDZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	5000000	0	621987037	124	354	1868	373	104	80	725	797	1611	1632	15066	15200	21366	20966	1506	301	1211017	19	0	0	0	811427	866683	499805	500010	1000000	1000000	0.04452375859079976	0.044269624255632294	0.0472029759153882	0.047704382800218936	538	2892	0	0	0	0	0	0	0	0	0	0	83	8012	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.00616805, 46.91274185]/11.763642099999998 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00117646066
QKDZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	10000000	0	1236521122	123	710	3926	392	151	106	985	939	1781	1898	25133	25033	31333	30766	2898	289	2367430	20	0	0	0	673253	698465	499380	499768	1000000	1000000	0.034933752592204353	0.034573746183392796	0.03686157636467521	0.037531052575998876	1419	7093	0	0	0	0	-256	8896	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.04108515, 46.922737749999996]/11.833476300000001 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011834605100000002
QKDZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	25000000	0	3067810485	122	1818	9559	382	173	141	1245	1243	1916	1935	54533	54600	57866	58133	7235	289	5712715	25	0	0	0	796005	858303	500166	500233	1000000	1000000	0.022699279761680527	0.023109811008344926	0.02430348204075014	0.025056612766739508	2183	13090	0	0	0	0	0	0	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[10.990349250000001, 46.93707675]/11.934948100000002 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011936076900000002
QKDZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	50000000	0	6092162637	121	3480	19578	391	145	119	1134	1129	2274	2150	125666	124133	135200	135566	14840	296	11032408	25	0	0	0	1156710	1222112	500172	500227	1000000	1000000	0.8322241121255735	0.8470232299219481	0.8326555292845788	0.848258680725774	4184	27213	0	0	0	0	-648	286	-977	22	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.034657, 45.0052739]/14.207126 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0014217282
% Measurements
% ============
QKDZ-R-0	OSM(1.0,0.0,null)	2	64	500000	0	61720448	123	98	113	226	79	50	397	405	1072	1212	4500	4500	11500	11200	148	296	132244	19	0	0	0	1111699	952071	500207	499737	1000000	1000000	0.11322752220039374	0.11358943861631358	0.12105589322970085	0.12051581857600824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.1211001, 46.978477049999995]/11.1922018 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00111922611
