Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QTZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	500000	0	85062778	170	93	285	570	236	223	521	514	792	928	4500	4633	12866	12800	380	760	240959	7	0	0	0	999578	1000218	499988	500023	1000000	1000000	0.00699472581382984	0.006996960997714244	0.012972408073038776	0.012994675169554068	0	0	0	0	0	0	-253	458	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999942909914589, 0.499999257339032, 0.4999992016400541]/0.9999920358485349 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	145503989	145	153	728	728	160	151	632	665	974	1052	4866	4800	11800	11666	909	909	297140	8	0	0	0	1000073	999788	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	13	396	0	0	0	0	-80	3585	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999637460309876, 0.4999997382169821, 0.4999992016400541]/0.9999921710570508 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	2500000	0	391801181	156	324	2112	844	204	197	786	840	1143	1178	6933	6966	16233	15833	2452	980	910359	8	0	0	0	999949	1000532	499776	500375	1000000	1000000	0.004070339765490923	0.004081204611870847	0.007572318321673637	0.007569410683087345	271	2174	0	0	119	1350	-27	3628	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999997036620625, 0.4999986215178058, 0.4999990639778572]/0.9999944044554036 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	5000000	0	837778517	167	579	5193	1038	260	251	915	912	1343	1357	8533	8700	18500	18400	5742	1148	2177007	9	0	0	0	1000144	1000272	500222	500324	1000000	1000000	0.003243118258468871	0.0032431420058313828	0.0060099945476612855	0.00599508369312395	1066	7828	0	0	0	0	0	0	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999985590104828, 0.49999809229169095, 0.4999983956381049]/0.9999970981084555 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	10000000	0	1405605672	140	1176	10471	1047	219	209	1043	1048	1386	1444	11200	10933	19700	19400	12690	1269	2507968	9	0	0	0	1000389	1000431	500378	499385	1000000	1000000	0.002564689929022526	0.0025562770420825332	0.004763363396383197	0.004755629320992254	1054	9026	0	0	0	0	0	0	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999985590104828, 0.49999809229169095, 0.4999991817233917]/0.999998260980178 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	25000000	0	4271857696	170	2826	33554	1342	314	303	1305	1300	1768	2052	18800	18666	29100	29133	38790	1551	11387347	10	0	0	0	1001046	999679	500128	499332	1000000	1000000	0.0018906103315426673	0.0018854680495026359	0.003506497247818889	0.00350769493544417	4506	46572	0	0	0	0	-806	546	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999910904648276, 0.49999905988413273, 0.49999925135494255]/0.9999984002432797 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	50000000	0	7909352032	158	5607	71684	1433	374	363	1467	1451	1988	1987	30333	30266	39333	39266	88790	1775	18325395	10	0	0	0	1001644	999506	500228	499874	1000000	1000000	0.00150031602970215	0.001493141731127053	0.0027806542983358287	0.002784678951462675	6145	73721	0	0	0	0	0	0	0	0	0	0	-744	839	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999993601352215, 0.4999993793999728, 0.4999996742739986]/0.9999992460813918 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
% Measurements
% ============
QTZ-R-0	CUBE(1.0,0.0,null)	3	64	500000	0	85088216	170	61	273	546	236	226	512	505	789	930	4500	4500	13000	13000	372	744	241132	8	0	0	0	998701	998819	500105	499769	1000000	1000000	0.007004123854704093	0.006976999490473047	0.013003468539137423	0.012991373658729937	0	0	0	0	0	0	-246	70	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999958839309787, 0.49999514177186394, 0.499993671134353]/0.9999872297181913 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-R-1	CUBE(1.0,0.0,null)	3	64	500000	0	85043344	170	110	290	580	237	220	525	519	790	922	4500	4800	12800	12900	378	756	240819	8	0	0	0	1000219	1000217	499495	499402	1000000	1000000	0.007020799139660389	0.007038656645749868	0.012954234332666095	0.013016632191374115	0	0	0	0	0	0	-267	1234	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000007465860206, 0.4999954761165999, 0.5000024470860391]/0.9999891445360516 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-R-2	CUBE(1.0,0.0,null)	3	64	500000	0	85056776	170	108	292	584	235	224	526	519	798	934	4500	4600	12800	12500	392	784	240928	7	0	0	0	999816	1001619	500366	500898	1000000	1000000	0.006959254447125035	0.006975226856919815	0.01295952134731281	0.012976019658558149	0	0	0	0	0	0	-246	70	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999942909914589, 0.499999257339032, 0.4999992016400541]/0.9999920358485349 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-R-0	CUBE(1.0,0.0,null)	3	64	1000000	0	145540096	145	148	732	732	161	151	627	661	962	1055	4900	4800	11700	11700	870	870	297351	8	0	0	0	998947	1000004	499015	499629	1000000	1000000	0.0055322687225152975	0.005549452337904086	0.010306759771389869	0.010280836349791177	13	398	0	0	0	0	-249	1548	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999648234535987, 0.49999893803888407, 0.4999987091101842]/0.9999924907024504 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-R-1	CUBE(1.0,0.0,null)	3	64	1000000	0	145490576	145	151	721	721	159	154	630	656	1009	1080	4800	4700	11900	11600	916	916	297091	8	0	0	0	999842	998620	499253	500338	1000000	1000000	0.005545107295248198	0.005552241363654294	0.010275292286884492	0.010320092935684522	13	396	0	0	0	0	18	4688	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999974581862376, 0.4999989239660471, 0.5000021655584055]/0.9999944690312389 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
