Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSS-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	500000	0	73815120	147	138	3709	7418	104	81	1186	1148	0	0	22000	20666	23000	22666	0	0	0	0	0	0	0	988795	1018596	499988	500023	0	0	0.054747281102757804	0.054485786936167346	0.05394119164444217	0.05517303404845502	-3287	188	-265	2	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=86493;dirNodes=19351 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	149131586	149	252	7635	7635	96	82	1481	1383	0	0	23000	22000	26000	24666	0	0	0	0	0	0	0	1009653	993981	499367	499934	0	0	0.05370908285855255	0.053316628667331965	0.05461350406617921	0.05405728590038578	-6973	1094	-265	2	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=172597;dirNodes=38232 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	2500000	0	376843690	150	597	19926	7970	103	80	2197	2132	0	0	36000	35333	37666	39333	0	0	0	0	0	0	0	1000830	987598	499776	500375	0	0	0.05368250900292229	0.054479916945000345	0.05476091288795724	0.05450613046244026	-19030	3387	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=429462;dirNodes=95062 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	5000000	0	756092328	151	1136	41362	8272	104	76	2789	2830	0	0	36666	36666	45666	45666	0	0	0	0	0	0	0	1001451	1038041	500222	500324	0	0	0.05319261417786093	0.053081204974423195	0.05486267846874108	0.05315156385800892	-39377	7308	0	0	-940	87	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=858130;dirNodes=190411 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	10000000	0	1512213642	151	2383	85524	8552	106	75	3612	3659	0	0	41333	39333	61000	58000	0	0	0	0	0	0	0	1057866	915087	500378	499385	0	0	0.053039332198073934	0.05410357132772794	0.054403052305499265	0.05401725202753682	-81467	12597	0	0	-627	58	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=1716976;dirNodes=381482 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	25000000	0	3787623133	151	5685	223860	8954	96	72	5291	5383	0	0	48666	47666	62666	62333	0	0	0	0	0	0	0	1201523	1048329	500128	499332	0	0	0.05233349765305537	0.05364208197155864	0.05365527153839198	0.05489039571961371	-212944	28952	0	0	-940	99	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=4297606;dirNodes=958315 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	50000000	0	7589418554	151	11357	472126	9442	98	75	7090	7128	0	0	56666	61000	92333	93000	0	0	0	0	0	0	0	1015103	945063	500228	499874	0	0	0.052976400084258995	0.05274560355034833	0.05364587495660694	0.05331371054199948	-441752	52084	0	0	-627	99	0	0	-1079	36	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=8608114;dirNodes=1922915 WINDOW_RESULTS=1000 KNN_REPEAT=1000
% Measurements
% ============
RSS-R-0	CLUSTER(5.0,0.0,null)	3	64	500000	0	73804856	147	137	3702	7404	118	85	1262	1232	0	0	26000	24000	26000	25000	0	0	0	0	0	0	0	979661	1010025	500105	499769	0	0	0.05493497095546605	0.05540265340460771	0.05298334993769599	0.054813256287503574	-3286	184	-264	2	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=86477;dirNodes=19309 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-1	CLUSTER(5.0,0.0,null)	3	64	500000	0	73825728	147	118	3736	7472	102	81	1144	1085	0	0	19000	17000	24000	20000	0	0	0	0	0	0	0	1026702	1014510	499495	499402	0	0	0.054520216093930755	0.054338907774582286	0.05448681901608534	0.055192108990494426	-3288	188	-265	2	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=86502;dirNodes=19414 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-2	CLUSTER(5.0,0.0,null)	3	64	500000	0	73814776	147	160	3691	7382	92	79	1152	1128	0	0	21000	21000	19000	23000	0	0	0	0	0	0	0	960022	1031255	500366	500898	0	0	0.05478665625887659	0.053715799629312035	0.05435340597954519	0.05551373686736705	-3286	192	-267	2	0	0	0	0	-303	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=86493;dirNodes=19351 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-0	CLUSTER(5.0,0.0,null)	3	64	1000000	0	149084560	149	246	7636	7636	87	83	1603	1493	0	0	29000	25000	27000	25000	0	0	0	0	0	0	0	1029164	948635	499015	499629	0	0	0.05289868806757571	0.05361451376439844	0.05380120983991278	0.053438504810508526	-6893	1446	-265	2	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=172189;dirNodes=38096 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-1	CLUSTER(5.0,0.0,null)	3	64	1000000	0	149141704	149	256	7675	7675	105	84	1437	1339	0	0	21000	20000	26000	26000	0	0	0	0	0	0	0	1014087	1040978	499253	500338	0	0	0.05396475251302142	0.05256014963270485	0.05536437089249448	0.054425201136990356	-7136	390	-265	2	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=172389;dirNodes=38277 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-2	CLUSTER(5.0,0.0,null)	3	64	1000000	0	149168496	149	254	7596	7596	98	81	1404	1317	0	0	19000	21000	25000	23000	0	0	0	0	0	0	0	985709	992331	499833	499837	0	0	0.054263807995060497	0.0537752226048926	0.05467493146613038	0.05430815175365846	-6890	1446	-265	2	0	0	0	0	-303	2	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=172597;dirNodes=38232 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-0	CLUSTER(5.0,0.0,null)	3	64	2500000	0	376844632	150	597	20050	8020	93	78	2123	2050	0	0	33000	31000	32000	35000	0	0	0	0	0	0	0	955197	981820	499502	500164	0	0	0.05329792479928013	0.05422097050161021	0.05464848115640616	0.054330714906982436	-18910	3440	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=429245;dirNodes=95031 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-1	CLUSTER(5.0,0.0,null)	3	64	2500000	0	376803736	150	593	19878	7951	98	81	2272	2189	0	0	39000	41000	42000	45000	0	0	0	0	0	0	0	987505	979163	500959	500036	0	0	0.05153182952578833	0.05460683459296131	0.054855147159330986	0.05390557611528808	-19187	3446	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=429074;dirNodes=94923 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-2	CLUSTER(5.0,0.0,null)	3	64	2500000	0	376882704	150	601	19852	7940	119	81	2196	2159	0	0	36000	34000	39000	38000	0	0	0	0	0	0	0	1059790	1001811	498869	500926	0	0	0.05621777268369841	0.054611945740429525	0.054779110348134576	0.055282100365050255	-18992	3276	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=429462;dirNodes=95062 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-0	CLUSTER(5.0,0.0,null)	3	64	5000000	0	756101624	151	1137	41853	8370	103	76	2738	2811	0	0	36000	36000	45000	42000	0	0	0	0	0	0	0	1034428	1003746	499772	499895	0	0	0.05241780124996474	0.05205032051753523	0.054817804895326935	0.05215546172862427	-39499	7344	0	0	-940	90	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=858184;dirNodes=190164 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-1	CLUSTER(5.0,0.0,null)	3	64	5000000	0	756043672	151	1141	41633	8326	106	77	2799	2843	0	0	36000	36000	47000	48000	0	0	0	0	0	0	0	964912	1030262	500439	500021	0	0	0.05446547917170752	0.054366260186155556	0.055502796776770426	0.05451218295360968	-39167	7380	0	0	-940	86	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=858050;dirNodes=189928 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-2	CLUSTER(5.0,0.0,null)	3	64	5000000	0	756131688	151	1132	40601	8120	104	75	2831	2836	0	0	38000	38000	45000	47000	0	0	0	0	0	0	0	1005014	1080115	500457	501056	0	0	0.05269456211191052	0.052827034219578795	0.05426743373412589	0.05278704689179281	-39466	7202	0	0	-940	86	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=858130;dirNodes=190411 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-0	CLUSTER(5.0,0.0,null)	3	64	10000000	0	1512239024	151	2254	84414	8441	106	72	3564	3542	0	0	44000	39000	52000	52000	0	0	0	0	0	0	0	959563	868880	500030	499384	0	0	0.05180876967399155	0.05285839243826435	0.053643255661567545	0.05327095129426897	-81196	12500	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=1717363;dirNodes=381417 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-1	CLUSTER(5.0,0.0,null)	3	64	10000000	0	1512211008	151	2305	84182	8418	101	76	3463	3518	0	0	37000	38000	53000	50000	0	0	0	0	0	0	0	1167252	982890	500481	499096	0	0	0.053349551623745314	0.05532527071972287	0.05408454331093425	0.054598191679908745	-81943	12356	0	0	-940	88	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=1717333;dirNodes=381257 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-2	CLUSTER(5.0,0.0,null)	3	64	10000000	0	1512190896	151	2590	87978	8797	111	79	3811	3918	0	0	43000	41000	78000	72000	1	0	0	0	0	0	0	1046784	893493	500623	499677	0	0	0.05395967529648493	0.05412705082519658	0.055481357943996	0.05418261310843277	-81262	12936	0	0	-940	88	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=1716976;dirNodes=381482 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-0	CLUSTER(5.0,0.0,null)	3	64	25000000	0	3787496320	151	5780	225233	9009	81	72	5286	5354	0	0	45000	44000	59000	60000	0	0	0	0	0	0	0	1322298	1052371	500271	499185	0	0	0.05235382562759536	0.053925206847330986	0.053256028070320025	0.054182255542920735	-213566	29244	0	0	-940	100	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=4297112;dirNodes=957929 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-1	CLUSTER(5.0,0.0,null)	3	64	25000000	0	3787743424	151	5665	225050	9002	99	71	5169	5213	0	0	44000	46000	63000	63000	0	0	0	0	0	0	0	1260832	1028366	500419	499321	0	0	0.05173047165053874	0.05343351845315052	0.05618856332576955	0.0560574100410674	-212702	28804	0	0	-940	100	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=4297973;dirNodes=958648 WINDOW_RESULTS=1000 KNN_REPEAT=1000
