Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSS-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	500000	0	76368994	152	95	7355	14710	517	480	3043	3017	0	0	20466	21500	25866	24500	0	0	0	0	0	0	0	999578	1000218	499988	500023	0	0	0.00699472581382984	0.006996960997714244	0.012972408073038776	0.012994675169554068	-3257	298	-310	1	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;dataNodes=94760dirNodes=11832 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	155488680	155	158	15506	15506	620	580	4874	4739	0	0	26300	26733	33466	31666	0	0	0	0	0	0	0	1000073	999788	499367	499934	0	0	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	-6917	2766	-307	2	37	3546	0	0	0	0	-289	2	0	0	R*Tree-Seeger2;dataNodes=189591dirNodes=23654 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	2500000	0	392872434	157	313	41744	16697	738	722	7355	7471	0	0	37233	37433	43633	42466	0	0	0	0	0	0	0	999949	1000532	499776	500375	0	0	0.004070339765490923	0.004081204611870847	0.007572318321673637	0.007569410683087345	-17851	7622	0	0	-567	170	0	0	0	0	-718	2	0	0	R*Tree-Seeger2;dataNodes=473937dirNodes=59116 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	5000000	0	788216498	157	593	89446	17889	861	805	10120	10027	0	0	50700	50233	57266	56133	0	0	0	0	0	0	0	1000144	1000272	500222	500324	0	0	0.003243118258468871	0.0032431420058313828	0.0060099945476612855	0.00599508369312395	-36777	18718	0	0	0	0	0	0	0	0	-1144	4	0	0	R*Tree-Seeger2;dataNodes=947589dirNodes=118385 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	10000000	0	1574537658	157	1180	187399	18739	1009	936	13504	13457	0	0	64466	64266	70466	70733	0	0	0	0	0	0	0	1000389	1000431	500378	499385	0	0	0.002564689929022526	0.0025562770420825332	0.004763363396383197	0.004755629320992254	-77556	36747	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;dataNodes=1894710dirNodes=236480 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	25000000	0	3951086837	157	2837	516542	20661	1259	1205	22906	23583	0	0	92733	93366	99766	101733	0	0	0	0	0	0	0	1001046	999679	500128	499332	0	0	0.0018906103315426673	0.0018854680495026359	0.003506497247818889	0.00350769493544417	-200936	85443	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;dataNodes=4735336dirNodes=591823 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	50000000	0	7903455154	158	5711	1136780	22735	1443	1396	34358	34421	0	0	119733	120366	123233	121933	0	0	0	0	0	0	0	1001644	999506	500228	499874	0	0	0.00150031602970215	0.001493141731127053	0.0027806542983358287	0.002784678951462675	-415108	167807	0	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;dataNodes=9471749dirNodes=1184681 WINDOW_RESULTS=1000 KNN_REPEAT=10000
% Measurements
% ============
RSS-R-0	CUBE(1.0,0.0,null)	3	64	500000	0	76352872	152	80	7520	15040	493	465	2769	2678	0	0	18300	17900	25200	21900	0	0	0	0	0	0	0	998701	998819	500105	499769	0	0	0.007004123854704093	0.006976999490473047	0.013003468539137423	0.012991373658729937	-3257	306	-310	0	0	0	0	0	0	0	0	0	0	0	R*Tree-Seeger2;dataNodes=94804dirNodes=11774 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-R-1	CUBE(1.0,0.0,null)	3	64	500000	0	76395744	152	97	7304	14608	531	493	3311	3313	0	0	23700	26400	26800	26900	0	0	0	0	0	0	0	1000219	1000217	499495	499402	0	0	0.007020799139660389	0.007038656645749868	0.012954234332666095	0.013016632191374115	-3256	294	-310	2	0	0	0	0	94	7612	-285	2	0	0	R*Tree-Seeger2;dataNodes=94946dirNodes=11862 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-R-2	CUBE(1.0,0.0,null)	3	64	500000	0	76358368	152	108	7243	14486	527	484	3051	3060	0	0	19400	20200	25600	24700	0	0	0	0	0	0	0	999816	1001619	500366	500898	0	0	0.006959254447125035	0.006975226856919815	0.01295952134731281	0.012976019658558149	-3258	296	-310	2	0	0	0	0	0	0	-288	2	0	0	R*Tree-Seeger2;dataNodes=94760dirNodes=11832 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-R-0	CUBE(1.0,0.0,null)	3	64	1000000	0	155446648	155	157	15436	15436	610	571	4397	4241	0	0	24300	23500	32200	28500	0	0	0	0	0	0	0	998947	1000004	499015	499629	0	0	0.0055322687225152975	0.005549452337904086	0.010306759771389869	0.010280836349791177	-6914	2788	-311	2	0	0	0	0	0	0	-289	2	0	0	R*Tree-Seeger2;dataNodes=189327dirNodes=23608 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-R-1	CUBE(1.0,0.0,null)	3	64	1000000	0	155515544	155	157	15398	15398	631	590	5541	5433	0	0	30100	30300	35400	34600	0	0	0	0	0	0	0	999842	998620	499253	500338	0	0	0.005545107295248198	0.005552241363654294	0.010275292286884492	0.010320092935684522	-6918	2728	-309	2	111	10640	0	0	-300	2	-286	2	0	0	R*Tree-Seeger2;dataNodes=189528dirNodes=23769 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-R-2	CUBE(1.0,0.0,null)	3	64	1000000	0	155503848	155	161	15686	15686	620	581	4685	4543	0	0	24500	26400	32800	31900	0	0	0	0	0	0	0	1001431	1000740	499833	499837	0	0	0.005491980591782553	0.00554153679674488	0.010257877868407619	0.010282823246514902	-6917	2784	-302	2	0	0	0	0	0	0	-289	2	0	0	R*Tree-Seeger2;dataNodes=189591dirNodes=23654 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSS-R-0	CUBE(1.0,0.0,null)	3	64	2500000	0	392889752	157	320	41778	16711	729	705	6368	6473	0	0	32700	32700	38100	37100	0	0	0	0	0	0	0	998752	1000638	499502	500164	0	0	0.004082039020469633	0.004101536244572936	0.007573693393969944	0.0075540787521829345	-17744	7636	0	0	-595	174	0	0	0	0	-718	2	0	0	R*Tree-Seeger2;dataNodes=473948dirNodes=59037 WINDOW_RESULTS=1000 KNN_REPEAT=10000
