Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	500000	0	64080448	128	108	2860	5720	646	252	560	562	5088	5126	733333	950000	50000	16666	469	938	81849	7	0	0	0	50015	49997	499988	500023	1000000	1000000	0.41229806116059803	0.38779909178721755	0.3852607819677088	0.4218578310100159	-728	115	0	0	0	0	-1514	1436	-294	0	0	0	0	0	RTreeZ;RStarTreeLogic;size=500000;nNodes=81788;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	1000000	0	131312093	131	143	5594	5594	402	160	751	749	6068	6156	50000	2483333	33333	33333	1004	1004	160646	8	0	0	0	100015	99959	499367	499934	1000000	1000000	0.412297990895033	0.3877990190544281	0.38526057366051475	0.4218576193071164	-1448	256	0	0	0	0	-1642	3392	0	0	0	0	-267	40	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160645;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	2500000	0	331768552	132	305	14118	5647	243	92	1007	1003	7312	7440	3600000	5533333	50000	50000	2607	1042	390965	8	0	0	0	249939	249935	499776	500375	1000000	1000000	0.41229788129257855	0.3877989198850016	0.38526039535570106	0.42185744144965737	-3008	4791	0	0	0	0	-2070	454	0	0	0	0	-589	38	RTreeZ;RStarTreeLogic;size=2500000;nNodes=390692;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	5000000	0	665113968	133	613	28892	5778	150	62	1311	1335	8654	8842	11066666	4166666	66666	66666	5648	1129	773656	9	0	0	0	500114	500103	500222	500324	1000000	1000000	0.41229783855362445	0.38779887970709354	0.38526028088510494	0.42185735215553827	-6500	7800	0	0	0	0	-2587	460	0	0	0	0	-732	32	RTreeZ;RStarTreeLogic;size=5000000;nNodes=773715;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	10000000	0	1327053213	132	1198	59786	5978	102	51	1668	1653	9683	9962	13716666	16666	83333	83333	12216	1221	1531662	9	0	0	0	1000035	1000089	500378	499385	1000000	1000000	0.4122978076007156	0.3877988286744696	0.3852601977984688	0.42185726855197414	-12762	19280	0	0	0	0	-2240	401	0	0	0	0	-1035	122	RTreeZ;RStarTreeLogic;size=10000000;nNodes=1532269;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	25000000	0	3316857429	132	2902	155180	6207	65	45	2160	2177	11718	11948	100000	17050000	116666	83333	35291	1411	3794488	9	0	0	0	2500282	2500138	500128	499332	1000000	1000000	0.4122977649633219	0.38779879783212473	0.3852601211295583	0.42185719320333925	-33363	26724	0	0	0	0	-2255	458	0	0	0	0	-4433	383	RTreeZ;RStarTreeLogic;size=25000000;nNodes=3794230;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-AVG-3/3	CLUSTER(3.5,0.0,null)	3	64	50000000	0	6637513888	132	5764	318389	6367	54	43	2717	2705	13477	13686	33600000	69616666	66666	66666	79039	1580	7547890	10	0	0	0	5000107	5000401	500228	499874	1000000	1000000	0.4122977417978957	0.3877987715169522	0.3852600765558761	0.42185715579191774	-68003	40024	0	0	0	0	-2293	671	-1002	26	0	0	-8896	656	RTreeZ;RStarTreeLogic;size=50000000;nNodes=7546687;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
% Measurements
% ============
RSZ-R-0	CLUSTER(3.5,0.0,null)	3	64	500000	0	64096896	128	110	2820	5640	619	179	563	552	5052	5118	1050000	2800000	50000	0	460	920	81935	7	0	0	0	50035	50004	500105	499769	1000000	1000000	0.4348670371579799	0.41331348277104113	0.41931982229527537	0.40979463645034586	-727	114	0	0	0	0	-1531	2002	-294	0	0	0	0	0	RTreeZ;RStarTreeLogic;size=500000;nNodes=81935;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-1	CLUSTER(3.5,0.0,null)	3	64	500000	0	64075776	128	105	2871	5742	680	260	560	564	5127	5084	1100000	50000	50000	0	474	948	81825	7	0	0	0	49999	49979	499495	499402	1000000	1000000	0.44091006858554715	0.3961862589013496	0.4163934695568849	0.3919644574389792	-728	116	0	0	0	0	-1281	1928	0	0	0	0	0	0	RTreeZ;RStarTreeLogic;size=500000;nNodes=81825;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-2	CLUSTER(3.5,0.0,null)	3	64	500000	0	64068672	128	109	2891	5782	639	319	559	572	5086	5177	50000	0	50000	50000	473	946	81788	7	0	0	0	50013	50009	500366	500898	1000000	1000000	0.361117077738267	0.35389753368926175	0.32006905405096625	0.4638143991407227	-728	116	0	0	0	0	-1730	378	0	0	0	0	0	0	RTreeZ;RStarTreeLogic;size=500000;nNodes=81788;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-0	CLUSTER(3.5,0.0,null)	3	64	1000000	0	131379000	131	147	5599	5599	359	150	742	733	6134	6287	50000	2300000	50000	50000	989	989	160710	8	0	0	0	100016	99935	499015	499629	1000000	1000000	0.4348668627995697	0.4133134573408275	0.41931961946695306	0.40979433791859476	-1448	254	0	0	0	0	-1919	5674	0	0	0	0	-266	38	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160710;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-1	CLUSTER(3.5,0.0,null)	3	64	1000000	0	131355048	131	140	5577	5577	369	180	739	770	6031	6067	50000	0	50000	50000	1015	1015	160585	8	0	0	0	100044	99980	499253	500338	1000000	1000000	0.4409100609261136	0.39618617049837884	0.4163932041628341	0.3919642885149184	-1447	258	0	0	0	0	-1291	2168	0	0	0	0	-268	38	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160585;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-2	CLUSTER(3.5,0.0,null)	3	64	1000000	0	131202232	131	143	5607	5607	480	150	772	744	6041	6116	50000	5150000	0	0	1010	1010	160645	8	0	0	0	99987	99964	499833	499837	1000000	1000000	0.3611170489594155	0.3538974293240779	0.32006889735175703	0.4638142314878362	-1450	256	0	0	0	0	-1716	2334	-290	0	0	0	-266	46	RTreeZ;RStarTreeLogic;size=1000000;nNodes=160645;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-0	CLUSTER(3.5,0.0,null)	3	64	2500000	0	331733216	132	301	14077	5630	212	96	1010	1012	7311	7448	50000	50000	50000	50000	2668	1067	390957	8	0	0	0	249857	249766	499502	500164	1000000	1000000	0.4348667637204987	0.4133133333767652	0.4193194628818608	0.40979418858592	-2946	5214	0	0	0	0	-2623	494	0	0	0	0	-596	30	RTreeZ;RStarTreeLogic;size=2500000;nNodes=390957;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-1	CLUSTER(3.5,0.0,null)	3	64	2500000	0	331893072	132	297	14112	5644	235	95	997	984	7261	7411	5150000	10950000	50000	50000	2576	1030	391248	8	0	0	0	250033	250027	500959	500036	1000000	1000000	0.4409099175998933	0.39618608058154303	0.41639299207422187	0.39196404668671825	-2945	5178	0	0	0	0	-1540	396	-587	2	0	0	-583	46	RTreeZ;RStarTreeLogic;size=2500000;nNodes=391248;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-2	CLUSTER(3.5,0.0,null)	3	64	2500000	0	331679368	132	319	14165	5666	284	87	1014	1013	7365	7461	5600000	5600000	50000	50000	2579	1031	390692	8	0	0	0	249928	250012	498869	500926	1000000	1000000	0.36111696255734355	0.35389734569669656	0.3200687311110206	0.46381408907633387	-3132	3982	0	0	0	0	-2048	474	0	0	0	0	-587	40	RTreeZ;RStarTreeLogic;size=2500000;nNodes=390692;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-0	CLUSTER(3.5,0.0,null)	3	64	5000000	0	665100992	133	620	28803	5760	145	63	1282	1314	8675	8739	33100000	50000	50000	50000	5702	1140	773576	9	0	0	0	500161	500050	499772	499895	1000000	1000000	0.4348667365564324	0.41331328137110585	0.4193193354338483	0.40979410425302215	-6743	5390	0	0	0	0	-2915	470	0	0	0	0	-1091	56	RTreeZ;RStarTreeLogic;size=5000000;nNodes=773576;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-1	CLUSTER(3.5,0.0,null)	3	64	5000000	0	665120040	133	613	28857	5771	160	59	1317	1348	8611	8895	50000	12400000	50000	100000	5583	1116	773679	9	0	0	0	499971	500110	500439	500021	1000000	1000000	0.44090987819825245	0.3961860277676094	0.4163929086404323	0.3919639711836228	-6523	6914	0	0	0	0	-1926	418	0	0	0	0	-1105	40	RTreeZ;RStarTreeLogic;size=5000000;nNodes=773679;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
RSZ-R-2	CLUSTER(3.5,0.0,null)	3	64	5000000	0	665120872	133	606	29016	5803	145	65	1335	1345	8676	8894	50000	50000	100000	50000	5660	1132	773715	9	0	0	0	500211	500149	500457	501056	1000000	1000000	0.36111690090618864	0.35389732998256546	0.3200685985810344	0.46381398102997	-6235	11098	0	0	0	0	-2920	494	0	0	0	0	0	0	RTreeZ;RStarTreeLogic;size=5000000;nNodes=773715;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=20
