Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	500000	0	63527064	126	102	3436	6872	228	191	3623	3584	9713	9450	40800	37100	27766	27800	2120	4240	74413	7	0	0	0	999578	1000218	499988	500023	1000000	1000000	0.00699472581382984	0.006996960997714244	0.012972408073038776	0.012994675169554068	-476	79	0	0	0	0	-2214	2772	0	0	-286	2	-185	15	RTreeZ;RStarTreeLogic;size=500000;nNodes=73983;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	129721976	129	149	7350	7350	252	242	6216	6160	12742	13054	49366	48033	38266	38633	5919	5919	148480	7	0	0	0	1000073	999788	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	-1197	245	0	0	0	0	-2176	5138	-292	2	-287	2	-174	34	RTreeZ;RStarTreeLogic;size=1000000;nNodes=147933;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	2500000	0	328377821	131	316	21129	8451	376	336	12400	12513	19306	19845	114133	115800	64166	63600	24302	9720	370545	8	0	0	0	999949	1000532	499776	500375	1000000	1000000	0.004070339765490923	0.004081204611870847	0.007572318321673637	0.007569410683087345	-2994	7590	0	0	0	0	-2615	497	0	0	0	0	-550	7706	RTreeZ;RStarTreeLogic;size=2500000;nNodes=369592;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	5000000	0	658975821	131	602	47140	9428	482	432	19933	20179	25936	25989	250266	201233	96233	92500	64204	12840	740257	8	0	0	0	1000144	1000272	500222	500324	1000000	1000000	0.003243118258468871	0.0032431420058313828	0.0060099945476612855	0.00599508369312395	-6136	16503	0	0	0	0	-2554	501	-1086	4	-1136	2	-355	31	RTreeZ;RStarTreeLogic;size=5000000;nNodes=739257;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	10000000	0	1317507922	131	1194	103988	10398	594	550	31438	31026	37067	37202	388800	399933	120400	120066	190226	19022	1479847	8	0	0	0	1000389	1000431	500378	499385	1000000	1000000	0.002564689929022526	0.0025562770420825332	0.004763363396383197	0.004755629320992254	-12820	19604	0	0	0	0	-2617	462	-1179	4	0	0	-1823	171	RTreeZ;RStarTreeLogic;size=10000000;nNodes=1478796;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	25000000	0	3300490722	131	2939	299769	11990	801	762	55857	55304	56479	56971	571133	779266	194800	191500	722803	28912	3699523	9	0	0	0	1001046	999679	500128	499332	1000000	1000000	0.0018906103315426673	0.0018854680495026359	0.003506497247818889	0.00350769493544417	-33153	33062	0	0	0	0	-2620	534	-1190	14	-1138	12	-5156	606	RTreeZ;RStarTreeLogic;size=25000000;nNodes=3700340;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000
RSZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	50000000	0	6609767056	132	5710	681838	13636	1103	1084	94764	93477	87504	87839	1002533	927200	270133	277500	2127977	42559	7400190	9	0	0	0	1001644	999506	500228	499874	1000000	1000000	0.00150031602970215	0.001493141731127053	0.0027806542983358287	0.002784678951462675	-67680	73719	0	0	0	0	-2918	822	-1203	32	0	0	-9667	1542	RTreeZ;RStarTreeLogic;size=50000000;nNodes=7405972;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000
% Measurements
% ============
RSZ-R-0	CUBE(1.0,0.0,null)	3	64	500000	0	63602600	127	101	3479	6958	223	180	2789	2764	8774	8617	38800	30400	23200	22500	1963	3926	74807	7	0	0	0	998701	998819	500105	499769	1000000	1000000	0.007004123854704093	0.006976999490473047	0.013003468539137423	0.012991373658729937	-476	80	0	0	0	0	-2030	2664	0	0	-286	2	-275	30	RTreeZ;RStarTreeLogic;size=500000;nNodes=74807;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000
