Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	500000	0	55809634	111	76	1837	3674	78	39	1492	1467	8696	8927	5033	5400	9333	9700	710	1420	83841	7	0	0	0	1106542	1036231	500115	499655	1000000	1000000	0.11359735240312119	0.1134851361348589	0.12075793756477347	0.12088661314311665	-737	112	0	0	0	0	-2430	2736	-298	2	-304	2	0	0	RTreeZ;RStarTreeLogic;size=500000;nNodes=83841;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00111922611
RSZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	114691917	114	87	3710	3710	56	50	2210	2194	10142	10847	7100	7133	12866	12666	1775	1775	168535	7	0	0	0	1033691	988354	499857	499609	1000000	1000000	0.07341768386497816	0.07391077726470081	0.0794869509428112	0.08019513745943987	-1231	209	0	0	0	0	-2328	2736	-298	2	-303	0	-146	3026	RTreeZ;RStarTreeLogic;size=1000000;nNodes=168535;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
RSZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	2500000	0	290900768	116	220	9765	3906	112	63	3182	3157	12400	14174	9466	9200	16666	16500	5432	2172	419318	8	0	0	0	761736	779125	499924	500280	1000000	1000000	0.06166647591499658	0.062337761589439634	0.06564240275737993	0.06659764968364706	-2980	5352	0	0	0	0	-2166	501	0	0	-527	2	-548	6158	RTreeZ;RStarTreeLogic;size=2500000;nNodes=419318;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00117646066
RSZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	5000000	0	584418154	116	362	20681	4136	126	74	5205	5306	14619	15392	13300	13300	25500	24033	10001	2000	837145	8	0	0	0	811427	866683	499805	500010	1000000	1000000	0.04452375859079976	0.044269624255632294	0.0472029759153882	0.047704382800218936	-6512	7244	0	0	0	0	-2637	506	0	0	-963	4	-959	92	RTreeZ;RStarTreeLogic;size=5000000;nNodes=837145;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00117646066
RSZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	10000000	0	1166073357	116	693	40743	4074	154	83	7055	7043	16704	17445	15200	15200	27433	28533	19933	1993	1670131	9	0	0	0	673253	698465	499380	499768	1000000	1000000	0.034933752592204353	0.034573746183392796	0.03686157636467521	0.037531052575998876	-13459	9329	0	0	0	0	-2995	628	0	0	-1019	6	-1051	130	RTreeZ;RStarTreeLogic;size=10000000;nNodes=1670131;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011834605100000002
RSZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	25000000	0	2924421501	116	1804	103382	4135	150	95	11076	11019	21612	22413	21533	21800	38033	37700	56143	2245	4178467	9	0	0	0	796005	858303	500166	500233	1000000	1000000	0.022699279761680527	0.023109811008344926	0.02430348204075014	0.025056612766739508	-33519	27402	0	0	0	0	-2737	607	0	0	-977	10	-4464	498	RTreeZ;RStarTreeLogic;size=25000000;nNodes=4178467;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011936076900000002
RSZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	50000000	0	5848832266	116	3446	214227	4284	120	83	12350	12304	28621	29435	15366	15333	26833	26866	137002	2740	8294362	9	0	0	0	1156710	1222112	500172	500227	1000000	1000000	0.8322241121255735	0.8470232299219481	0.8326555292845788	0.848258680725774	-69825	26364	0	0	0	0	-3041	880	0	0	-977	22	-10039	1309	RTreeZ;RStarTreeLogic;size=50000000;nNodes=8294362;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0014217282
% Measurements
% ============
RSZ-R-0	OSM(1.0,0.0,null)	2	64	500000	0	55809536	111	65	1898	3796	75	38	1519	1472	8428	8334	5100	5300	9400	10400	668	1336	83841	7	0	0	0	1111699	952071	500207	499737	1000000	1000000	0.11322752220039374	0.11358943861631358	0.12105589322970085	0.12051581857600824	-737	112	0	0	0	0	-2337	2696	-298	2	-304	2	0	0	RTreeZ;RStarTreeLogic;size=500000;nNodes=83841;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00111922611
RSZ-R-1	OSM(1.0,0.0,null)	2	64	500000	0	55809536	111	76	1825	3650	79	38	1507	1486	8756	8736	5000	5400	9500	9300	701	1402	83841	7	0	0	0	1166486	1042772	499854	499401	1000000	1000000	0.11514836511882848	0.11441607303340416	0.11953403153861233	0.12125581305750277	-736	114	0	0	0	0	-2603	2688	-298	0	-303	2	0	0	RTreeZ;RStarTreeLogic;size=500000;nNodes=83841;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00111922611
RSZ-R-2	OSM(1.0,0.0,null)	2	64	500000	0	55809832	111	89	1788	3576	82	43	1450	1443	8904	9712	5000	5500	9100	9400	762	1524	83841	7	0	0	0	1041442	1113851	500285	499827	1000000	1000000	0.11241616989014135	0.11244989675485897	0.12168388792600719	0.1208882077958389	-738	110	0	0	0	0	-2348	2824	-298	2	-303	2	0	0	RTreeZ;RStarTreeLogic;size=500000;nNodes=83841;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00111922611
RSZ-R-0	OSM(1.0,0.0,null)	2	64	1000000	0	114691752	114	102	3794	3794	56	51	2156	2169	10298	10735	7300	7400	13300	13000	1752	1752	168535	7	0	0	0	1059973	906888	499776	499530	1000000	1000000	0.07279078633563436	0.07374070518457584	0.0797598584480155	0.08126193387123642	-1230	210	0	0	0	0	-2165	2744	-298	2	-303	0	-142	3046	RTreeZ;RStarTreeLogic;size=1000000;nNodes=168535;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
RSZ-R-1	OSM(1.0,0.0,null)	2	64	1000000	0	114691952	114	68	3658	3658	57	50	2316	2224	10082	11045	6800	7000	13100	12700	1834	1834	168535	7	0	0	0	1061755	993834	500032	500431	1000000	1000000	0.07448340625081495	0.07545336394918244	0.077975355019948	0.07911755846163539	-1231	210	0	0	0	0	-2409	2722	-301	2	-302	2	-158	3004	RTreeZ;RStarTreeLogic;size=1000000;nNodes=168535;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
RSZ-R-2	OSM(1.0,0.0,null)	2	64	1000000	0	114692048	114	93	3679	3679	57	50	2158	2189	10048	10763	7200	7000	12200	12300	1740	1740	168535	7	0	0	0	979347	1064340	499763	498866	1000000	1000000	0.07297885900848516	0.07253826266034417	0.08072563936047014	0.08020592004544783	-1231	208	0	0	0	0	-2409	2742	-298	2	-303	2	-138	3030	RTreeZ;RStarTreeLogic;size=1000000;nNodes=168535;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
RSZ-R-0	OSM(1.0,0.0,null)	2	64	2500000	0	290900992	116	245	9744	3897	80	65	3273	3199	13631	15087	9600	9400	17200	16700	5687	2274	419318	8	0	0	0	720795	745196	500185	500557	1000000	1000000	0.06007743493289231	0.06310682806046468	0.06768931252324498	0.06702387277616902	-2984	5368	0	0	0	0	-2165	514	0	0	-527	2	-556	6344	RTreeZ;RStarTreeLogic;size=2500000;nNodes=419318;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00117646066
RSZ-R-1	OSM(1.0,0.0,null)	2	64	2500000	0	290900656	116	211	9792	3916	125	64	3138	3153	11634	13825	9400	9100	16300	16600	5304	2121	419318	8	0	0	0	782914	754750	500304	500063	1000000	1000000	0.062088281861709685	0.06169833409507213	0.06335764914861763	0.06605113998387893	-2979	5346	0	0	0	0	-2172	490	0	0	-527	2	-542	6086	RTreeZ;RStarTreeLogic;size=2500000;nNodes=419318;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00117646066
RSZ-R-2	OSM(1.0,0.0,null)	2	64	2500000	0	290900656	116	206	9760	3904	131	62	3135	3121	11936	13610	9400	9100	16500	16200	5307	2122	419318	8	0	0	0	781500	837429	499283	500220	1000000	1000000	0.06283371095038774	0.06220812261278212	0.06588024660027715	0.06671793629089322	-2978	5342	0	0	0	0	-2161	500	0	0	-527	2	-546	6046	RTreeZ;RStarTreeLogic;size=2500000;nNodes=419318;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00117646066
RSZ-R-0	OSM(1.0,0.0,null)	2	64	5000000	0	584441032	116	428	21202	4240	130	76	5214	5331	14586	15258	13200	13300	25400	24200	10085	2017	837145	8	0	0	0	775688	838500	499778	499846	1000000	1000000	0.04341360072567864	0.04469529380787423	0.0489332291035401	0.04806654154640032	-6537	7436	0	0	0	0	-2636	510	0	0	-963	4	-958	92	RTreeZ;RStarTreeLogic;size=5000000;nNodes=837145;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00117646066
RSZ-R-1	OSM(1.0,0.0,null)	2	64	5000000	0	584406104	116	325	20198	4039	130	73	5193	5303	14734	15678	13700	13700	26100	24700	10052	2010	837145	8	0	0	0	790078	915200	499447	499367	1000000	1000000	0.04420395080688502	0.04437170463786566	0.0447745161145254	0.04692353721879452	-6491	7142	0	0	0	0	-2637	506	0	0	-963	2	-959	94	RTreeZ;RStarTreeLogic;size=5000000;nNodes=837145;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00117646066
RSZ-R-2	OSM(1.0,0.0,null)	2	64	5000000	0	584407328	116	334	20643	4128	120	75	5209	5284	14538	15240	13000	12900	25000	23200	9866	1973	837145	8	0	0	0	868516	846350	500191	500819	1000000	1000000	0.045953724239835604	0.043741874321156976	0.04790118252809909	0.04812306963546198	-6509	7154	0	0	0	0	-2637	504	0	0	-963	4	-959	92	RTreeZ;RStarTreeLogic;size=5000000;nNodes=837145;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.00117646066
RSZ-R-0	OSM(1.0,0.0,null)	2	64	10000000	0	1166075192	116	824	40519	4051	148	85	7191	7081	16643	17372	14900	14900	26100	27900	19779	1977	1670131	9	0	0	0	631625	710548	499089	500567	1000000	1000000	0.034367943626747284	0.035006982817883156	0.03843130389307638	0.037666881083402555	-13459	9268	0	0	0	0	-2993	632	0	0	-1019	6	-1053	128	RTreeZ;RStarTreeLogic;size=10000000;nNodes=1670131;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011834605100000002
RSZ-R-1	OSM(1.0,0.0,null)	2	64	10000000	0	1166072168	116	618	39956	3995	158	83	7111	7133	16778	17512	15600	15500	28000	29000	19817	1981	1670131	9	0	0	0	638203	707563	499389	499208	1000000	1000000	0.03453250630793579	0.03430018230772384	0.03476654050761856	0.0369876828610305	-13444	9250	0	0	0	0	-2995	628	0	0	-1020	4	-1051	132	RTreeZ;RStarTreeLogic;size=10000000;nNodes=1670131;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011834605100000002
RSZ-R-2	OSM(1.0,0.0,null)	2	64	10000000	0	1166072712	116	639	41754	4175	158	82	6864	6917	16692	17451	15100	15200	28200	28700	20205	2020	1670131	9	0	0	0	749933	677286	499662	499530	1000000	1000000	0.03590080784192998	0.03441407342457139	0.037386884693330694	0.03793859378356359	-13475	9470	0	0	0	0	-2997	626	0	0	-1019	6	-1049	132	RTreeZ;RStarTreeLogic;size=10000000;nNodes=1670131;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011834605100000002
RSZ-R-0	OSM(1.0,0.0,null)	2	64	25000000	0	2924318952	116	2251	103688	4147	150	94	10997	11004	21585	22311	21200	22200	38100	37500	56383	2255	4178467	9	0	0	0	782137	856064	500294	500435	1000000	1000000	0.022283322657192125	0.023705904998664835	0.025796049158827866	0.02463248045276283	-33490	27716	0	0	0	0	-2089	418	0	0	-977	10	-4465	496	RTreeZ;RStarTreeLogic;size=25000000;nNodes=4178467;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011936076900000002
RSZ-R-1	OSM(1.0,0.0,null)	2	64	25000000	0	2924472296	116	1563	103134	4125	153	98	11211	11096	21674	22501	21600	21200	37100	37500	56364	2254	4178467	9	0	0	0	792938	791388	499964	499674	1000000	1000000	0.02205224396524209	0.023088188322803644	0.022512109346819055	0.024651184131582005	-33522	27380	0	0	0	0	-3059	704	0	0	-978	10	-4464	500	RTreeZ;RStarTreeLogic;size=25000000;nNodes=4178467;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011936076900000002
