Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QKDZ-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	154947365	154	265	465	465	4631	1313	513	526	1354	1502	27000	18000	53333	53000	314	314	355286	13	0	0	0	10534	10678	499367	499934	1000000	1000000	0.05370908285855255	0.053316628667331965	0.05461350406617921	0.05405728590038578	10	388	0	0	0	0	22	4368	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4978239232689042, 0.4988211987645735, 0.4984038269085513]/1.003871174228983 WINDOW_RESULTS=1 KNN_REPEAT=1000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	154943922	154	265	462	462	636	239	511	529	1379	1506	22666	17666	51000	52000	329	329	355286	13	0	0	0	104565	97428	499367	499934	1000000	1000000	0.05370908285855255	0.053316628667331965	0.05461350406617921	0.05405728590038578	10	386	0	0	0	0	-68	4304	0	0	0	0	2	1478	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4978239232689042, 0.4988211987645735, 0.4984038269085513]/1.003871174228983 WINDOW_RESULTS=10 KNN_REPEAT=1000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	154953269	154	256	592	592	150	118	511	528	1417	1553	23333	17666	55000	55000	316	316	355286	13	0	0	0	996781	998195	499367	499934	1000000	1000000	0.05370908285855255	0.053316628667331965	0.05461350406617921	0.05405728590038578	10	644	0	0	0	0	-212	7348	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4978239232689042, 0.4988211987645735, 0.4984038269085513]/1.003871174228983 WINDOW_RESULTS=100 KNN_REPEAT=1000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	153659186	153	258	457	457	78	81	507	533	1397	1406	20666	18000	53000	53666	308	308	355286	13	0	0	0	10028259	10004721	499367	499934	1000000	1000000	0.05370908285855255	0.053316628667331965	0.05461350406617921	0.05405728590038578	9	388	-49	1343	0	0	-404	2576	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4978239232689042, 0.4988211987645735, 0.4984038269085513]/1.003871174228983 WINDOW_RESULTS=1000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	154635437	154	266	473	473	68	68	518	512	1353	1520	19666	17000	51333	52666	312	312	355286	13	0	0	0	100355199	99931273	499367	499934	1000000	1000000	0.05370908285855255	0.053316628667331965	0.05461350406617921	0.05405728590038578	12	396	-2290	12	0	0	-380	2114	0	0	-307	2	34	1430	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4978239232689042, 0.4988211987645735, 0.4984038269085513]/1.003871174228983 WINDOW_RESULTS=10000 KNN_REPEAT=1000 UPD_DIST=1.0E-4
% Measurements
% ============
QKDZ-R-0	CLUSTER(5.0,0.0,null)	3	64	1000000	0	154903840	154	268	464	464	5831	1022	510	524	1332	1468	33000	18000	54000	51000	314	314	355052	13	0	0	0	9774	12714	499015	499629	1000000	1000000	0.05289868806757571	0.05361451376439844	0.05380120983991278	0.053438504810508526	10	384	0	0	0	0	17	4296	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.5000415747011057, 0.5005610951361232, 0.49753068336781964]/1.0044709943399124 WINDOW_RESULTS=1 KNN_REPEAT=1000 UPD_DIST=1.0E-4
QKDZ-R-1	CLUSTER(5.0,0.0,null)	3	64	1000000	0	154998720	154	272	472	472	4089	1540	515	528	1371	1539	24000	16000	52000	53000	311	311	355649	13	0	0	0	10758	8441	499253	500338	1000000	1000000	0.05396475251302142	0.05256014963270485	0.05536437089249448	0.054425201136990356	10	388	0	0	0	0	37	4532	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49948039251133763, 0.5002299810996466, 0.49879482209383175]/1.004105599118714 WINDOW_RESULTS=1 KNN_REPEAT=1000 UPD_DIST=1.0E-4
QKDZ-R-2	CLUSTER(5.0,0.0,null)	3	64	1000000	0	154939536	154	255	461	461	3974	1378	514	527	1361	1499	24000	20000	54000	55000	318	318	355158	13	0	0	0	11070	10880	499833	499837	1000000	1000000	0.054263807995060497	0.0537752226048926	0.05467493146613038	0.05430815175365846	10	392	0	0	0	0	11	4276	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4978239232689042, 0.4988211987645735, 0.4984038269085513]/1.003871174228983 WINDOW_RESULTS=1 KNN_REPEAT=1000 UPD_DIST=1.0E-4
