Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	145500650	145	145	727	727	8351	5820	653	670	961	1045	4700	4833	11633	11700	945	945	297140	8	0	0	0	9978	9965	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	13	400	0	0	0	0	-240	2888	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999637460309876, 0.4999997382169821, 0.4999992016400541]/0.9999921710570508 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	145503994	145	154	735	735	1477	1192	647	664	1025	967	4700	4833	11933	11733	995	995	297140	8	0	0	0	99947	100041	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	13	401	0	0	0	0	-283	4239	0	0	0	0	134	4677	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999637460309876, 0.4999997382169821, 0.4999992016400541]/0.9999921710570508 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	145406938	145	150	731	731	372	363	679	665	947	1103	4700	4833	11600	11600	951	951	297140	8	0	0	0	1000526	1000206	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	13	396	0	0	0	0	-98	4076	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999637460309876, 0.4999997382169821, 0.4999992016400541]/0.9999921710570508 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	144148154	143	153	738	738	161	162	678	690	906	1077	4733	4866	11633	11733	891	891	297140	8	0	0	0	9999982	10000604	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	12	399	-128	1742	174	2165	-127	3558	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999637460309876, 0.4999997382169821, 0.4999992016400541]/0.9999921710570508 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	145178376	145	153	731	731	101	101	652	663	983	1101	4766	4800	11666	11733	935	935	297140	8	0	0	0	100039907	100043339	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	15	387	-2290	13	0	0	-227	4552	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999637460309876, 0.4999997382169821, 0.4999992016400541]/0.9999921710570508 WINDOW_RESULTS=10000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
% Measurements
% ============
QKDZ-R-0	CUBE(1.0,0.0,null)	3	64	1000000	0	145530072	145	164	727	727	8252	5978	649	670	966	1061	4800	5000	11600	11900	959	959	297351	8	0	0	0	9936	9868	499015	499629	1000000	1000000	0.0055322687225152975	0.005549452337904086	0.010306759771389869	0.010280836349791177	13	400	0	0	0	0	-188	116	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999648234535987, 0.49999893803888407, 0.4999987091101842]/0.9999924907024504 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-1	CUBE(1.0,0.0,null)	3	64	1000000	0	145490576	145	159	720	720	8261	5776	650	670	955	1035	4600	4800	11400	11700	942	942	297091	8	0	0	0	10046	10040	499253	500338	1000000	1000000	0.005545107295248198	0.005552241363654294	0.010275292286884492	0.010320092935684522	13	402	0	0	0	0	-266	4274	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999974581862376, 0.4999989239660471, 0.5000021655584055]/0.9999944690312389 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-2	CUBE(1.0,0.0,null)	3	64	1000000	0	145481304	145	112	736	736	8540	5706	660	671	964	1041	4700	4700	11900	11500	934	934	296979	8	0	0	0	9953	9988	499833	499837	1000000	1000000	0.005491980591782553	0.00554153679674488	0.010257877868407619	0.010282823246514902	13	400	0	0	0	0	-266	4274	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999637460309876, 0.4999997382169821, 0.4999992016400541]/0.9999921710570508 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-0	CUBE(1.0,0.0,null)	3	64	1000000	0	145540104	145	149	714	714	1517	1183	643	663	1004	957	4800	4800	11400	11600	999	999	297351	8	0	0	0	100166	99677	499015	499629	1000000	1000000	0.0055322687225152975	0.005549452337904086	0.010306759771389869	0.010280836349791177	13	402	0	0	0	0	-273	4266	0	0	0	0	136	4664	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999648234535987, 0.49999893803888407, 0.4999987091101842]/0.9999924907024504 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-1	CUBE(1.0,0.0,null)	3	64	1000000	0	145500608	145	153	745	745	1439	1187	646	667	1043	963	4700	4700	12500	12100	1004	1004	297091	8	0	0	0	99368	100183	499253	500338	1000000	1000000	0.005545107295248198	0.005552241363654294	0.010275292286884492	0.010320092935684522	13	402	0	0	0	0	-299	4178	0	0	0	0	134	4710	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999974581862376, 0.4999989239660471, 0.5000021655584055]/0.9999944690312389 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-2	CUBE(1.0,0.0,null)	3	64	1000000	0	145471272	145	160	746	746	1475	1206	652	662	1028	981	4600	5000	11900	11500	984	984	296979	8	0	0	0	100309	100265	499833	499837	1000000	1000000	0.005491980591782553	0.00554153679674488	0.010257877868407619	0.010282823246514902	13	400	0	0	0	0	-278	4274	0	0	0	0	131	4658	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999637460309876, 0.4999997382169821, 0.4999992016400541]/0.9999921710570508 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QKDZ-R-0	CUBE(1.0,0.0,null)	3	64	1000000	0	145435128	145	145	731	731	366	354	677	667	926	1112	4800	4800	11600	11900	952	952	297351	8	0	0	0	1000668	999929	499015	499629	1000000	1000000	0.0055322687225152975	0.005549452337904086	0.010306759771389869	0.010280836349791177	13	394	0	0	0	0	-191	1288	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999648234535987, 0.49999893803888407, 0.4999987091101842]/0.9999924907024504 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=1.0E-4
