Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QKDZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	110	263	263	5806	2430	493	513	1363	1367	5933	6000	12433	12166	283	283	256643	19	0	0	0	10450	10320	499857	499609	1000000	1000000	0.07341768386497816	0.07391077726470081	0.0794869509428112	0.08019513745943987	0	0	0	0	0	0	-505	4268	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QKDZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	115	265	265	733	326	488	506	1268	1359	6000	5900	12333	11966	292	292	256643	19	0	0	0	105789	101938	499857	499609	1000000	1000000	0.07341768386497816	0.07391077726470081	0.0794869509428112	0.08019513745943987	0	0	0	0	0	0	-120	4070	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QKDZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	107	258	258	120	89	488	482	1175	1315	5733	5933	12100	12933	284	284	256643	19	0	0	0	1042791	1001256	499857	499609	1000000	1000000	0.07341768386497816	0.07391077726470081	0.0794869509428112	0.08019513745943987	0	0	0	0	0	0	-258	482	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QKDZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	123314008	123	107	262	262	56	52	517	501	1194	1356	6000	6000	12433	12033	322	322	256643	19	0	0	0	10185718	10197373	499857	499609	1000000	1000000	0.07341768386497816	0.07391077726470081	0.0794869509428112	0.08019513745943987	0	0	-269	2	0	0	-6	5118	0	0	0	0	-148	86	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QKDZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	124021112	124	112	264	264	44	43	519	510	1180	1338	6133	5966	12233	12333	309	309	256643	19	0	0	0	100432070	101147961	499857	499609	1000000	1000000	0.07341768386497816	0.07391077726470081	0.0794869509428112	0.08019513745943987	0	0	-2004	10	0	0	95	3724	0	0	-307	2	-76	39	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=10000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
% Measurements
% ============
QKDZ-R-0	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	117	264	264	5607	2348	501	522	1324	1356	5900	5800	12100	12000	286	286	256643	19	0	0	0	11591	10647	499776	499530	1000000	1000000	0.07279078633563436	0.07374070518457584	0.0797598584480155	0.08126193387123642	0	0	0	0	0	0	-514	4112	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QKDZ-R-1	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	102	264	264	5396	2310	495	506	1307	1364	5900	5900	12300	11700	286	286	256643	19	0	0	0	10563	10822	500032	500431	1000000	1000000	0.07448340625081495	0.07545336394918244	0.077975355019948	0.07911755846163539	0	0	0	0	0	0	-490	4194	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QKDZ-R-2	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	113	262	262	6415	2634	485	513	1458	1383	6000	6300	12900	12800	279	279	256643	19	0	0	0	9196	9491	499763	498866	1000000	1000000	0.07297885900848516	0.07253826266034417	0.08072563936047014	0.08020592004544783	0	0	0	0	0	0	-512	4500	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
