Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QTZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	145507330	145	150	734	734	5611	3946	642	673	948	1035	4666	4833	11700	11766	937	937	297140	8	0	0	0	9978	9965	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	13	396	0	0	0	0	-69	3102	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999637460309876, 0.4999997382169821, 0.4999992016400541]/0.9999921710570508 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	145497306	145	150	732	732	1026	939	638	658	972	1029	4866	4766	11966	11966	938	938	297140	8	0	0	0	99947	100041	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	13	404	0	0	0	0	-67	3116	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999637460309876, 0.4999997382169821, 0.4999992016400541]/0.9999921710570508 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	145500648	145	161	724	724	312	310	642	669	976	1054	4800	4866	12000	12033	941	941	297140	8	0	0	0	1000526	1000206	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	13	397	0	0	0	0	4	4646	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999637460309876, 0.4999997382169821, 0.4999992016400541]/0.9999921710570508 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	145473650	145	150	733	733	150	150	679	660	973	1051	4766	4733	11900	11866	891	891	297140	8	0	0	0	9999982	10000604	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	13	390	0	0	0	0	-25	5550	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999637460309876, 0.4999997382169821, 0.4999992016400541]/0.9999921710570508 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	145516402	145	148	756	756	105	104	675	657	956	1041	4733	4766	12066	11800	905	905	297140	8	0	0	0	100039907	100043339	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	13	395	4	10341	0	0	-154	2099	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999637460309876, 0.4999997382169821, 0.4999992016400541]/0.9999921710570508 WINDOW_RESULTS=10000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
% Measurements
% ============
QTZ-R-0	CUBE(1.0,0.0,null)	3	64	1000000	0	145540096	145	143	737	737	6038	3952	631	655	950	1043	4900	4900	11800	12100	963	963	297351	8	0	0	0	9936	9868	499015	499629	1000000	1000000	0.0055322687225152975	0.005549452337904086	0.010306759771389869	0.010280836349791177	13	398	0	0	0	0	0	4542	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999648234535987, 0.49999893803888407, 0.4999987091101842]/0.9999924907024504 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-R-1	CUBE(1.0,0.0,null)	3	64	1000000	0	145500600	145	147	744	744	5773	3984	632	702	965	1042	4500	4800	11700	11600	915	915	297091	8	0	0	0	10046	10040	499253	500338	1000000	1000000	0.005545107295248198	0.005552241363654294	0.010275292286884492	0.010320092935684522	13	398	0	0	0	0	5	4668	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.4999974581862376, 0.4999989239660471, 0.5000021655584055]/0.9999944690312389 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
QTZ-R-2	CUBE(1.0,0.0,null)	3	64	1000000	0	145481296	145	161	721	721	5023	3904	664	664	929	1022	4600	4800	11600	11600	935	935	296979	8	0	0	0	9953	9988	499833	499837	1000000	1000000	0.005491980591782553	0.00554153679674488	0.010257877868407619	0.010282823246514902	13	394	0	0	0	0	-214	98	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[0.49999637460309876, 0.4999997382169821, 0.4999992016400541]/0.9999921710570508 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
