Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
QTZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	124367672	124	110	260	260	3766	1586	482	520	1192	1450	5833	6500	12533	12533	283	283	256643	19	0	0	0	10450	10320	499857	499609	1000000	1000000	0.07341768386497816	0.07391077726470081	0.0794869509428112	0.08019513745943987	0	0	0	0	0	0	-26	2289	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QTZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	110	263	263	362	225	481	518	1190	1431	5800	6300	12433	12400	282	282	256643	19	0	0	0	105789	101938	499857	499609	1000000	1000000	0.07341768386497816	0.07391077726470081	0.0794869509428112	0.08019513745943987	0	0	0	0	0	0	-22	2274	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QTZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	125	246	246	101	80	520	532	1256	1496	6200	6200	13600	12566	292	292	256643	19	0	0	0	1042791	1001256	499857	499609	1000000	1000000	0.07341768386497816	0.07391077726470081	0.0794869509428112	0.08019513745943987	0	0	0	0	0	0	-32	2280	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QTZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	72	221	221	50	49	498	536	1242	1456	6066	6500	12900	12900	305	305	256643	19	0	0	0	10185718	10197373	499857	499609	1000000	1000000	0.07341768386497816	0.07391077726470081	0.0794869509428112	0.08019513745943987	0	0	0	0	0	0	-29	2294	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QTZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	69	221	221	43	43	507	558	1211	1455	6233	6233	12466	12300	293	293	256643	19	0	0	0	100432070	101147961	499857	499609	1000000	1000000	0.07341768386497816	0.07391077726470081	0.0794869509428112	0.08019513745943987	0	0	0	0	0	0	-29	2295	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=10000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
% Measurements
% ============
QTZ-R-0	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	146	271	271	3968	1596	492	519	1190	1502	6000	6300	12800	13100	288	288	256643	19	0	0	0	11591	10647	499776	499530	1000000	1000000	0.07279078633563436	0.07374070518457584	0.0797598584480155	0.08126193387123642	0	0	0	0	0	0	-24	2310	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QTZ-R-1	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	106	281	281	4070	1478	484	518	1202	1434	5900	7000	12400	12200	279	279	256643	19	0	0	0	10563	10822	500032	500431	1000000	1000000	0.07448340625081495	0.07545336394918244	0.077975355019948	0.07911755846163539	0	0	0	0	0	0	-25	2318	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QTZ-R-2	OSM(1.0,0.0,null)	2	64	1000000	0	124367640	124	78	228	228	3262	1685	470	524	1185	1415	5600	6200	12400	12300	283	283	256643	19	0	0	0	9196	9491	499763	498866	1000000	1000000	0.07297885900848516	0.07253826266034417	0.08072563936047014	0.08020592004544783	0	0	0	0	0	0	-30	2240	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QTZ-R-0	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	99	280	280	351	223	482	523	1188	1462	5700	5900	12300	12200	285	285	256643	19	0	0	0	110870	103049	499776	499530	1000000	1000000	0.07279078633563436	0.07374070518457584	0.0797598584480155	0.08126193387123642	0	0	0	0	0	0	-20	2264	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QTZ-R-1	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	118	247	247	363	218	485	524	1210	1414	6000	6700	12700	12800	280	280	256643	19	0	0	0	107222	105160	500032	500431	1000000	1000000	0.07448340625081495	0.07545336394918244	0.077975355019948	0.07911755846163539	0	0	0	0	0	0	-26	2304	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QTZ-R-2	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	115	264	264	372	235	477	509	1174	1418	5700	6300	12300	12200	282	282	256643	19	0	0	0	99275	97605	499763	498866	1000000	1000000	0.07297885900848516	0.07253826266034417	0.08072563936047014	0.08020592004544783	0	0	0	0	0	0	-21	2256	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QTZ-R-0	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	102	281	281	102	77	486	516	1221	1506	6000	6000	12600	12300	291	291	256643	19	0	0	0	1064530	999630	499776	499530	1000000	1000000	0.07279078633563436	0.07374070518457584	0.0797598584480155	0.08126193387123642	0	0	0	0	0	0	-25	2216	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QTZ-R-1	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	206	226	226	103	87	510	546	1323	1518	6800	6700	15000	12900	308	308	256643	19	0	0	0	1031243	1010077	500032	500431	1000000	1000000	0.07448340625081495	0.07545336394918244	0.077975355019948	0.07911755846163539	0	0	0	0	0	0	-40	2314	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QTZ-R-2	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	68	232	232	100	78	564	534	1224	1464	5800	5900	13200	12500	279	279	256643	19	0	0	0	1032601	994061	499763	498866	1000000	1000000	0.07297885900848516	0.07253826266034417	0.08072563936047014	0.08020592004544783	0	0	0	0	0	0	-30	2310	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QTZ-R-0	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	71	223	223	51	51	496	536	1234	1455	6300	6900	13100	13000	349	349	256643	19	0	0	0	10277991	10355359	499776	499530	1000000	1000000	0.07279078633563436	0.07374070518457584	0.0797598584480155	0.08126193387123642	0	0	0	0	0	0	-30	2282	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
QTZ-R-1	OSM(1.0,0.0,null)	2	64	1000000	0	124367688	124	80	220	220	50	50	503	534	1284	1455	6000	6300	12900	12900	279	279	256643	19	0	0	0	10184592	10146572	500032	500431	1000000	1000000	0.07448340625081495	0.07545336394918244	0.077975355019948	0.07911755846163539	0	0	0	0	0	0	-26	2302	0	0	0	0	0	0	QuadTreeRKD;maxNodeSize=10;maxDepth=50;DEBUG=false;center/radius=[11.136625200000001, 46.97615675]/11.250696 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
