Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
RSS-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	148502917	148	260	7487	7487	4959	2193	1385	1303	0	0	21000	20333	24000	24333	0	0	0	0	0	0	0	10534	10678	499367	499934	0	0	0.05370908285855255	0.053316628667331965	0.05461350406617921	0.05405728590038578	-6973	1072	0	0	147	2038	0	0	0	0	-302	2	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=172597;dirNodes=38232 WINDOW_RESULTS=1 KNN_REPEAT=1000
RSS-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	149108530	149	265	7420	7420	644	419	1515	1441	0	0	20666	21333	25333	23000	0	0	0	0	0	0	0	104565	97428	499367	499934	0	0	0.05370908285855255	0.053316628667331965	0.05461350406617921	0.05405728590038578	-7056	734	0	0	47	802	0	0	-302	2	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=172597;dirNodes=38232 WINDOW_RESULTS=10 KNN_REPEAT=1000
RSS-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	149131658	149	253	7366	7366	124	125	1426	1311	0	0	21666	21000	24000	23000	0	0	0	0	0	0	0	996781	998195	499367	499934	0	0	0.05370908285855255	0.053316628667331965	0.05461350406617921	0.05405728590038578	-6972	1066	-265	2	-130	52	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=172597;dirNodes=38232 WINDOW_RESULTS=100 KNN_REPEAT=1000
RSS-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	149132501	149	260	7326	7326	76	73	1338	1423	0	0	21000	21000	25000	23666	0	0	0	0	0	0	0	10028259	10004721	499367	499934	0	0	0.05370908285855255	0.053316628667331965	0.05461350406617921	0.05405728590038578	-6973	1070	-1719	10	64	2790	0	0	0	0	0	0	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=172597;dirNodes=38232 WINDOW_RESULTS=1000 KNN_REPEAT=1000
RSS-R-AVG-3/3	CLUSTER(5.0,0.0,null)	3	64	1000000	0	149186634	149	258	7368	7368	65	64	1388	1458	0	0	21000	19666	23666	24000	0	0	0	0	0	0	0	100355199	99931273	499367	499934	0	0	0.05370908285855255	0.053316628667331965	0.05461350406617921	0.05405728590038578	-6967	1069	-17762	105	96	3394	0	0	0	0	-303	2	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=172597;dirNodes=38232 WINDOW_RESULTS=10000 KNN_REPEAT=1000
% Measurements
% ============
RSS-R-0	CLUSTER(5.0,0.0,null)	3	64	1000000	0	148455928	148	267	7353	7353	6343	1966	1489	1412	0	0	25000	25000	26000	27000	0	0	0	0	0	0	0	9774	12714	499015	499629	0	0	0.05289868806757571	0.05361451376439844	0.05380120983991278	0.053438504810508526	-6890	1404	0	0	147	2156	0	0	0	0	-302	2	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=172189;dirNodes=38096 WINDOW_RESULTS=1 KNN_REPEAT=1000
RSS-R-1	CLUSTER(5.0,0.0,null)	3	64	1000000	0	148514248	148	262	7408	7408	4833	2961	1351	1262	0	0	20000	19000	24000	23000	0	0	0	0	0	0	0	10758	8441	499253	500338	0	0	0.05396475251302142	0.05256014963270485	0.05536437089249448	0.054425201136990356	-7135	386	0	0	148	1998	0	0	0	0	-302	2	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=172389;dirNodes=38277 WINDOW_RESULTS=1 KNN_REPEAT=1000
RSS-R-2	CLUSTER(5.0,0.0,null)	3	64	1000000	0	148538576	148	252	7702	7702	3703	1654	1317	1236	0	0	18000	17000	22000	23000	0	0	0	0	0	0	0	11070	10880	499833	499837	0	0	0.054263807995060497	0.0537752226048926	0.05467493146613038	0.05430815175365846	-6895	1426	0	0	147	1960	0	0	0	0	-305	2	0	0	R*Tree-Seeger2;capacityDir=10;capacityData=10;dataNodes=172597;dirNodes=38232 WINDOW_RESULTS=1 KNN_REPEAT=1000
