Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
STRZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	122537304	122	153	1493	1493	10891	7225	2704	2712	14041	17787	12166	12566	30233	29366	8414	8414	111111	6	0	0	0	9978	9965	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	-12	212	0	0	0	0	-2999	6128	0	0	-286	2	-93	4	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
STRZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	122537210	122	156	1527	1527	1453	1229	2709	2691	13949	17510	11866	11466	29133	29166	8497	8497	111111	6	0	0	0	99947	100041	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	-12	217	0	0	0	0	-3050	5368	0	0	-286	2	-93	4	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=1.0E-4
STRZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	122537480	122	154	1508	1508	318	280	2735	2733	14035	17530	11533	11400	28833	28733	8580	8580	111111	6	0	0	0	1000526	1000206	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	-12	215	0	0	0	0	-3001	6101	0	0	-286	2	-93	4	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=1.0E-4
STRZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	122546661	122	148	1520	1520	105	102	2710	2692	14022	17560	11666	11500	28700	27400	8506	8506	111111	6	0	0	0	9999982	10000604	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	-12	212	0	0	0	0	-3056	5377	0	0	-286	0	-93	4	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
STRZ-R-AVG-3/3	CUBE(1.0,0.0,null)	3	64	1000000	0	122538192	122	148	1526	1526	58	58	2728	2720	14170	17812	11566	11933	27200	25966	8778	8778	111111	6	0	0	0	100039907	100043339	499367	499934	1000000	1000000	0.005523118869848683	0.005547743499434421	0.010279976642227327	0.0102945841773302	-12	213	0	0	0	0	-3056	5396	0	0	-287	2	-93	4	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10000 KNN_REPEAT=10000 UPD_DIST=1.0E-4
% Measurements
% ============
STRZ-R-0	CUBE(1.0,0.0,null)	3	64	1000000	0	122538240	122	160	1510	1510	11674	7296	2696	2691	14045	18343	11100	11200	32000	29500	8460	8460	111111	6	0	0	0	9936	9868	499015	499629	1000000	1000000	0.0055322687225152975	0.005549452337904086	0.010306759771389869	0.010280836349791177	-12	212	0	0	0	0	-2656	6076	0	0	-286	2	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
STRZ-R-1	CUBE(1.0,0.0,null)	3	64	1000000	0	122536768	122	144	1498	1498	10451	7071	2663	2661	14496	18039	12100	11600	26100	26000	8783	8783	111111	6	0	0	0	10046	10040	499253	500338	1000000	1000000	0.005545107295248198	0.005552241363654294	0.010275292286884492	0.010320092935684522	-12	212	0	0	0	0	-3169	6352	0	0	-286	0	-281	14	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
STRZ-R-2	CUBE(1.0,0.0,null)	3	64	1000000	0	122536904	122	155	1472	1472	10549	7308	2754	2785	13583	16979	13300	14900	32600	32600	8001	8001	111111	6	0	0	0	9953	9988	499833	499837	1000000	1000000	0.005491980591782553	0.00554153679674488	0.010257877868407619	0.010282823246514902	-12	214	0	0	0	0	-3173	5958	0	0	-286	2	0	0	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=1.0E-4
