Index	data	dim	bits	N	calcMem	memory	memory/n	gen	load	load/n	q1/n	q2/n	pq1/n	pq2/n	up1/n	up2/n	1-NN1	1-NN2	10-NN1	10-NN2	unload	unload/n	nodes	postLen	AHC	NT	NTinternal	q1-n	q2-n	q1p-n	q2p-n	up1-n	up2-n	d1-1NN	d2-1NN	d1-kNN	d2-kNN	load-s	load-t	w-query-s	w-query-t	p-query-s	p-query-t	update-s	update-t	1-NN-s	1-NN-t	10-NN-s	10-NN-t	unload-s	unload-t	msg	
% Averages
% ========
STRZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	104773752	104	115	608	608	5166	1360	1035	1039	8774	9610	4566	4633	8533	8600	1604	1604	111111	6	0	0	0	10450	10320	499857	499609	1000000	1000000	0.07341768386497816	0.07391077726470081	0.0794869509428112	0.08019513745943987	0	0	0	0	0	0	-2316	2472	-302	2	0	0	-318	965	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
STRZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	104761858	104	99	591	591	600	196	1029	1029	8657	9504	4666	4666	8533	8400	1577	1577	111111	6	0	0	0	105789	101938	499857	499609	1000000	1000000	0.07341768386497816	0.07391077726470081	0.0794869509428112	0.08019513745943987	0	0	0	0	0	0	-2321	2462	-302	2	0	0	-318	974	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
STRZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	104763861	104	110	627	627	104	59	1042	1035	8688	9564	4533	4633	10000	9833	1574	1574	111111	6	0	0	0	1042791	1001256	499857	499609	1000000	1000000	0.07341768386497816	0.07391077726470081	0.0794869509428112	0.08019513745943987	0	0	0	0	0	0	-2321	2448	-302	2	0	0	-316	972	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
STRZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	104763197	104	109	603	603	40	37	1032	1030	8713	9599	4733	4933	8933	8833	1596	1596	111111	6	0	0	0	10185718	10197373	499857	499609	1000000	1000000	0.07341768386497816	0.07391077726470081	0.0794869509428112	0.08019513745943987	0	0	0	0	0	0	-2319	2466	-302	2	0	0	-316	990	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
STRZ-R-AVG-3/3	OSM(1.0,0.0,null)	2	64	1000000	0	104796965	104	117	590	590	32	32	1030	1030	8681	9529	4566	4666	9200	8866	1603	1603	111111	6	0	0	0	100432070	101147961	499857	499609	1000000	1000000	0.07341768386497816	0.07391077726470081	0.0794869509428112	0.08019513745943987	0	0	0	0	0	0	-2321	2456	-302	2	0	0	-318	966	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
% Measurements
% ============
STRZ-R-0	OSM(1.0,0.0,null)	2	64	1000000	0	104795688	104	120	612	612	3796	1314	1031	1039	8730	9493	4600	4600	8400	9400	1561	1561	111111	6	0	0	0	11591	10647	499776	499530	1000000	1000000	0.07279078633563436	0.07374070518457584	0.0797598584480155	0.08126193387123642	0	0	0	0	0	0	-2394	2490	-302	2	0	0	-258	58	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
STRZ-R-1	OSM(1.0,0.0,null)	2	64	1000000	0	104762784	104	104	591	591	5396	1293	1033	1038	8849	9494	4600	4700	8200	7900	1560	1560	111111	6	0	0	0	10563	10822	500032	500431	1000000	1000000	0.07448340625081495	0.07545336394918244	0.077975355019948	0.07911755846163539	0	0	0	0	0	0	-2404	2492	-302	2	0	0	-260	54	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
STRZ-R-2	OSM(1.0,0.0,null)	2	64	1000000	0	104762784	104	121	621	621	6307	1475	1042	1042	8744	9844	4500	4600	9000	8500	1693	1693	111111	6	0	0	0	9196	9491	499763	498866	1000000	1000000	0.07297885900848516	0.07253826266034417	0.08072563936047014	0.08020592004544783	0	0	0	0	0	0	-2149	2436	-302	2	0	0	-436	2784	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
STRZ-R-0	OSM(1.0,0.0,null)	2	64	1000000	0	104760160	104	71	572	572	568	184	1037	1029	8659	9399	4700	4700	8100	8000	1519	1519	111111	6	0	0	0	110870	103049	499776	499530	1000000	1000000	0.07279078633563436	0.07374070518457584	0.0797598584480155	0.08126193387123642	0	0	0	0	0	0	-2405	2508	-302	2	0	0	-259	54	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
STRZ-R-1	OSM(1.0,0.0,null)	2	64	1000000	0	104762784	104	113	604	604	680	190	1023	1025	8531	9292	4500	4600	8800	8700	1520	1520	111111	6	0	0	0	107222	105160	500032	500431	1000000	1000000	0.07448340625081495	0.07545336394918244	0.077975355019948	0.07911755846163539	0	0	0	0	0	0	-2404	2474	-302	2	0	0	-260	54	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
STRZ-R-2	OSM(1.0,0.0,null)	2	64	1000000	0	104762632	104	113	598	598	554	215	1027	1033	8782	9823	4800	4700	8700	8500	1694	1694	111111	6	0	0	0	99275	97605	499763	498866	1000000	1000000	0.07297885900848516	0.07253826266034417	0.08072563936047014	0.08020592004544783	0	0	0	0	0	0	-2155	2406	-302	0	0	0	-434	2814	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
STRZ-R-0	OSM(1.0,0.0,null)	2	64	1000000	0	104765632	104	118	648	648	94	59	1068	1043	8879	9694	4500	4600	9400	9400	1518	1518	111111	6	0	0	0	1064530	999630	499776	499530	1000000	1000000	0.07279078633563436	0.07374070518457584	0.0797598584480155	0.08126193387123642	0	0	0	0	0	0	-2411	2472	-302	2	0	0	-259	54	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
STRZ-R-1	OSM(1.0,0.0,null)	2	64	1000000	0	104763168	104	108	589	589	110	58	1032	1037	8604	9356	4600	4700	10300	10000	1551	1551	111111	6	0	0	0	1031243	1010077	500032	500431	1000000	1000000	0.07448340625081495	0.07545336394918244	0.077975355019948	0.07911755846163539	0	0	0	0	0	0	-2403	2476	-302	2	0	0	-260	52	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
STRZ-R-2	OSM(1.0,0.0,null)	2	64	1000000	0	104762784	104	105	646	646	109	60	1027	1026	8582	9643	4500	4600	10300	10100	1654	1654	111111	6	0	0	0	1032601	994061	499763	498866	1000000	1000000	0.07297885900848516	0.07253826266034417	0.08072563936047014	0.08020592004544783	0	0	0	0	0	0	-2149	2398	-302	2	0	0	-430	2810	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=100 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
STRZ-R-0	OSM(1.0,0.0,null)	2	64	1000000	0	104762040	104	111	626	626	40	37	1027	1026	8802	9585	4500	4800	8100	8200	1551	1551	111111	6	0	0	0	10277991	10355359	499776	499530	1000000	1000000	0.07279078633563436	0.07374070518457584	0.0797598584480155	0.08126193387123642	0	0	0	0	0	0	-2405	2472	-302	2	0	0	-259	56	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
STRZ-R-1	OSM(1.0,0.0,null)	2	64	1000000	0	104765600	104	107	597	597	41	37	1041	1030	8676	9500	5200	5400	9900	9800	1555	1555	111111	6	0	0	0	10184592	10146572	500032	500431	1000000	1000000	0.07448340625081495	0.07545336394918244	0.077975355019948	0.07911755846163539	0	0	0	0	0	0	-2404	2498	-302	2	0	0	-260	54	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
STRZ-R-2	OSM(1.0,0.0,null)	2	64	1000000	0	104761952	104	110	588	588	40	37	1030	1035	8663	9714	4500	4600	8800	8500	1683	1683	111111	6	0	0	0	10094573	10090188	499763	498866	1000000	1000000	0.07297885900848516	0.07253826266034417	0.08072563936047014	0.08020592004544783	0	0	0	0	0	0	-2149	2428	-302	2	0	0	-428	2860	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=1000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
STRZ-R-0	OSM(1.0,0.0,null)	2	64	1000000	0	104795936	104	118	588	588	32	32	1032	1026	8677	9389	4600	4600	9800	9600	1553	1553	111111	6	0	0	0	99466589	101264115	499776	499530	1000000	1000000	0.07279078633563436	0.07374070518457584	0.0797598584480155	0.08126193387123642	0	0	0	0	0	0	-2410	2450	-302	2	0	0	-259	58	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
STRZ-R-1	OSM(1.0,0.0,null)	2	64	1000000	0	104795720	104	119	586	586	34	33	1028	1036	8694	9429	4500	4800	9100	8600	1573	1573	111111	6	0	0	0	101518012	101209937	500032	500431	1000000	1000000	0.07448340625081495	0.07545336394918244	0.077975355019948	0.07911755846163539	0	0	0	0	0	0	-2404	2524	-302	2	0	0	-260	54	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
STRZ-R-2	OSM(1.0,0.0,null)	2	64	1000000	0	104799240	104	115	597	597	32	32	1032	1030	8672	9769	4600	4600	8700	8400	1684	1684	111111	6	0	0	0	100311609	100969832	499763	498866	1000000	1000000	0.07297885900848516	0.07253826266034417	0.08072563936047014	0.08020592004544783	0	0	0	0	0	0	-2149	2396	-302	2	0	0	-434	2786	RTreeZ;RStarTreeLogic;size=1000000;nNodes=111111;dir_m/M=2/10;data_m/M=2/10 WINDOW_RESULTS=10000 KNN_REPEAT=10000 UPD_DIST=0.0011250819599999998
